target_iso,target_flow,year,observed_usd,source,complete_partner_coverage_established
IND,M,2019,101948596916.839,frozen_reporter,
IND,M,2020,64579747983.623,frozen_reporter,
IND,M,2021,106406786611.469,frozen_reporter,
IND,M,2022,173515902760.238,frozen_reporter,
IND,M,2023,140386299645.495,frozen_reporter,
IND,M,2024,141532322252.516,frozen_reporter,
IND,X,2019,72711103.12,new_partner_reports,False
IND,X,2020,13413442.265,new_partner_reports,False
IND,X,2021,41326474.309999995,new_partner_reports,False
IND,X,2022,2307203.7830000003,new_partner_reports,False
IND,X,2023,31052959.951,new_partner_reports,False
IND,X,2024,93086053.982,new_partner_reports,False
JPN,M,2019,73086768742.827,frozen_reporter,
JPN,M,2020,43495449526.743,frozen_reporter,
JPN,M,2021,63103354048.043,frozen_reporter,
JPN,M,2022,100922291093.4,frozen_reporter,
JPN,M,2023,80884609985.472,frozen_reporter,
JPN,M,2024,71811869887.915,frozen_reporter,
JPN,X,2019,90996.656,new_partner_reports,False
JPN,X,2020,74067.09999999999,new_partner_reports,False
JPN,X,2021,110164.124,frozen_reporter,
JPN,X,2022,4915255.64,frozen_reporter,
JPN,X,2023,69269.672,new_partner_reports,False
JPN,X,2024,63338939.120000005,new_partner_reports,False
KWT,M,2019,,unresolved,False
KWT,M,2020,43303.214,new_partner_reports,False
KWT,M,2021,119.21,new_partner_reports,False
KWT,M,2022,41870.270000000004,new_partner_reports,False
KWT,M,2023,,unresolved,False
KWT,M,2024,12500.0,new_partner_reports,False
KWT,X,2019,46539357988.0,frozen_reporter,
KWT,X,2020,28629492308.0,frozen_reporter,
KWT,X,2021,41770746523.0,frozen_reporter,
KWT,X,2022,68036100177.451,frozen_reporter,
KWT,X,2023,49827754836.684,frozen_reporter,
KWT,X,2024,35530010116.0,frozen_reporter,
MEX,M,2019,20591584.0,frozen_reporter,
MEX,M,2020,54583.445,new_partner_reports,False
MEX,M,2021,1541.286,new_partner_reports,False
MEX,M,2022,101275.898,new_partner_reports,False
MEX,M,2023,51419.987,new_partner_reports,False
MEX,M,2024,3791.862,new_partner_reports,False
MEX,X,2019,22361179935.0,frozen_reporter,
MEX,X,2020,14683690556.0,frozen_reporter,
MEX,X,2021,24130558561.0,frozen_reporter,
MEX,X,2022,31587350914.0,frozen_reporter,
MEX,X,2023,27576064996.0,frozen_reporter,
MEX,X,2024,22218689852.0,frozen_reporter,
S19,M,2019,21328832603.48,frozen_reporter,
S19,M,2020,12636707015.557,frozen_reporter,
S19,M,2021,19893277357.602,frozen_reporter,
S19,M,2022,31066609956.63,frozen_reporter,
S19,M,2023,25095507938.09,frozen_reporter,
S19,M,2024,23874236648.498,frozen_reporter,
S19,X,2019,10455.527,new_partner_reports,False
S19,X,2020,2881.523,new_partner_reports,False
S19,X,2021,2013.6080000000002,new_partner_reports,False
S19,X,2022,1186.5959999999998,new_partner_reports,False
S19,X,2023,2.163,new_partner_reports,False
S19,X,2024,1429.275,new_partner_reports,False
SAU,M,2019,26835648.558000002,new_partner_reports,False
SAU,M,2020,16505746.286,new_partner_reports,False
SAU,M,2021,68520810.622,new_partner_reports,False
SAU,M,2022,649846016.185,new_partner_reports,False
SAU,M,2023,66429622.619,new_partner_reports,False
SAU,M,2024,73370000.053,new_partner_reports,False
SAU,X,2019,166896805817.713,frozen_reporter,
SAU,X,2020,100382507626.704,frozen_reporter,
SAU,X,2021,161020161386.229,frozen_reporter,
SAU,X,2022,258544564094.252,frozen_reporter,
SAU,X,2023,175993253253.989,frozen_reporter,
SAU,X,2024,179494074921.181,frozen_reporter,
TUR,M,2019,6594773408.459999,new_partner_reports,False
TUR,M,2020,4051801637.425,new_partner_reports,False
TUR,M,2021,5732689031.693,new_partner_reports,False
TUR,M,2022,4629575164.942,new_partner_reports,False
TUR,M,2023,4500194575.663,new_partner_reports,False
TUR,M,2024,3074550382.3729997,new_partner_reports,False
TUR,X,2019,1580568643.047,new_partner_reports,False
TUR,X,2020,816296381.1509999,new_partner_reports,False
TUR,X,2021,1240032144.593,new_partner_reports,False
TUR,X,2022,2953276500.701,new_partner_reports,False
TUR,X,2023,1746240132.7310002,new_partner_reports,False
TUR,X,2024,1223671382.131,new_partner_reports,False
