target_iso,year,M,X,observed_net_exports_usd
IND,2019,101948596916.839,72711103.12,-101875885813.71901
IND,2020,64579747983.623,13413442.265,-64566334541.358
IND,2021,106406786611.469,41326474.309999995,-106365460137.159
IND,2022,173515902760.238,2307203.7830000003,-173513595556.45502
IND,2023,140386299645.495,31052959.951,-140355246685.544
IND,2024,141532322252.516,93086053.982,-141439236198.534
JPN,2019,73086768742.827,90996.656,-73086677746.17099
JPN,2020,43495449526.743,74067.09999999999,-43495375459.643
JPN,2021,63103354048.043,110164.124,-63103243883.919
JPN,2022,100922291093.4,4915255.64,-100917375837.76
JPN,2023,80884609985.472,69269.672,-80884540715.8
JPN,2024,71811869887.915,63338939.120000005,-71748530948.795
KWT,2019,,46539357988.0,
KWT,2020,43303.214,28629492308.0,28629449004.786
KWT,2021,119.21,41770746523.0,41770746403.79
KWT,2022,41870.270000000004,68036100177.451,68036058307.181
KWT,2023,,49827754836.684,
KWT,2024,12500.0,35530010116.0,35529997616.0
MEX,2019,20591584.0,22361179935.0,22340588351.0
MEX,2020,54583.445,14683690556.0,14683635972.555
MEX,2021,1541.286,24130558561.0,24130557019.714
MEX,2022,101275.898,31587350914.0,31587249638.102
MEX,2023,51419.987,27576064996.0,27576013576.013
MEX,2024,3791.862,22218689852.0,22218686060.138
S19,2019,21328832603.48,10455.527,-21328822147.953
S19,2020,12636707015.557,2881.523,-12636704134.033998
S19,2021,19893277357.602,2013.6080000000002,-19893275343.994
S19,2022,31066609956.63,1186.5959999999998,-31066608770.034
S19,2023,25095507938.09,2.163,-25095507935.927002
S19,2024,23874236648.498,1429.275,-23874235219.223
SAU,2019,26835648.558000002,166896805817.713,166869970169.155
SAU,2020,16505746.286,100382507626.704,100366001880.418
SAU,2021,68520810.622,161020161386.229,160951640575.607
SAU,2022,649846016.185,258544564094.252,257894718078.06702
SAU,2023,66429622.619,175993253253.989,175926823631.37003
SAU,2024,73370000.053,179494074921.181,179420704921.128
TUR,2019,6594773408.459999,1580568643.047,-5014204765.412999
TUR,2020,4051801637.425,816296381.1509999,-3235505256.274
TUR,2021,5732689031.693,1240032144.593,-4492656887.1
TUR,2022,4629575164.942,2953276500.701,-1676298664.2410002
TUR,2023,4500194575.663,1746240132.7310002,-2753954442.932
TUR,2024,3074550382.3729997,1223671382.131,-1850879000.2419996
