reporterISO,flowCode,refYear,primaryValue_frozen,primaryValue_current,_merge,difference_usd,changed
BRA,M,2019,4813815110.0,4813815110.0,both,0.0,False
BRA,M,2020,2761144320.0,2761144320.0,both,0.0,False
BRA,M,2021,4093484412.0,4093484412.0,both,0.0,False
BRA,M,2022,10145098434.0,10145098434.0,both,0.0,False
BRA,M,2023,9382113744.0,9382113744.0,both,0.0,False
BRA,M,2024,8943296861.0,8943296861.0,both,0.0,False
BRA,X,2019,24199539301.0,24199539301.0,both,0.0,False
BRA,X,2020,19613857928.0,19613857928.0,both,0.0,False
BRA,X,2021,30608981810.0,30608981810.0,both,0.0,False
BRA,X,2022,42688098560.0,42688098560.0,both,0.0,False
BRA,X,2023,42611148597.0,42611148597.0,both,0.0,False
BRA,X,2024,44842761197.0,44842761197.0,both,0.0,False
CAN,M,2019,14297140175.652,14297140175.652,both,0.0,False
CAN,M,2020,8460404183.547,8460404183.547,both,0.0,False
CAN,M,2021,11824567143.042,11824567143.042,both,0.0,False
CAN,M,2022,16604996383.484,16604996383.484,both,0.0,False
CAN,M,2023,14558631028.071,14558631028.071,both,0.0,False
CAN,M,2024,15154800354.105,15154800354.105,both,0.0,False
CAN,X,2019,68104060281.267,68104060281.267,both,0.0,False
CAN,X,2020,47574336106.392,47574336106.392,both,0.0,False
CAN,X,2021,81939749590.761,81939749590.761,both,0.0,False
CAN,X,2022,120391288495.247,120391288495.247,both,0.0,False
CAN,X,2023,99464941105.395,99464941105.395,both,0.0,False
CAN,X,2024,107516759357.17,107516759357.17,both,0.0,False
COL,M,2019,148162456.8,148162456.8,both,0.0,False
COL,M,2020,25024697.59,25024697.59,both,0.0,False
COL,M,2021,149657908.13,149657908.13,both,0.0,False
COL,M,2022,327381753.6,327381753.6,both,0.0,False
COL,M,2023,768159692.96,768159692.96,both,0.0,False
COL,M,2024,460003577.08,460003577.08,both,0.0,False
COL,X,2019,12979915800.03,12979915800.03,both,0.0,False
COL,X,2020,7130106325.35,7130106325.35,both,0.0,False
COL,X,2021,11200541488.13,11200541488.13,both,0.0,False
COL,X,2022,15836623713.1,15836623713.1,both,0.0,False
COL,X,2023,12659153725.32,12659153725.32,both,0.0,False
COL,X,2024,12069395851.83,12069395851.83,both,0.0,False
IND,M,2019,101948596916.839,101948596916.839,both,0.0,False
IND,M,2020,64579747983.623,64579747983.623,both,0.0,False
IND,M,2021,106406786611.469,106406786611.469,both,0.0,False
IND,M,2022,173515902760.238,173515902760.238,both,0.0,False
IND,M,2023,140386299645.495,140386299645.495,both,0.0,False
IND,M,2024,141532322252.516,141532322252.516,both,0.0,False
JPN,M,2019,73086768742.827,73086768742.827,both,0.0,False
JPN,M,2020,43495449526.743,43495449526.743,both,0.0,False
JPN,M,2021,63103354048.043,63103354048.043,both,0.0,False
JPN,M,2022,100922291093.4,100922291093.4,both,0.0,False
JPN,M,2023,80884609985.472,80928327590.753,both,43717605.28100586,True
JPN,M,2024,71811869887.915,71811869887.915,both,0.0,False
JPN,X,2021,110164.124,110164.124,both,0.0,False
JPN,X,2022,4915255.64,4915255.64,both,0.0,False
KOR,M,2019,70251768064.0,70251768064.0,both,0.0,False
KOR,M,2020,44455595815.0,44455595815.0,both,0.0,False
KOR,M,2021,67012528175.0,67012528175.0,both,0.0,False
KOR,M,2022,105963515690.0,105963515690.0,both,0.0,False
KOR,M,2023,86158418645.0,86158418645.0,both,0.0,False
KOR,M,2024,85334419380.0,85334419380.0,both,0.0,False
KOR,X,2019,5724.0,5724.0,both,0.0,False
KOR,X,2020,3234.0,3234.0,both,0.0,False
KOR,X,2021,9.0,9.0,both,0.0,False
KOR,X,2022,9382.0,9382.0,both,0.0,False
KOR,X,2023,7078.0,7078.0,both,0.0,False
KOR,X,2024,50.0,50.0,both,0.0,False
KWT,X,2019,46539357988.0,46539357988.0,both,0.0,False
KWT,X,2020,28629492308.0,28629492308.0,both,0.0,False
KWT,X,2021,41770746523.0,41770746523.0,both,0.0,False
KWT,X,2022,68036100177.451,68036100177.451,both,0.0,False
KWT,X,2023,49827754836.684,49827754836.684,both,0.0,False
KWT,X,2024,35530010116.0,35530010116.0,both,0.0,False
MEX,M,2019,20591584.0,20591584.0,both,0.0,False
MEX,X,2019,22361179935.0,22361179935.0,both,0.0,False
MEX,X,2020,14683690556.0,14683690556.0,both,0.0,False
MEX,X,2021,24130558561.0,24130558561.0,both,0.0,False
MEX,X,2022,31587350914.0,31587350914.0,both,0.0,False
MEX,X,2023,27576064996.0,27576064996.0,both,0.0,False
MEX,X,2024,22218689852.0,22218689852.0,both,0.0,False
NOR,M,2019,1713564769.952,1713564769.952,both,0.0,False
NOR,M,2020,1036073856.993,1036073856.993,both,0.0,False
NOR,M,2021,1214067068.469,1214067068.469,both,0.0,False
NOR,M,2022,605228769.613,605228769.613,both,0.0,False
NOR,M,2023,1209585410.4,1209585410.4,both,0.0,False
NOR,M,2024,722302746.207,722302746.207,both,0.0,False
NOR,X,2019,29305062240.449,29305062240.449,both,0.0,False
NOR,X,2020,22558847311.643,22558847311.643,both,0.0,False
NOR,X,2021,41896621057.974,41896621057.974,both,0.0,False
NOR,X,2022,56750851151.13,56750851151.13,both,0.0,False
NOR,X,2023,50212905016.023,50212905016.023,both,0.0,False
NOR,X,2024,49315597174.495,49315597174.495,both,0.0,False
S19,M,2019,21328832603.48,21328832603.48,both,0.0,False
S19,M,2020,12636707015.557,12636707015.557,both,0.0,False
S19,M,2021,19893277357.602,19893277357.602,both,0.0,False
S19,M,2022,31066609956.63,31066609956.63,both,0.0,False
S19,M,2023,25095507938.09,25095507938.09,both,0.0,False
S19,M,2024,23874236648.498,23874236648.498,both,0.0,False
SAU,X,2019,166896805817.713,166896805817.713,both,0.0,False
SAU,X,2020,100382507626.704,100382507626.704,both,0.0,False
SAU,X,2021,161020161386.229,161020161386.229,both,0.0,False
SAU,X,2022,258544564094.252,258544564094.252,both,0.0,False
SAU,X,2023,175993253253.989,175993253253.989,both,0.0,False
SAU,X,2024,179494074921.181,179494074921.181,both,0.0,False
THA,M,2019,21194651405.887,21194651405.887,both,0.0,False
THA,M,2020,16128573982.305,16128573982.305,both,0.0,False
THA,M,2021,23506593457.547,23506593457.547,both,0.0,False
THA,M,2022,35999781951.51,35999781951.51,both,0.0,False
THA,M,2023,32178787769.988,32178787769.988,both,0.0,False
THA,M,2024,31334742360.5,31334742360.5,both,0.0,False
THA,X,2019,659258735.053,659258735.053,both,0.0,False
THA,X,2020,369503254.236,369503254.236,both,0.0,False
THA,X,2021,424444023.682,424444023.682,both,0.0,False
THA,X,2022,600761481.017,600761481.017,both,0.0,False
THA,X,2023,357486570.611,357486570.611,both,0.0,False
THA,X,2024,552937983.389,552937983.389,both,0.0,False
