typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate,query_label
C,A,20190101,2019,52,2019,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,9398316256.438,True,-1,N/A,0.0,False,9398316256.438,True,0.0,False,4813815110.0,4654709029.0,4813815110.0,6,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,0.0,False,,24199539301.0,24199539301.0,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,124,CAN,Canada,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,29669981491.399,True,-1,N/A,0.0,False,29669981491.399,True,0.0,False,,14297140175.652,14297140175.652,6,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,170,COL,Colombia,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0.0,False,-1,N/A,0.0,False,,False,0.0,False,148162456.8,145837814.27,148162456.8,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,145392729987.636,True,-1,N/A,0.0,False,145392729987.636,True,0.0,False,,68104060281.267,68104060281.267,6,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,170,COL,Colombia,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,32647277120.0,False,12,m³,35312066.85,False,32647277120.0,False,0.0,False,,12979915800.03,12979915800.03,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,392,JPN,Japan,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,146588112700.0,False,8,kg,146588112700.0,False,146588112700.0,False,0.0,False,73086768742.827,0.0,73086768742.827,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,410,KOR,Rep. of Korea,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,143056696295.27,False,8,kg,143056696295.27,False,143056696295.27,False,0.0,False,70251768064.0,,70251768064.0,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,484,MEX,Mexico,M,Import,0,W00,World,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,42732456.187,True,-1,N/A,0.0,False,42732456.187,True,0.0,False,,20591584.0,20591584.0,6,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,410,KOR,Rep. of Korea,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1301.114,True,-1,N/A,0.0,False,1301.114,True,0.0,False,,5724.0,5724.0,6,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,414,KWT,Kuwait,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,115420167000.0,False,19,BBL,725913000.0,False,,False,0.0,False,,46539357988.0,46539357988.0,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,484,MEX,Mexico,X,Export,0,W00,World,0,W00,World,H4,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,47738020069.101,True,-1,N/A,0.0,False,47738020069.101,True,0.0,False,,22361179935.0,22361179935.0,6,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,490,S19,"Other Asia, nes",M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,43993858000.0,False,7,l,51359214400.0,False,43993858000.0,False,0.0,False,21328832603.48,,21328832603.48,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,579,NOR,Norway,M,Import,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3489893580.0,False,-1,N/A,0.0,False,3489893580.0,False,0.0,False,1713564769.952,,1713564769.952,0,False,True,reporter_world_2019
C,A,20190101,2019,52,2019,579,NOR,Norway,X,Export,0,W00,World,0,W00,World,H5,HS,True,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,False,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,61278209950.0,False,-1,N/A,0.0,False,61278209950.0,False,0.0,False,,29305062240.449,29305062240.449,0,False,True,reporter_world_2019
