date,VXY_Global
2019-01-01,9.235
2019-01-02,9.28
2019-01-03,9.6
2019-01-04,9.19
2019-01-07,8.94
2019-01-08,8.71
2019-01-09,8.73
2019-01-10,8.84
2019-01-11,8.66
2019-01-14,8.71
2019-01-15,8.615
2019-01-16,8.525
2019-01-17,8.43
2019-01-18,8.275
2019-01-21,8.31
2019-01-22,8.2
2019-01-23,8.045
2019-01-24,8.035
2019-01-25,7.935
2019-01-28,8.085
2019-01-29,8.075
2019-01-30,7.96
2019-01-31,7.98
2019-02-01,7.855
2019-02-04,7.89
2019-02-05,7.9
2019-02-06,7.905
2019-02-07,8.045
2019-02-08,8.02
2019-02-11,8.05
2019-02-12,8.015
2019-02-13,7.88
2019-02-14,8.02
2019-02-15,7.99
2019-02-18,7.985
2019-02-19,7.945
2019-02-20,7.87
2019-02-21,7.86
2019-02-22,7.62
2019-02-25,7.6
2019-02-26,7.4
2019-02-27,7.35
2019-02-28,7.27
2019-03-01,7.215
2019-03-04,7.255
2019-03-05,7.215
2019-03-06,7.275
2019-03-07,7.38
2019-03-08,7.4
2019-03-11,7.295
2019-03-12,7.225
2019-03-13,7.175
2019-03-14,7.15
2019-03-15,6.93
2019-03-18,6.82
2019-03-19,6.755
2019-03-20,6.945
2019-03-21,7.235
2019-03-22,7.475
2019-03-25,7.515
2019-03-26,7.375
2019-03-27,7.68
2019-03-28,7.915
2019-03-29,7.63
2019-04-01,7.34
2019-04-02,7.305
2019-04-03,7.215
2019-04-04,7.12
2019-04-05,6.92
2019-04-08,6.85
2019-04-09,6.785
2019-04-10,6.675
2019-04-11,6.315
2019-04-12,6.375
2019-04-15,6.325
2019-04-16,6.275
2019-04-17,6.315
2019-04-18,6.305
2019-04-19,6.29
2019-04-22,6.295
2019-04-23,6.37
2019-04-24,6.555
2019-04-25,6.88
2019-04-26,6.61
2019-04-29,6.595
2019-04-30,6.685
2019-05-01,6.68
2019-05-02,6.565
2019-05-03,6.535
2019-05-06,6.89
2019-05-07,6.995
2019-05-08,7.175
2019-05-09,7.575
2019-05-10,7.085
2019-05-13,7.275
2019-05-14,7.19
2019-05-15,7.265
2019-05-16,7.125
2019-05-17,7.18
2019-05-20,7.11
2019-05-21,6.94
2019-05-22,6.875
2019-05-23,6.98
2019-05-24,6.97
2019-05-27,6.925
2019-05-28,6.835
2019-05-29,6.95
2019-05-30,6.78
2019-05-31,6.915
2019-06-03,7.005
2019-06-04,7.14
2019-06-05,7.225
2019-06-06,7.14
2019-06-07,7.065
2019-06-10,6.945
2019-06-11,6.86
2019-06-12,6.845
2019-06-13,6.81
2019-06-14,6.745
2019-06-17,6.725
2019-06-18,6.785
2019-06-19,6.82
2019-06-20,6.87
2019-06-21,6.785
2019-06-24,6.925
2019-06-25,7.015
2019-06-26,6.955
2019-06-27,6.94
2019-06-28,6.9
2019-07-01,6.63
2019-07-02,6.415
2019-07-03,6.45
2019-07-04,6.395
2019-07-05,6.275
2019-07-08,6.27
2019-07-09,6.315
2019-07-10,6.295
2019-07-11,6.245
2019-07-12,6.17
2019-07-15,6.245
2019-07-16,6.325
2019-07-17,6.4
2019-07-18,6.505
2019-07-19,6.535
2019-07-22,6.5
2019-07-23,6.53
2019-07-24,6.615
2019-07-25,6.625
2019-07-26,6.535
2019-07-29,6.67
2019-07-30,6.71
2019-07-31,6.735
2019-08-01,7.05
2019-08-02,7.585
2019-08-05,8.4
2019-08-06,7.9
2019-08-07,8.29
2019-08-08,8.06
2019-08-09,8.13
2019-08-12,8.47
2019-08-13,8.315
2019-08-14,8.315
2019-08-15,8.555
2019-08-16,8.26
2019-08-19,8.125
2019-08-20,8.125
2019-08-21,8.0
2019-08-22,8.1
2019-08-23,8.025
2019-08-26,8.425
2019-08-27,8.23
2019-08-28,8.265
2019-08-29,8.34
2019-08-30,8.315
2019-09-02,8.335
2019-09-03,8.48
2019-09-04,7.925
2019-09-05,7.715
2019-09-06,7.415
2019-09-09,7.34
2019-09-10,7.23
2019-09-11,7.27
2019-09-12,7.27
2019-09-13,7.285
2019-09-16,7.325
2019-09-17,7.385
2019-09-18,7.44
2019-09-19,7.455
2019-09-20,7.375
2019-09-23,7.485
2019-09-24,7.37
2019-09-25,7.47
2019-09-26,7.445
2019-09-27,7.335
2019-09-30,7.365
2019-10-01,7.41
2019-10-02,7.515
2019-10-03,7.545
2019-10-04,7.22
2019-10-07,7.275
2019-10-08,7.305
2019-10-09,7.285
2019-10-10,7.225
2019-10-11,7.22
2019-10-14,7.065
2019-10-15,7.07
2019-10-16,7.01
2019-10-17,6.925
2019-10-18,6.78
2019-10-21,6.74
2019-10-22,6.66
2019-10-23,6.605
2019-10-24,6.55
2019-10-25,6.395
2019-10-28,6.4
2019-10-29,6.42
2019-10-30,6.48
2019-10-31,6.575
2019-11-01,6.555
2019-11-04,6.595
2019-11-05,6.57
2019-11-06,6.53
2019-11-07,6.47
2019-11-08,6.47
2019-11-11,6.51
2019-11-12,6.51
2019-11-13,6.61
2019-11-14,6.64
2019-11-15,6.49
2019-11-18,6.4
2019-11-19,6.36
2019-11-20,6.41
2019-11-21,6.4
2019-11-22,6.26
2019-11-25,6.225
2019-11-26,6.105
2019-11-27,5.98
2019-11-28,5.975
2019-11-29,6.005
2019-12-02,6.085
2019-12-03,6.265
2019-12-04,6.245
2019-12-05,6.195
2019-12-06,6.195
2019-12-09,6.18
2019-12-10,6.24
2019-12-11,6.25
2019-12-12,6.275
2019-12-13,6.065
2019-12-16,5.845
2019-12-17,5.935
2019-12-18,5.905
2019-12-19,5.805
2019-12-20,5.73
2019-12-23,5.7
2019-12-24,5.675
2019-12-25,5.705
2019-12-26,5.73
2019-12-27,5.855
2019-12-30,6.01
2019-12-31,6.145
2020-01-01,6.15
2020-01-02,6.07
2020-01-03,6.2
2020-01-06,6.12
2020-01-07,5.98
2020-01-08,5.955
2020-01-09,5.775
2020-01-10,5.6
2020-01-13,5.605
2020-01-14,5.555
2020-01-15,5.525
2020-01-16,5.445
2020-01-17,5.36
2020-01-20,5.315
2020-01-21,5.395
2020-01-22,5.34
2020-01-23,5.425
2020-01-24,5.39
2020-01-27,5.745
2020-01-28,5.705
2020-01-29,5.555
2020-01-30,5.725
2020-01-31,5.93
2020-02-03,5.85
2020-02-04,5.58
2020-02-05,5.515
2020-02-06,5.545
2020-02-07,5.735
2020-02-10,5.745
2020-02-11,5.585
2020-02-12,5.485
2020-02-13,5.69
2020-02-14,5.615
2020-02-17,5.525
2020-02-18,5.55
2020-02-19,5.55
2020-02-20,5.89
2020-02-21,5.97
2020-02-24,6.345
2020-02-25,6.28
2020-02-26,6.42
2020-02-27,6.94
2020-02-28,7.595
2020-03-02,7.84
2020-03-03,7.295
2020-03-04,6.97
2020-03-05,7.56
2020-03-06,8.72
2020-03-09,11.84
2020-03-10,10.46
2020-03-11,10.67
2020-03-12,13.9
2020-03-13,12.38
2020-03-16,13.675
2020-03-17,13.28
2020-03-18,14.185
2020-03-19,16.05
2020-03-20,14.45
2020-03-23,14.975
2020-03-24,12.67
2020-03-25,11.67
2020-03-26,12.125
2020-03-27,12.26
2020-03-30,12.17
2020-03-31,11.445
2020-04-01,11.605
2020-04-02,11.47
2020-04-03,11.49
2020-04-06,10.875
2020-04-07,10.33
2020-04-08,10.22
2020-04-09,9.66
2020-04-10,9.53
2020-04-13,9.665
2020-04-14,9.445
2020-04-15,9.675
2020-04-16,9.91
2020-04-17,9.805
2020-04-20,9.695
2020-04-21,10.11
2020-04-22,9.95
2020-04-23,9.915
2020-04-24,10.025
2020-04-27,9.81
2020-04-28,9.715
2020-04-29,9.325
2020-04-30,8.865
2020-05-01,9.42
2020-05-04,9.685
2020-05-05,9.53
2020-05-06,9.66
2020-05-07,9.735
2020-05-08,9.38
2020-05-11,9.395
2020-05-12,9.23
2020-05-13,9.22
2020-05-14,9.395
2020-05-15,9.18
2020-05-18,9.18
2020-05-19,8.965
2020-05-20,8.805
2020-05-21,8.5
2020-05-22,8.615
2020-05-25,8.615
2020-05-26,8.265
2020-05-27,8.095
2020-05-28,8.11
2020-05-29,8.16
2020-06-01,8.075
2020-06-02,8.02
2020-06-03,8.005
2020-06-04,7.925
2020-06-05,7.835
2020-06-08,7.875
2020-06-09,8.2
2020-06-10,8.455
2020-06-11,8.675
2020-06-12,8.905
2020-06-15,9.11
2020-06-16,8.895
2020-06-17,8.93
2020-06-18,9.01
2020-06-19,8.795
2020-06-22,8.64
2020-06-23,8.74
2020-06-24,8.695
2020-06-25,8.775
2020-06-26,8.635
2020-06-29,8.66
2020-06-30,8.45
2020-07-01,8.295
2020-07-02,8.1
2020-07-03,7.825
2020-07-06,7.9
2020-07-07,7.86
2020-07-08,7.805
2020-07-09,7.79
2020-07-10,7.75
2020-07-13,7.72
2020-07-14,7.805
2020-07-15,7.74
2020-07-16,7.6
2020-07-17,7.54
2020-07-20,7.46
2020-07-21,7.41
2020-07-22,7.655
2020-07-23,7.68
2020-07-24,7.975
2020-07-27,8.45
2020-07-28,8.455
2020-07-29,8.455
2020-07-30,8.425
2020-07-31,8.52
