event,series,method,window,CAR,t,sig
ukraine,EUR,const_mean,"(-1,1)",-0.004001350975234129,-0.6568072410105007,
ukraine,EUR,const_mean,"(0,1)",-0.0029946645896940186,-0.6020396603490921,
ukraine,EUR,const_mean,"(0,5)",-0.019722021105313153,-2.289115502810336,**
ukraine,EUR,const_mean,"(0,10)",-0.0252550447713134,-2.1649292728561584,**
ukraine,EUR,const_mean,"(0,20)",-0.0205360123324017,-1.2740849382296349,
ukraine,EUR,market_model,"(-1,1)",0.0001446453412520532,0.032101533448239294,
ukraine,EUR,market_model,"(0,1)",0.0010350715989374624,0.28134380060571895,
ukraine,EUR,market_model,"(0,5)",-0.010849226896554359,-1.7025705708613503,*
ukraine,EUR,market_model,"(0,10)",-0.013071380664255136,-1.514980613070982,
ukraine,EUR,market_model,"(0,20)",-0.01673636738773215,-1.4038913845223375,
ukraine,GBP,const_mean,"(-1,1)",-0.012547908989239399,-1.8381145791462372,*
ukraine,GBP,const_mean,"(0,1)",-0.009665496161976664,-1.7340874768242158,*
ukraine,GBP,const_mean,"(0,5)",-0.012923689836275194,-1.338667588145398,
ukraine,GBP,const_mean,"(0,10)",-0.03168235261411062,-2.4237226847113944,**
ukraine,GBP,const_mean,"(0,20)",-0.021449653486220046,-1.187606265856422,
ukraine,GBP,market_model,"(-1,1)",-0.007824766592022428,-1.5717588975811592,
ukraine,GBP,market_model,"(0,1)",-0.005074797958400896,-1.248472331071592,
ukraine,GBP,market_model,"(0,5)",-0.0028157526095756464,-0.39993925502730143,
ukraine,GBP,market_model,"(0,10)",-0.01780265371793112,-1.867512704816382,*
ukraine,GBP,market_model,"(0,20)",-0.01712107652603845,-1.2998600139873504,
ukraine,AUD,const_mean,"(-1,1)",0.0028969212874118376,0.30999159090990114,
ukraine,AUD,const_mean,"(0,1)",0.0005936574577616247,0.07780271911488722,
ukraine,AUD,const_mean,"(0,5)",0.014896139591327372,1.1271246645981934,
ukraine,AUD,const_mean,"(0,10)",0.020261139170365136,1.1322474787917354,
ukraine,AUD,const_mean,"(0,20)",0.04407612316361396,1.782656166544645,*
ukraine,AUD,market_model,"(-1,1)",0.010031091351344603,1.636861369638298,
