series,pair,event_A,event_B,window,CAR_A_%,CAR_B_%,diff_%,t,sig
r_DTWEXBGS,liberation_day-hormuz,liberation_day,hormuz,"(0,1)",-1.441,1.393,-2.834,-5.21,***
r_DTWEXBGS,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",-0.103,1.529,-1.632,-1.73,*
r_DTWEXBGS,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",-3.002,2.1,-5.102,-4.0,***
r_DTWEXBGS,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",-3.982,3.255,-7.237,-4.11,***
r_DTWEXBGS,liberation_day-ukraine,liberation_day,ukraine,"(0,1)",-1.441,0.488,-1.928,-3.53,***
r_DTWEXBGS,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",-0.103,1.033,-1.136,-1.2,
r_DTWEXBGS,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",-3.002,1.647,-4.649,-3.63,***
r_DTWEXBGS,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",-3.982,0.844,-4.826,-2.73,***
r_DTWEXBGS,hormuz-ukraine,hormuz,ukraine,"(0,1)",1.393,0.488,0.905,2.02,**
r_DTWEXBGS,hormuz-ukraine,hormuz,ukraine,"(0,5)",1.529,1.033,0.496,0.64,
r_DTWEXBGS,hormuz-ukraine,hormuz,ukraine,"(0,10)",2.1,1.647,0.453,0.43,
r_DTWEXBGS,hormuz-ukraine,hormuz,ukraine,"(0,20)",3.255,0.844,2.411,1.66,*
r_DTWEXBGS,liberation_day-iran_12day,liberation_day,iran_12day,"(0,1)",-1.441,0.04,-1.481,-2.14,**
r_DTWEXBGS,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",-0.103,0.88,-0.983,-0.82,
r_DTWEXBGS,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",-3.002,-0.134,-2.868,-1.77,*
r_DTWEXBGS,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",-3.982,0.352,-4.335,-1.93,*
USD_EW,liberation_day-hormuz,liberation_day,hormuz,"(0,1)",-0.957,1.592,-2.55,-4.55,***
USD_EW,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",0.207,1.359,-1.152,-1.19,
USD_EW,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",-1.909,2.129,-4.038,-3.07,***
USD_EW,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",-2.756,3.487,-6.243,-3.44,***
USD_EW,liberation_day-ukraine,liberation_day,ukraine,"(0,1)",-0.957,0.458,-1.416,-2.42,**
USD_EW,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",0.207,1.009,-0.802,-0.79,
USD_EW,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",-1.909,1.385,-3.294,-2.4,**
USD_EW,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",-2.756,0.432,-3.188,-1.68,*
USD_EW,hormuz-ukraine,hormuz,ukraine,"(0,1)",1.592,0.458,1.134,2.21,**
USD_EW,hormuz-ukraine,hormuz,ukraine,"(0,5)",1.359,1.009,0.351,0.4,
USD_EW,hormuz-ukraine,hormuz,ukraine,"(0,10)",2.129,1.385,0.744,0.62,
USD_EW,hormuz-ukraine,hormuz,ukraine,"(0,20)",3.487,0.432,3.055,1.84,*
USD_EW,liberation_day-iran_12day,liberation_day,iran_12day,"(0,1)",-0.957,0.103,-1.06,-1.57,
USD_EW,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",0.207,0.828,-0.621,-0.53,
USD_EW,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",-1.909,-0.153,-1.756,-1.11,
USD_EW,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",-2.756,0.341,-3.097,-1.42,
SAFE,liberation_day-hormuz,liberation_day,hormuz,"(0,1)",1.521,-1.24,2.76,3.89,***
SAFE,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",1.072,-1.03,2.102,1.71,*
SAFE,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",4.174,-2.42,6.594,3.97,***
SAFE,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",4.288,-3.697,7.985,3.48,***
SAFE,liberation_day-ukraine,liberation_day,ukraine,"(0,1)",1.521,-0.31,1.831,2.81,***
SAFE,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",1.072,-1.073,2.145,1.9,*
SAFE,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",4.174,-1.778,5.952,3.9,***
SAFE,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",4.288,-2.056,6.345,3.01,***
SAFE,hormuz-ukraine,hormuz,ukraine,"(0,1)",-1.24,-0.31,-0.929,-1.58,
SAFE,hormuz-ukraine,hormuz,ukraine,"(0,5)",-1.03,-1.073,0.043,0.04,
SAFE,hormuz-ukraine,hormuz,ukraine,"(0,10)",-2.42,-1.778,-0.643,-0.47,
SAFE,hormuz-ukraine,hormuz,ukraine,"(0,20)",-3.697,-2.056,-1.64,-0.86,
SAFE,liberation_day-iran_12day,liberation_day,iran_12day,"(0,1)",1.521,-0.133,1.654,1.99,**
SAFE,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",1.072,-1.035,2.107,1.47,
SAFE,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",4.174,0.481,3.693,1.9,*
SAFE,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",4.288,-0.162,4.45,1.65,*
r_DCOILBRENTEU,liberation_day-hormuz,liberation_day,hormuz,"(0,1)",-6.924,15.385,-22.309,-6.39,***
r_DCOILBRENTEU,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",-14.32,27.629,-41.948,-6.94,***
r_DCOILBRENTEU,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",-13.246,34.183,-47.43,-5.79,***
r_DCOILBRENTEU,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",-19.955,52.344,-72.299,-6.39,***
r_DCOILBRENTEU,liberation_day-ukraine,liberation_day,ukraine,"(0,1)",-6.924,-1.133,-5.791,-1.5,
r_DCOILBRENTEU,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",-14.32,13.818,-28.137,-4.22,***
r_DCOILBRENTEU,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",-13.246,12.118,-25.364,-2.81,***
r_DCOILBRENTEU,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",-19.955,18.064,-38.02,-3.05,***
r_DCOILBRENTEU,hormuz-ukraine,hormuz,ukraine,"(0,1)",15.385,-1.133,16.517,4.27,***
r_DCOILBRENTEU,hormuz-ukraine,hormuz,ukraine,"(0,5)",27.629,13.818,13.811,2.06,**
r_DCOILBRENTEU,hormuz-ukraine,hormuz,ukraine,"(0,10)",34.183,12.118,22.066,2.43,**
r_DCOILBRENTEU,hormuz-ukraine,hormuz,ukraine,"(0,20)",52.344,18.064,34.28,2.74,***
r_DCOILBRENTEU,liberation_day-iran_12day,liberation_day,iran_12day,"(0,1)",-6.924,6.004,-12.928,-3.72,***
r_DCOILBRENTEU,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",-14.32,11.253,-25.572,-4.25,***
r_DCOILBRENTEU,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",-13.246,-0.827,-12.419,-1.52,
r_DCOILBRENTEU,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",-19.955,4.131,-24.087,-2.14,**
r_Oil_EUR,liberation_day-hormuz,liberation_day,hormuz,"(0,1)",-9.361,17.109,-26.47,-7.22,***
r_Oil_EUR,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",-15.993,29.207,-45.2,-7.11,***
r_Oil_EUR,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",-19.107,36.956,-56.063,-6.52,***
r_Oil_EUR,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",-25.574,55.56,-81.133,-6.83,***
r_Oil_EUR,liberation_day-ukraine,liberation_day,ukraine,"(0,1)",-9.361,-0.833,-8.528,-2.13,**
r_Oil_EUR,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",-15.993,15.79,-31.783,-4.59,***
r_Oil_EUR,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",-19.107,14.643,-33.75,-3.6,***
r_Oil_EUR,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",-25.574,20.118,-45.692,-3.53,***
r_Oil_EUR,hormuz-ukraine,hormuz,ukraine,"(0,1)",17.109,-0.833,17.943,4.57,***
