rel_day,EUR__cm,EUR__mm,GBP__cm,GBP__mm,AUD__cm,AUD__mm,NZD__cm,NZD__mm,JPY__cm,JPY__mm,CHF__cm,CHF__mm,CAD__cm,CAD__mm,SEK__cm,SEK__mm,NOK__cm,NOK__mm,DKK__cm,DKK__mm,MXN__cm,MXN__mm,BRL__cm,BRL__mm,ZAR__cm,ZAR__mm,TRY__cm,TRY__mm,INR__cm,INR__mm,KRW__cm,KRW__mm,TWD__cm,TWD__mm,THB__cm,THB__mm,SGD__cm,SGD__mm,MYR__cm,MYR__mm,IDR__cm,IDR__mm,COP__cm,COP__mm,CLP__cm,CLP__mm,PEN__cm,PEN__mm,PLN__cm,PLN__mm,HUF__cm,HUF__mm,CZK__cm,CZK__mm,ILS__cm,ILS__mm,CNY__cm,CNY__mm,HKD__cm,HKD__mm,SAR__cm,SAR__mm,KWD__cm,KWD__mm,r_DTWEXBGS__cm,r_DTWEXAFEGS__cm,r_DTWEXEMEGS__cm,r_SP500__cm,r_DCOILBRENTEU__cm,r_DCOILWTICO__cm,r_DHHNGSP__cm,r_Gold__cm,r_EuroStoxx50_EUR__cm,d_DGS10__cm,d_DGS5__cm,d_DFII5__cm,d_T5YIE__cm,d_VIXCLS__cm,d_GPRD__cm,d_GPRD_ACT__cm,d_GPRD_THREAT__cm,d_VXY_Global__cm,r_Oil_EUR__cm,r_Gold_EUR__cm,USD_EW__cm,SAFE__cm,SAFE__mm,RISKY__cm,RISKY__mm,CARRY_HML__cm,CARRY_HML__mm,HAVEN_SAFE__cm,HAVEN_SAFE__mm,HAVEN_RISKY__cm,HAVEN_RISKY__mm,OIL_EXP__cm,OIL_EXP__mm,OIL_IMP__cm,OIL_IMP__mm
-20,-0.0035895146291226644,-0.001188359152407759,-0.009162976131815007,-0.006560598045178382,-0.006146346077311644,-0.002697126077371461,-0.004391593248774019,-0.0007029276602367098,-0.003120761438993603,-0.0007458670109333982,-0.002533458498259275,0.0002465161612168233,-0.0011868617793420585,0.00017130036477825718,-0.00381736181032556,0.0002917547803481784,-0.007474693610102802,-0.004721043732713103,-0.003976883775051015,-0.0015535882568679282,-0.0031090942796215765,0.00021633494083550964,0.005506803321871784,0.009226923626981097,-0.0050526449732544165,0.00023470315318520688,0.0002582333376439416,0.0003345383918098382,-9.88719524439908e-06,0.0008345503431336694,-0.0022498776067042927,0.0012195437945385621,-0.0006594796217572441,0.00097521930768398,-0.002756268283649201,0.000248941098795944,-0.0027110874319612923,-0.000959829454885659,-0.0006790756390465101,0.00019025310166305816,0.0003932353460008141,0.0008081659597363055,0.0011595357536890844,0.0032598783908951703,-0.009918411899677574,-0.005355440493661247,-0.0013708986996112268,0.0004189326176041613,-0.0028616256995869786,0.0005680926751698433,-0.0031682483066949783,0.001962985319055755,-0.00305255497581794,-0.0001965466007625336,0.000535989480318067,0.0030361690851096316,0.0005117933452485342,0.0007960522736974755,-0.00026402628461518954,-0.00027423950386966774,-0.0001301398802045169,-0.00012163332079572907,-1.6305239182019697e-05,3.634392344582743e-05,0.0018447624209025875,0.0024879537702855383,0.0012209354213048897,0.006887529435049505,0.0012667865134209175,-0.0034536608098545514,-0.0278646172318752,-0.008837299443355963,0.012230694978656384,0.0061666666666663735,0.0053333333333330304,0.03875,-0.03341666666666686,-0.615666666666666,-32.00345045725505,-2.0921091079711625,-72.45071716308588,0.01687499999999959,0.00485630114254358,-0.0052477848142332036,0.0023451402009673516,-0.0022772649716842393,0.00040919632425902644,-0.0019357188243939744,0.0007084815404179714,0.00034154614729015606,0.00029928521615884087,-0.0030812448554585433,-0.000562570000708142,-0.00014065524894506614,0.0023467574105738437,-0.000750107958984496,0.0011525863133467987,-0.0014230068014508448,0.00047782098750471483
-19,-0.007406385691045828,0.000774725964537181,-0.015099941822457212,-0.00623323331345859,-0.016785617073389984,-0.005033585929289653,-0.017242133390637137,-0.0046742737361606425,-0.005633202108885505,0.002458434053202706,-0.00690566481159785,0.0025661429532125735,-0.003537111650047317,0.0010903588553761818,-0.013638799445186521,0.00036160242804123346,-0.016529344989462402,-0.007147229867900713,-0.007938647487629732,0.0003178987464580586,-0.010517341395054353,0.0008129152331081656,-0.009996548472273633,0.002678482313296114,-0.01850265700927793,-0.0004878363099034052,-0.0006094700377322169,-0.0003494868029645212,-0.001531445258221598,0.001345685296059829,-0.005198807404811785,0.006622053068025942,-0.0014451142807626882,0.0041245602341577585,-0.010566581052642101,-0.00032736341571248896,-0.006509480357426784,-0.0005426709662299603,-0.0060514420601537194,-0.003089503292705559,0.0007864706920016283,0.0022002040854484733,-0.0026976735012733313,0.004458521837428118,-0.025014150949614747,-0.009467394849953627,-0.004663270967890154,0.0014349638164860667,-0.007509697982722158,0.004175888079151065,-0.018420041827377356,-0.0009371276095184555,-0.0069090540580953805,0.002821812448548035,-0.006049310072882566,0.0024691922499221505,-0.0034718912284667316,-0.0025033766715006696,6.571244953012092e-05,3.091441671045889e-05,-0.00012702993010533378,-9.804675387912964e-05,-3.2610478364039394e-05,0.0001467734400070686,0.007188827221828176,0.007298008983792377,0.00708225839189058,-0.006291709571701691,0.02396554557884583,0.032293252045799,0.011234370141896197,-0.03417285459791733,-0.006294299006322732,0.12233333333333316,0.13066666666666624,0.1375,-0.006833333333333316,0.5486666666666654,-39.550830968221035,-73.9275043487549,4.996087646484426,0.12374999999999997,0.03137193126989166,-0.026766468906871406,0.007990258864186103,-0.007377865351857579,0.0017753277810515786,-0.00804345468834055,0.0009657488530544214,-0.000665589336482988,-0.0008095789279971588,-0.006648417537176387,0.0019331009903174896,-0.006922869953934967,0.0015521333927354733,-0.006205380059511391,0.0002773964367766054,-0.00416410335717599,0.002312313738794843
-18,-0.004911525939244292,0.0007673372213111533,-0.007165310910484019,-0.00101054534475877,-0.015168826442506028,-0.007011233741716066,-0.011350258923642255,-0.0026263643964074294,-0.0059693330329507075,-0.00035257867926301485,-0.0038310345677713253,0.002743756541788684,-0.0030483509826081754,0.00016377627907918492,-0.006633152699762081,0.003085131291214534,-0.011938639854475703,-0.005426108284812143,-0.005262352474961247,0.00046887308656577047,-0.00790867833760193,-4.3857556015123277e-05,0.002494730916182351,0.011293017557088576,-0.011421877580641048,0.0010829880073838886,-0.0018470954749321754,-0.001666629876069854,-0.004892491907311197,-0.0028953512495783072,0.0005685496234430218,0.008773919735884103,-0.0008050875959776323,0.0030610641876227646,-0.006864625174877702,0.00024285829182061876,-0.005029158443174076,-0.0008873381791027395,-0.013035184297740528,-0.010979174594119918,-0.009073872830435658,-0.008092539385192488,-0.0043472150682221464,0.000620209383313983,-0.01500820396655152,-0.004216528678724812,-0.001071757279281581,0.003161291029963625,-0.003462699101660337,0.004648771196020496,-0.012368387290116533,-0.00023274097813929607,-0.003629204273697321,0.003125410704225524,-0.0005273342931140989,0.005385726310461582,-0.0023964811154687975,-0.0017241933055031605,0.00011453261876685695,9.037780033157481e-05,-0.00017721494098009926,-0.0001570964658050837,-0.001516746038983459,-0.0013922279088661926,0.005492524110797863,0.005690406604513816,0.00529999477428697,-0.007766510245415486,0.04355192266607695,0.05697342266543805,0.0755395106993661,-0.029111194870103094,-0.0029537121256103488,0.13850000000000023,0.13599999999999926,0.15625,-0.020250000000000174,-0.06700000000000061,-16.556493949890143,94.35390644073485,-57.8539672851562,0.16562499999999997,0.048463448605321244,-0.02419966893085871,0.005546383990024455,-0.004220299043385418,0.0021333278807080264,-0.0072821575032427244,-0.0010284799773701582,-0.003061858459857232,-0.0031618078580781,-0.004903964513322131,0.0010528383612789156,-0.005350668062608468,0.0005321980217514472,-0.0037774449009554873,0.0007225304291405411,-0.0033016805937677346,0.0011938804017360355
-17,-0.009378794967690656,0.0006304104910972112,-0.010135729325550225,0.0007122716486432216,-0.02433068903484797,-0.009952631475995167,-0.018350959322920874,-0.0029747739394808924,-0.00731168083361901,0.002588055565752622,-0.0100389294117718,0.0015493820519193423,-0.003578220633046434,0.002083271960280608,-0.009078554372181741,0.00805027906197689,-0.014243389030795806,-0.0027648122990350955,-0.009778989286180362,0.0003225068326959987,-0.015622034240218907,-0.0017599979710182746,-0.009429638154330565,0.006077666069130507,-0.019445476947471063,0.0025948091743071494,-0.0013684200437077687,-0.0010503427796168525,-0.006245925360568996,-0.0027258914016256982,-0.011662573818632671,0.0027996931877776543,-0.003962208497650277,0.0028520264016337923,-0.011743368754782503,0.00078383260609043,-0.008157683596593268,-0.0008575728482993763,-0.013585586743278838,-0.009961793922958893,-0.011792819936983643,-0.010063183599689276,-0.0030621820483042617,0.005693086485331029,-0.022834667775408095,-0.0038139426502377533,-0.0011559257207343077,0.006304977816878974,-0.009926027481050216,0.004370737643750143,-0.02117270246345881,0.00021682108686401453,-0.00908316995426356,0.0028220876998798264,-0.009620007726167432,0.0008019793508489362,-0.0048984827084164635,-0.0037135506846755657,-0.0002005423861872326,-0.0002431161432408906,-9.416148424970795e-05,-5.8701930840684107e-05,-0.0015330512781654788,-0.0013135834881428893,0.00898563624904835,0.008683988805191854,0.009277714747748161,-0.01520612705658968,0.02105544157378817,0.0507547949745737,0.1302281674175304,-0.048916955324507155,-0.0028818990044755656,0.19466666666666652,0.1813333333333333,0.2349999999999998,-0.053666666666666626,0.16733333333333114,-20.374183909098313,-22.98457107543952,1.9424621582031776,0.23749999999999935,0.030434236541478824,-0.039538160356816315,0.009775706041850907,-0.008733363509123357,0.002465137932759864,-0.012224772353351399,-0.0012024354067185128,-0.003491408844227876,-0.0036675733394781937,-0.008909801737693873,0.0015892827029230006,-0.010120095228502669,0.0002486728964073851,-0.006794668124158583,0.001136704117957998,-0.00704902955149358,0.0008745622633352583
-16,-0.00748109185940482,-0.0016569313255356912,-0.007440845300440832,-0.0011286060917032165,-0.019407752565329416,-0.011041442598692932,-0.012882227173050194,-0.003935126182825183,-0.006326518416402412,-0.0005660557832464757,-0.007227361789401475,-0.00048435041263365525,-0.003962507384489893,-0.0006681957769788514,-0.0014058439008279014,0.008561088648334294,-0.013477755207341707,-0.006798596320917443,-0.008134578390135778,-0.0022567157295248874,-0.010727184845672484,-0.0026611375564485973,-0.00017342222159668144,0.008849974252464867,-0.00585486447283508,0.006969946159155836,-0.0010674125022031272,-0.0008823295747053306,-0.008680549506876696,-0.0066323107184964435,-0.004821951009720964,0.0035933587844305817,-0.0012990187067647213,0.0026660510614934033,-0.007125249288076904,0.00016408372304338318,-0.0051552379398884605,-0.0009074465354510489,-0.012122887653860348,-0.01001427361711925,-0.006017897618216328,-0.005011456124424099,0.017900258635579924,0.022994777842621973,-0.013433222782227468,-0.002365435528212433,0.0020073211651058655,0.006348674743038529,-0.0073269339596069944,0.0009920735325164172,-0.014711186809548589,-0.002265042166700895,-0.006456318382524001,0.00047111777215378065,-0.004177444124939765,0.0018869059444416277,-0.0032435256741154294,-0.002554036947322407,-0.00015171981226782134,-0.00017649264729767351,-9.105153415052484e-05,-7.041831482419566e-05,-0.0015493565173474986,-0.0014216525106340789,0.006759255893547337,0.0070783079403381926,0.006450487452400452,-0.005210854950337476,-0.03446555679940691,-0.05141057635688836,0.1185113080577559,-0.03601532911117852,0.017943917490064118,0.09083333333333359,0.07666666666666612,0.2037499999999998,-0.1270833333333335,-0.4583333333333329,12.874135653177888,-45.21608448028565,36.105010986328175,0.12437499999999914,-0.026984464940002097,-0.02853423725177352,0.005688291798393059,-0.005006075440831197,0.0015101131222709212,-0.007769432816422873,-0.001355750921300594,-0.00276335737559152,-0.0028658640435713506,-0.007011657355069617,-0.0009024458404719923,-0.0009900871708239702,0.005043295833110751,-0.0017258598678596788,0.002889250230754945,-0.004886783238340925,-0.0002762004179136142
-15,-0.008380659106447285,-0.0027257083359702133,-0.007801936865411438,-0.001673087605624114,-0.02044495566812056,-0.012321712718900011,-0.012371072012428012,-0.003683911803848159,-0.006630825965022515,-0.0010377224754747941,-0.007461675067440749,-0.0009145688950328886,-0.006381128023861151,-0.003182526293233661,-0.0026336896073506618,0.007043672919045016,-0.012260276544159709,-0.005775167751007686,-0.008767546476396493,-0.003060453791006778,-0.010703252395638761,-0.0028715485702293948,-0.0017013703830911974,0.007059868691034405,-0.005176765051813796,0.007275445415746987,-0.0001543720143237856,2.5333685299248768e-05,-0.0016662826748605952,0.000322448481692412,-0.008856151371318958,-0.0006853321901679563,-0.00034212115657386534,0.0035077511487334495,-0.008636000172500505,-0.0015584446882744127,-0.0051204628784277525,-0.0009960828693843784,-0.010656619599447258,-0.008609267281054624,-0.007894166792433115,-0.006916965517216968,0.02685974619107651,0.03180625395773898,-0.014225018668065841,-0.0034787846493427917,0.003065813990265339,0.007281037904111418,-0.0067501591252015734,0.0013271556317691869,-0.013619031114318067,-0.0015344852251298142,-0.0067438068627958415,-1.7634019084507074e-05,-0.0055193274862308985,0.0003688345755570744,-0.0038507934411360955,-0.0031813364809201924,-0.00017948886830007122,-0.0002035419763358656,-0.00016788509068254993,-0.00014785132979146156,-0.0015656617565295184,-0.0014416679436946042,0.008684119477761125,0.00988206089655673,0.007521773271714042,-0.004235882433030471,-0.0676722000346939,-0.07096357861067511,0.10973699226853731,-0.036997476186422434,0.0150075145154521,0.08700000000000026,0.10199999999999965,0.2524999999999998,-0.15050000000000016,-1.1439999999999992,-54.44596519470218,-13.61500205993653,-58.56119079589839,0.09124999999999994,-0.05929154092824652,-0.028616817079974922,0.005523029439343411,-0.005657756937366636,0.0006691163212261716,-0.006566289881227247,-0.00033894515686708703,-0.0009085329438603639,-0.0010080614780930033,-0.00749105337963686,-0.0015593332354926462,0.00020496992562922902,0.006063064610395446,-0.0008456897146979749,0.00363533725154528,-0.00438095889243357,9.567232696777928e-05
-14,-0.00979786891451225,-0.0024515403921415765,-0.008088602908192345,-0.00012663436877611645,-0.0245642765967519,-0.014011397571958748,-0.017061215566726733,-0.005775753427626665,-0.007971928122375217,-0.0007059452055391503,-0.0054691701833721245,0.003036154578153837,-0.00969971073714461,-0.005544417423524737,-0.005078639202126622,0.0074931916120581695,-0.016830278838262012,-0.008405494674528198,-0.010052647257124308,-0.002638581339278227,-0.012694868684554439,-0.0025207272063058955,-0.008902045860836812,0.0024796518963883032,-0.007025309809152413,0.009151317121357016,-0.002547779516517244,-0.0023143244148980486,0.004239426821153806,0.006822981128113763,-0.019571781930123253,-0.008957096774065027,0.0024572436388561906,0.007458600480301877,-0.010297435469616506,-0.001103005697764625,-0.006766815035959045,-0.001408846111505505,-0.012468357259961768,-0.009808648388494323,-0.010330588116624401,-0.00906110905454377,0.026959499891680543,0.03338549236575736,-0.017637976185486515,-0.003677577822344789,-0.0002981076336566876,0.0051778763179867945,-0.007570094644320252,0.0029231192123043235,-0.015114356069885846,0.0005846389786866772,-0.0077719934892409815,0.000965956214250956,-0.004758537264604231,0.002890755303013405,-0.002957957833588161,-0.002088268430276388,-0.00023277817546996077,-0.0002640254914567827,-0.00011148017960941822,-8.545438468775168e-05,-0.0015819669957115381,-0.0014208870286529082,0.008187857726419712,0.009527484895669368,0.006889246719590932,-0.0012547255054038654,-0.06213659075802819,-0.07425991312059706,0.0409818897112708,-0.045892866618906694,0.024581824022009785,0.07316666666666632,0.11733333333333248,0.3012499999999998,-0.18391666666666662,-1.209666666666668,-96.51312109629313,-145.39627437591557,-86.50676574707029,0.03312499999999944,-0.05233872184351584,-0.03609499770439412,0.007174949941556863,-0.005845190788250098,0.002374030096868848,-0.007291938574271621,0.000797985109244743,-0.001446747786021308,-0.0015760449876238783,-0.007746322406753204,-4.044367317564113e-05,-0.002423515349334172,0.005186716784625761,-0.0032658359149196708,0.0025554519349209343,-0.005615375763103814,0.00020020158602467036
-13,-0.006309828610156514,-0.0030183627927676676,-0.0029169755388848513,0.0006503230384672294,-0.018888638748843542,-0.014160502717440262,-0.013477236550910252,-0.008420872307033924,-0.00601261789880102,-0.002757150310104134,-0.0028331258855182995,0.0009776192551468233,-0.008453949346268167,-0.006592202235264936,0.003226732958532817,0.008859444762922924,-0.014020777032425113,-0.01024611748522857,-0.006602167369328823,-0.0032803523344924683,-0.010237766018966315,-0.0056793204233252246,-0.005282598958422928,-0.0001831170883052338,0.003996505753839671,0.011244318647080857,-0.0013150013172405022,-0.001210403560070414,0.009700909571288507,0.010858451146353035,-0.014285145369880445,-0.009529317578199283,0.004276613656921347,0.006517433004171295,-0.004596298620038007,-0.0004768052959541534,-0.004267743213743837,-0.0018671465739709845,-0.008979145380112678,-0.007787483339954431,-0.012195327198783187,-0.011626546899072216,0.04034228800480133,0.04322140435616161,-0.011340096561050887,-0.0050852477791747406,0.0013725636962682857,0.003826036058485492,-0.0023808644174910312,0.002320539095632187,-0.005987280137113724,0.0010465334763643654,-0.003223595923842322,0.0006913750273649611,0.001029728822436936,0.0044569353429255165,-0.0017614713165826268,-0.00137181368909849,-0.00012013568586150443,-0.00013413580471578388,-5.507242803178823e-05,-4.3411771406620833e-05,-0.001272273861998258,-0.0012001032254925397,0.008380454182173199,0.009672456497355507,0.007128066795062022,-0.0019936139692592605,-0.06656627970566127,-0.07905213422210161,0.0448659707939758,-0.03327480966449146,0.043569138608431465,0.069333333333333,0.11266666666666582,0.2999999999999998,-0.18733333333333327,-1.3253333333333341,-48.42263844807943,-85.30218048095708,15.667852783203173,0.034999999999999434,-0.06025645109550466,-0.026964981054334626,0.003214680966444115,-0.001602685082374637,0.0020798734237629773,-0.002631260537780995,0.0009933673547088669,-0.001028575455406152,-0.0010865060690539007,-0.005051857464825248,-0.0015992979492416312,0.002551350044204627,0.0059610558387448356,0.0001456929083842335,0.0027538760181627514,-0.002038589996291759,0.0005670345676993117
-12,-0.0076380674732341785,-0.0025221673433274087,-0.007247966079736658,-0.0017033412020067687,-0.020483195730647587,-0.013134290082141703,-0.01996664302085547,-0.012107574773680393,-0.008422125786214922,-0.003362177427664451,-0.006510880902991074,-0.0005878688950352424,-0.009525517586782726,-0.006631818300368481,0.0004828954619351569,0.009237776311546132,-0.018105387468360816,-0.012238463022164968,-0.007905637280277138,-0.0027425655939586286,-0.012540789368773592,-0.005455632265907603,-0.009293094858310445,-0.0013670092146537962,-0.0018273939440493457,0.009437826167362221,-0.005207637754666361,-0.005045062261198554,0.005473085953525308,0.007272243964816153,-0.010615073725591038,-0.0032231269860142657,0.0035189788087729027,0.007001867170891142,-0.010403991910529507,-0.0040010949639801415,-0.005289886019387429,-0.0015586570342994103,-0.012561397806720989,-0.010709206617663797,-0.014336233712954673,-0.013452182846071248,0.03149207786019971,0.035967066370827985,-0.01035692043768186,-0.0006350568452679938,0.004688883325559559,0.008502296641377338,-0.00449580195651021,0.002811553543420772,-0.005906753941491302,0.005025848727151711,-0.004447128766759062,0.0016378806208673495,0.011632209719207802,0.01695909058509939,-0.0024209787080517924,-0.0018153368397589955,-0.00027551626735199396,-0.0002972765449422798,-0.00010526027941105199,-8.71362100592345e-05,-0.0012885791011802777,-0.0011764048331916884,0.007590061635012886,0.008917792006422644,0.006302518971844312,0.0033571913522871446,-0.11059093330794925,-0.11132360732837296,0.108568547087591,-0.04828403620901312,0.03138548997709395,0.005500000000000074,0.028000000000000053,0.22874999999999981,-0.20075000000000012,-0.9109999999999991,-84.0966516494751,-95.7071863174439,-73.07769470214839,-0.12312500000000066,-0.10295286583471489,-0.04064596873577863,0.004996554023728866,-0.0024772831547219764,0.003246489348218478,-0.00554878924641717,8.49421470818896e-05,-0.003071506091694996,-0.0031615472011363843,-0.0075236913874800904,-0.002157404555342403,-0.0019521786297591742,0.003347500991726428,-0.0027666501146597624,0.0012872289320689872,-0.004276127402450704,-0.00022622508385846535
-11,-0.008064304586591643,-0.003401435567780991,-0.008836958609459263,-0.0037833299406438217,-0.025503977455618332,-0.018805843481059067,-0.009231660274044987,-0.002068540409322568,-0.009697700910461425,-0.005085828935099629,-0.00884369738348605,-0.003445189107593646,-0.011753027366795184,-0.009115575420949368,0.0020356198500947964,0.010015224932372592,-0.020322726536144316,-0.014975339069382334,-0.008476682597610554,-0.003770819231104262,-0.016186552153594668,-0.009728810855004833,-0.014725568750881362,-0.007501366117957801,-0.0013880039836489623,0.008879640910455122,-0.00500837841312012,-0.004860199556524124,0.006011543566402644,0.007651379751192659,-0.00716860279372103,-0.00043123916944342623,0.0047346663081942585,0.007909132546258461,-0.008849605503655008,-0.00301370780343027,-0.005215868668488721,-0.0018150532508952799,-0.012986085248008098,-0.011297912161539692,-0.01394299836695386,-0.01313723334152938,0.042649634718758996,0.04672834711655603,-0.010468643739350534,-0.001607685667638537,0.004486242097632132,0.007961964131824923,-0.004823525497311789,0.001836737741776253,-0.0028946933112484804,0.007069788594990597,-0.0060043140567770025,-0.0004581538440575569,0.017847092285842667,0.022702258947767673,-0.0016726251286935583,-0.0011206149970554827,-2.24887048970835e-05,-4.23220326869113e-05,-0.00010215032931186887,-8.56312106173244e-05,-0.0013048843403622975,-0.0012026435018724952,0.007894257507712174,0.009405364615021283,0.006428455842776101,0.0027832022071328497,-0.17147511902566384,-0.1717149450222088,0.12208352123125721,-0.06026817819754149,0.03214125641539303,-0.018333333333332754,0.0033333333333329836,0.20749999999999982,-0.20416666666666677,-1.636666666666668,-67.3292891184489,-118.40741920471197,-46.48738098144527,-0.2562500000000005,-0.1634108144390719,-0.052203873610949435,0.0045540914338536185,-0.0015482757057232158,0.003668636430356289,-0.005461801165639326,-0.00032695667923484924,-0.00391352545991594,-0.003995593109590962,-0.008868567626846433,-0.003977484536824821,-0.001433644491573375,0.0033967296926657752,-0.0031064678226185617,0.0005884258486817845,-0.0033296796243935485,0.00036158947215883313
