rel_day,EUR__cm,EUR__mm,GBP__cm,GBP__mm,AUD__cm,AUD__mm,NZD__cm,NZD__mm,JPY__cm,JPY__mm,CHF__cm,CHF__mm,CAD__cm,CAD__mm,SEK__cm,SEK__mm,NOK__cm,NOK__mm,DKK__cm,DKK__mm,MXN__cm,MXN__mm,BRL__cm,BRL__mm,ZAR__cm,ZAR__mm,TRY__cm,TRY__mm,INR__cm,INR__mm,KRW__cm,KRW__mm,TWD__cm,TWD__mm,THB__cm,THB__mm,SGD__cm,SGD__mm,MYR__cm,MYR__mm,IDR__cm,IDR__mm,COP__cm,COP__mm,CLP__cm,CLP__mm,PEN__cm,PEN__mm,PLN__cm,PLN__mm,HUF__cm,HUF__mm,CZK__cm,CZK__mm,ILS__cm,ILS__mm,CNY__cm,CNY__mm,HKD__cm,HKD__mm,SAR__cm,SAR__mm,KWD__cm,KWD__mm,r_DTWEXBGS__cm,r_DTWEXAFEGS__cm,r_DTWEXEMEGS__cm,r_SP500__cm,r_DCOILBRENTEU__cm,r_DCOILWTICO__cm,r_DHHNGSP__cm,r_Gold__cm,r_EuroStoxx50_EUR__cm,d_DGS10__cm,d_DGS5__cm,d_DFII5__cm,d_T5YIE__cm,d_VIXCLS__cm,d_GPRD__cm,d_GPRD_ACT__cm,d_GPRD_THREAT__cm,d_VXY_Global__cm,r_Oil_EUR__cm,r_Gold_EUR__cm,USD_EW__cm,SAFE__cm,SAFE__mm,RISKY__cm,RISKY__mm,CARRY_HML__cm,CARRY_HML__mm,HAVEN_SAFE__cm,HAVEN_SAFE__mm,HAVEN_RISKY__cm,HAVEN_RISKY__mm,OIL_EXP__cm,OIL_EXP__mm,OIL_IMP__cm,OIL_IMP__mm
-20,-0.0020757462940824804,-0.003611965029895866,-0.001592856511228934,-0.003242508149155495,0.005617991728756517,0.00348478277680885,-0.0008526169659875169,-0.0030377840554456324,-0.0018959602268735693,-0.0033215833248079847,-0.0015731326417302467,-0.0034481327835702525,0.0003745271068729349,-0.0006423165316137091,-0.005142657624427771,-0.007572906564401644,-0.0052375911600572546,-0.007576545324490153,-0.002230239915707941,-0.003777329523280472,0.00043650503386982416,-0.0015586005380149224,-0.00017061558773894708,-0.0025201867307208595,-0.000906809137309629,-0.0038247840911760037,-7.73856691982899e-05,-0.0001595294139712717,0.0023218290906091396,0.0020963301301828,-0.007511603967587383,-0.009398748395233818,0.001938875552220585,0.0009249483645955218,0.003775365749312328,0.002248367697001227,0.0010121258784972474,-4.791483893718733e-05,0.009145977373156743,0.008551788381360151,0.005048476217267784,0.004752711230414858,0.011476468236141504,0.0092997745822647,0.02222896543267155,0.019923776723150634,0.017724960628423457,0.016972285982362466,-0.0061736620638234265,-0.00834956597515563,0.00045242329769316767,-0.0021790134088517958,-0.0032678116592842255,-0.00510420563938422,-0.0021028343966666596,-0.003381989886383276,0.004120695640144945,0.003879845042519468,-0.00029719009023427515,-0.000291578303261733,0.0003549908157477088,0.0003506237726732065,0.0006949212807972567,0.0005619538244200986,-0.006607718777709052,-0.0039483772619750114,-0.009187204924875375,-0.0022636857813922973,-0.05184980168227609,-0.12622084876687986,-0.05467493485073981,0.007697023376326256,0.026015529475394122,0.030250000000000207,0.02,0.051166666666666666,-0.031166666666666863,-0.6483333333333337,82.97487182617193,14.857047462463377,67.48664169311517,-0.5094166666666666,-0.0497740553881936,0.00977276967040883,-0.001425512035945058,-0.0010108699831781996,-0.0025947516467802615,0.000157339538444009,-0.0013174931523674874,0.0011682095216223062,0.001277258494412865,-0.0018482797208954653,-0.0034605603794247335,0.0026344398488386844,0.0009982308397994014,0.001132743675090411,-0.0002978995636402492,-0.0002414799119194293,-0.0012683691570388122
-19,-0.005754415762056061,-0.004605442537746807,-0.001994683276781168,-0.0007608709834999263,0.009521346778496234,0.011116822676885756,-0.0035642325503444337,-0.0019298959692977164,-0.007031259430732939,-0.005965003220404807,-0.004297967415093893,-0.002895611807570617,-0.00072305494081953,3.7465736798528095e-05,-0.010862353915817042,-0.009044714998037872,-0.006727021710557909,-0.004977664249169364,-0.005787248949930682,-0.004630145151319101,-0.004429325549141952,-0.0029371403359782456,9.495561208410587e-05,0.0018522537552203098,-0.013228360039449959,-0.01104593965032331,9.623249543452026e-05,0.00015766968604310713,-9.104172809442073e-05,7.761411602419301e-05,-0.010134489194204767,-0.008723050596808593,0.0017389744757599704,0.0024973138728924763,-0.006018971921498643,-0.004876895057848827,0.0001794511860775948,0.0009722799497268429,0.010824945181602586,0.011269352755757136,0.004473689905951968,0.004694899322723117,0.009310790070174008,0.010938789174418841,0.015323661389317702,0.017047764892597253,0.019445247473045112,0.02000819010274988,-0.005551920973766353,-0.0039245125360826616,-0.005649676515663465,-0.003681564653205376,-0.006263100868813652,-0.0048896196950533105,-0.013257843700561617,-0.012301133973522383,0.00546764697191709,0.005647784657572924,-0.00043453417226905035,-0.0004387313564470994,0.0004702391372307176,0.0004735053489003413,0.0007367813138943134,0.0008362307240077583,-0.001855997196169904,0.0016358215484050765,-0.00524325740027775,-0.003227932664944395,-0.04210925026851208,-0.09336608755605272,-0.03315161449325803,0.00200358071506611,0.018345440387635442,0.09049999999999982,0.08,0.06233333333333333,0.01766666666666667,-1.4266666666666663,-7.4846740722655625,-73.48549003601073,-22.058363342285162,-0.27383333333333226,-0.03635483450645591,0.00775799647712226,0.001066173144519184,-0.006497691095714299,-0.005313069674605531,-0.0034829146292471823,-0.002379853435828548,0.0030147764664671126,0.002933216238776984,-0.00569454753596103,-0.00448868585524081,-0.0006136695841579311,0.0006100886586839179,-0.000180948009590878,0.0008890628791711765,-0.0035734258838892585,-0.002805391866683626
-18,-0.010446057509401642,-0.002013746263952015,-0.007069877935893402,0.0019850669969304863,-0.0016015593966579485,0.010107633711755765,-0.01360003177785935,-0.0016056402292703863,-0.008970285482682408,-0.0011450341690274167,-0.01147882230806274,-0.0011869384684311053,-0.004388719705494195,0.0011927393978117952,-0.024914346513188912,-0.011574699633453754,-0.013072956962838264,-0.00023442749854547806,-0.010579380004236723,-0.0020873984969646837,-0.015072167448016429,-0.004121024386507382,-0.01691066528131264,-0.004013859176119398,-0.03242485719222129,-0.016408080125379976,-0.00044298886349896955,7.898504715435893e-06,-0.001457711583180081,-0.00021994681992620478,-0.01991378322302765,-0.009555239346393348,-0.001442188081760244,0.004123262610228013,-0.016029394022209514,-0.007647695148145842,-0.003823423153742958,0.0019951449016219784,0.007658581810116829,0.010920087740648211,0.0034553042640787525,0.005078759548478533,0.01668071823663571,0.02862859906088954,-0.007931441452145548,0.004721749284969651,0.011204363620190168,0.015335797988346372,-0.01637284681419688,-0.004429300890165661,-0.022389375324848197,-0.007945407929450227,-0.013446960285696079,-0.00336698583383244,-0.020017075578922478,-0.012995785596474092,0.004827961164193035,0.006149991130033319,-0.0005335116711480256,-0.0005643147939667172,0.00047890037696732637,0.0005028710951782268,-0.00036393610531122993,0.0003659228344017306,0.0026331227946708438,0.004822401023233265,0.0005089525055206757,-0.018699107884731794,0.07307358832116162,-8.870790851477073e-05,0.003286382083785462,-0.019545219588101438,0.01004772384385566,0.15074999999999944,0.16999999999999982,0.1035,0.06649999999999981,1.5549999999999993,-64.86542358398431,-160.2864625930786,-139.66043624877932,0.04175000000000034,0.0835196458305635,-0.009099162078699609,0.007824641693917927,-0.013328309928032599,-0.004634376667036658,-0.012100663280269073,-0.0040053002997480335,0.0012276466477635188,0.0006290763672886545,-0.010298388433382296,-0.0014485729671368797,-0.007452442714055846,0.0015287155710127143,-0.004664118127052767,0.0031886887610155902,-0.008042725209392988,-0.0024061257280914407
-17,-0.018614876954639523,-0.003762214580888398,-0.015831741001757035,0.00011762756225527438,-0.015840432899630233,0.004784125047299415,-0.027538279822696066,-0.006411373703581797,-0.010840562893135777,0.0029428248837551204,-0.01842119827998539,-0.0002930870883588077,-0.01015817457324816,-0.00032699956069877313,-0.037928268578454084,-0.014431831418750504,-0.01967913522178752,0.0029346343555033735,-0.018760303012507563,-0.0038025375149741093,-0.020554186359913105,-0.0012648568078268045,-0.03220510495461289,-0.0094886869756708,-0.042149447559405515,-0.013937516670610505,-0.0016068184662661592,-0.0008126260255765867,-0.0027457794790719412,-0.0005655821889569055,-0.02516442391839603,-0.006918897821816005,-0.0068249948205260594,0.002977982996554443,-0.024093697080831086,-0.009330183274091899,-0.00730449415861691,0.0029443242625087325,0.004245431643978171,0.00999024406919678,0.0006657944798400366,0.0035253465665925363,0.012083718630391614,0.03312870081842695,-0.008154822259685097,0.014132491917725367,0.008104129723539126,0.015381232999660419,-0.02558273918762711,-0.004545392487366857,-0.03268589035241463,-0.007244304431699931,-0.022234891368335306,-0.00448003710458183,-0.021363322143843438,-0.008996030839957727,0.0005641453953682792,0.002892767306852343,-0.0006324656622979008,-0.0006867222439118806,0.000540859418182382,0.000583081410952746,-0.00032207607221417325,0.0009634965420403604,0.00872040727595999,0.011889939974059353,0.005645891379779001,-0.024902948528881492,0.07847287547131714,0.02609394108681598,-0.01930232851427255,-0.03422585319436838,0.00405264951670448,0.16100000000000006,0.16000000000000011,0.11466666666666667,0.04533333333333314,1.3766666666666683,-57.87736816406249,-119.75992050170896,-125.93110351562503,0.187333333333333,0.09708775242595699,-0.015610976239728578,0.01378231399345627,-0.019726702964487898,-0.004413219903105424,-0.017808438132122663,-0.0035492760064922673,0.001918264832365225,0.0008639438966132121,-0.015958879375920262,-0.00037082559516406384,-0.01396100737166106,0.0018583934842223311,-0.010042014161885954,0.0037899099689609663,-0.011879379443037717,-0.0019510802383552453
-16,-0.010818252306976903,-0.0033064130772309927,-0.00874175294212377,-0.0006752467862603897,-0.0034702379501410172,0.006960778360828007,-0.012848951782764583,-0.002163869324471256,-0.006125647313612047,0.0008453987127375068,-0.014021170523588835,-0.0048527498469620525,-0.007963618281946826,-0.0029914318634175437,-0.023461998117413653,-0.011578508546718966,-0.009988061101495175,0.0014490130855097528,-0.010911295986570105,-0.003346300107293654,-0.00591523645954488,0.00384047863035951,-0.015011794415127837,-0.0035228050717024083,-0.025981632489340045,-0.01171324855489744,-0.00026674418468084914,0.0001349242692175528,0.0006024058216469981,0.0017050560482767489,-0.016841199527726114,-0.0076133954310099545,-0.0022743775193760744,0.002683547967761788,-0.02009919280286576,-0.01263244109252239,-0.0027845304616776626,0.002398882069830014,0.005789741952776314,0.00869522154002893,-0.0021150033601321796,-0.000668764631732122,0.012907899869935617,0.023551548719637577,-0.0006331072432892455,0.010638859812221327,0.019787943162285083,0.023468389703983086,-0.015045460560936736,-0.004405673413276052,-0.01685170544884206,-0.003984443110479945,-0.013214515496963033,-0.004234872156211522,-0.014843922529033198,-0.008589077327245887,0.0003828617103759901,0.0015605787408826315,-0.000910201351525176,-0.0009376420020956817,0.0005228714020978036,0.00054422547409307,-0.0019102082500481164,-0.0012600207918378697,0.004961519391042139,0.00819163682691984,0.0018272655426918257,-0.01494935076736419,0.05416100473814875,-0.030368683451268072,-0.07484005429325255,-0.03941639081603233,0.007599144757278199,0.11125000000000027,0.08999999999999991,0.07583333333333334,0.014166666666666678,-2.381666666666665,-122.21844482421868,-310.74851512908936,-96.51164627075198,0.04291666666666655,0.06497925704512589,-0.028598138509055248,0.006970502952769511,-0.013092080158980897,-0.005347177601454421,-0.009367625240261454,-0.00215595296607607,0.003724454918719431,0.0031912246353783726,-0.010321690048059329,-0.0024379214038185784,-0.006063751839815076,0.0019370222268136935,-0.0039083067480184435,0.003087286883234594,-0.007500792587768846,-0.0024794849209230302
-15,-0.007662544035834283,-0.002633922984544123,-0.0059971443478698035,-0.0005972147933193763,0.0006042408659916003,0.007587035172874566,-0.0133695511264818,-0.006216678315815629,-0.005205422375299315,-0.0005388223955231615,-0.010365078896058281,-0.004227499028933128,-0.00846966009797109,-0.005141148859851699,-0.016773729260142423,-0.00881861148001873,-0.0005672688580131303,0.007089006824005914,-0.007785480839802746,-0.002721275341259396,-0.004760290328986556,0.0017704397320642438,-0.007873625940318284,-0.00018259689890579196,-0.025697755186362276,-0.016146126933123506,-0.00025641750794513896,1.2469828582828304e-05,-0.0004660296315088623,0.0002721131817562967,-0.015427334917611998,-0.009250002240658785,0.0012571067926471103,0.004576071391439888,-0.02011889802210503,-0.015120459731958141,-0.0015008763963393153,0.0019690351095200016,0.006828446018949556,0.00877344981491692,-0.0013597999395337955,-0.00039165002412757353,0.011574641068338021,0.018699777141033495,0.0026053014685017053,0.010151050131536781,0.02037027304512524,0.022834059927629734,-0.010347195481057463,-0.003224644532402139,-0.009804780759411193,-0.0011910998367765588,-0.00942016807403566,-0.003408960677906662,-0.007868931169724157,-0.003681774696816944,0.001485815058410935,0.0022742095475551008,-0.001596268783064451,-0.00161463827007018,-0.00013446804878358763,-0.00012017307618340941,-0.0012166701228551596,-0.0007814176847180511,0.0027801062628356873,0.0061290552376216285,-0.00046975824753464927,-0.012584516252516487,0.12151152022566626,-0.006094019646874321,-0.04012940938894506,-0.04213686440257007,0.012490258581567317,0.08150000000000007,0.08000000000000021,0.026999999999999996,0.05300000000000002,-3.5999999999999988,-6.099224853515551,-59.66801795959472,-55.939280700683625,-0.1064999999999989,0.1291740642615008,-0.03447432036673562,0.004666236432161052,-0.009533928138073697,-0.004349288418050561,-0.007527466976400845,-0.002699785512003894,0.0020064611616729374,0.0016495029060467764,-0.0077443484357306944,-0.0024667481363335356,-0.0047288746391346915,0.0006270521409205713,-0.0016353346183699325,0.003047698168206399,-0.006702832610303775,-0.0033414383277267715
-14,-0.015156050521296663,-0.002015069163512389,-0.013316548899231537,0.0007947497820420661,-0.011371439771092283,0.0068762605181249305,-0.024017435971865515,-0.005325280150052236,-0.010119084516300385,0.002075849783380341,-0.021233851766331628,-0.005194897589199728,-0.011600529042461755,-0.002902338488198312,-0.03227953662722309,-0.011490924126632487,-0.004448681747950485,0.015558985360243369,-0.015312316837826585,-0.002078344866271316,-0.016394161126703832,0.000672187900127603,-0.02249045216112033,-0.0023919662691582137,-0.0457303644635208,-0.020769690845035868,-0.00023565075164012884,0.0004670157329922204,-0.008022978300474222,-0.0060940357833181025,-0.028549752534205282,-0.012406914821698199,-0.003103712700025205,0.005569530217870145,-0.0345759604450069,-0.021513853812015902,-0.0075641107744119675,0.0015035922691410287,0.008380017177755198,0.013462774132978382,-0.0011933513195738113,0.0013366543937478306,0.011781474715470225,0.030401147852093857,-0.010104819086665343,0.009614014665189765,0.013601936630178599,0.02004039702763455,-0.02190163703452879,-0.0032887194411192274,-0.030229357809926926,-0.0077197633760407655,-0.019690033334977184,-0.003981320444384777,-0.016344358524698416,-0.0054023240004459966,0.00326693351472328,0.0053271955982551605,-0.0018162405203638262,-0.0018642443535881279,8.726515681532114e-05,0.00012462131599553724,-0.000522707034370703,0.0006147109808568405,0.0035917943800483354,0.007265391286397516,2.712303212677584e-05,-0.026411889026580183,0.20435389171329188,-0.008342377271651071,-0.04746874298229267,-0.08288159980933382,0.006494194397851437,0.14174999999999968,0.1600000000000002,0.06816666666666665,0.09183333333333335,-0.958333333333333,-48.37493286132805,-171.18539066314696,-68.90988388061527,-0.055916666666666864,0.2195099422345888,-0.0677255492880369,0.012193984263401594,-0.018973222157268797,-0.005424526955793648,-0.017672500115195534,-0.005056621631235297,0.0013007220420734435,0.00036790532455859156,-0.01550299560130966,-0.0017113723231106932,-0.012377084184514806,0.0016192247941278143,-0.0062268273200458205,0.006011049807423013,-0.014101189874608604,-0.005317068113798225
-13,-0.0031460265412802425,0.002754426938039109,-0.00023183394245647124,0.006104303301381349,-0.003094315650131267,0.005099114028338564,-0.010744696642855432,-0.002351701260553618,0.0038997151370127464,0.009375382483272084,-0.014943099033699874,-0.007741422050645501,-0.01221453178608452,-0.00830894305398543,-0.01816236943446896,-0.008828040618404505,0.008514126739338261,0.017497801990629475,-0.0031754864331831247,0.0027667209133422008,-0.009819671736613609,-0.00215668251587362,-0.013757676264174077,-0.004733222322609813,-0.03195784180577503,-0.02075020902033615,-0.0015645305338683187,-0.001249025109184487,-0.005323579703400583,-0.004457462076651287,-0.015605168754846566,-0.008356846856084631,0.0026180597027493802,0.006512446655940101,-0.02478866092244377,-0.01892362311199006,-0.00253594536988422,0.0015355587679002271,0.00203561769853634,0.004317834691654275,-0.001026902699613827,0.00010909929349634299,0.014875119852231828,0.02323556966579921,-0.0038228723355812917,0.0050311133791409585,0.009654046056764756,0.01254498966434585,-0.007534581768612918,0.0008228347274740716,-0.01095571238776116,-0.0008486426659998596,-0.007225765300974209,-0.00017237049678637748,-0.012592749571395976,-0.0076796487974410115,-0.000980086363883875,-5.500472438483336e-05,-0.0011620919565164013,-0.001183646235991976,4.265414871690654e-05,5.942749869798266e-05,-0.0004808470012736463,2.9866917471420046e-05,0.005716748689454284,0.006860434788708605,0.004605613014244901,-0.02929079828733178,0.1400185561426326,-0.011839835088239522,-0.019980343156336282,-0.12080609701028176,-0.01554714275846554,0.13199999999999998,0.1699999999999999,0.1293333333333333,0.04066666666666649,-2.0666666666666673,-12.523321533203045,-165.96988372802733,-18.962030029296912,0.1696666666666677,0.1431645826839131,-0.11766007046900126,0.005475240768919636,-0.009587875809075195,-0.003504354071604223,-0.009740402947949424,-0.004075726766725112,-0.00015252713887405024,-0.0005713726951206818,-0.004729803479322624,0.0014627957902217325,-0.007208583864635521,-0.0009240783347847974,-0.0018344037211226096,0.0036605454543042317,-0.006794027512466133,-0.002849854669116354
-12,-0.004582392135702723,0.0072717638140633875,-0.006909600100219905,0.005819855232463951,-0.01267572358701155,0.0037850778602743955,-0.01732826812592595,-0.0004665342784879291,-0.0049906235029774215,0.006010126673106971,-0.014912012477149421,-0.0004436665515044867,-0.011226504686286184,-0.003380081005763827,-0.02423579751573093,-0.0054829016815639816,0.00017619799470610688,0.018224622205508446,-0.004645114811381966,0.007292925683038252,-0.019906630585280083,-0.004511497044712429,-0.031776790804355026,-0.013646441203306289,-0.047949781043739356,-0.02543337152844397,-0.0011566354487025086,-0.0005227773019841376,-0.013338525235636943,-0.011598473652430184,-0.02580577009099065,-0.01124371338413218,-0.002650971855913835,0.0051729471756760265,-0.036595720376759844,-0.024812715375521675,-0.0064512577177184725,0.001728494087558429,0.0015466320977668823,0.006131662086130945,-0.0008604540796538428,0.0014218018236884361,0.010783976622900631,0.027580325623461376,-0.02018706540221364,-0.0023991906554363535,0.002554319506394012,0.00836229621299097,-0.010683213806177545,0.006107041185069544,-0.018662586421541092,0.0016427648699902176,-0.007914056999679136,0.006256386386946398,-0.020930332434659835,-0.011059792318462346,0.00081155304176377,0.0026700647746877196,-0.0009992239512153765,-0.0010425270280354614,-5.522059417528468e-05,-2.1522522124961486e-05,-0.0004389869681765896,0.0005870498372552812,0.006531971783584332,0.006893295555682545,0.006180090780318126,-0.044671014759650074,0.2014067926079205,0.01145963872285193,-0.07534330037470718,-0.1585700437860743,-0.03616380035575292,0.27224999999999955,0.2999999999999998,0.24049999999999977,0.05949999999999983,0.575000000000002,-61.66188354492179,-242.9780096054077,-70.7368934631348,0.09524999999999983,0.2059891847436236,-0.15398765165037123,0.010999893171732576,-0.015556835756984796,-0.0033348911806008394,-0.016079689517247416,-0.004699215949831938,-0.000522853760262344,-0.0013643247692307675,-0.00816167603860999,0.004279407978555159,-0.015144385889805038,-0.0025186599385495665,-0.0074919941458093985,0.0035474936986168385,-0.014089707751830162,-0.006165767644214211
-11,-0.0008411609026515031,0.006320797824730885,-0.00028984784234813935,0.0074009429740607025,-0.015038006048597034,-0.005092837359684661,-0.013659895678594767,-0.0034724945342863465,0.0005260511029667094,0.007172405264767277,-0.013038742110348868,-0.0042973608756094435,-0.01158586895857925,-0.006845273103792498,-0.0222514230510633,-0.010921433252350156,-0.018014934915405345,-0.007110567717957955,-0.0007949753933906064,0.006417664095171563,-0.01361309692977606,-0.004311775816123817,-0.01694240269427287,-0.005988538403472242,-0.03460271935923928,-0.020998916918917296,-0.0007735563014154984,-0.0003905964428604374,-0.007846371774016103,-0.006795079916944738,-0.013142966483458836,-0.004344967742571674,0.00259796259403875,0.007324961751809555,-0.022669908044451216,-0.015550936785677361,-0.0005935894248960249,0.004348394220154691,0.0010576464969974247,0.003827796955590124,-0.0006940054596938586,0.0006848715058470508,0.006890935136026634,0.017038832533571836,-0.0030991472388674918,0.007647803056381493,0.008230413132578268,0.011739434748163342,-0.0031621233382698715,0.006982092224535379,-0.0008759849549940246,0.011391956222025608,-0.0035330454889396616,0.005028351131266202,-0.014849425546199696,-0.008885913573795333,0.0013131483010400146,0.0024360105598092586,-0.0010725266954089516,-0.0010986892370752131,9.993054800782407e-05,0.00012029000693847313,-0.00039712693507953293,0.00022277660629604012,0.0037337015156827806,0.003984699419792733,0.003488150663527751,-0.03340922930923207,0.0666699521835829,-0.09178265777670962,-0.1097407699368239,-0.17997971103931795,-0.023338509967137502,0.22249999999999975,0.2400000000000002,0.28166666666666645,-0.04166666666666684,-0.13333333333333397,-91.60180664062491,-198.66090965270988,-96.35913848876956,0.09583333333333287,0.0675111130862347,-0.17913855013666619,0.0066458363830719175,-0.010075235136815495,-0.0026910685208748645,-0.008795408302486507,-0.00191963559177706,0.0012798268343292623,0.0007714329290981119,-0.0044512839700113545,0.0030652807379627765,-0.009955807601395153,-0.002327687256992515,-0.007651794964153977,-0.0009820365563628034,-0.006884798151055992,-0.0020973689785795547
