rel_day,EUR__cm,EUR__mm,GBP__cm,GBP__mm,AUD__cm,AUD__mm,NZD__cm,NZD__mm,JPY__cm,JPY__mm,CHF__cm,CHF__mm,CAD__cm,CAD__mm,SEK__cm,SEK__mm,NOK__cm,NOK__mm,DKK__cm,DKK__mm,MXN__cm,MXN__mm,BRL__cm,BRL__mm,ZAR__cm,ZAR__mm,TRY__cm,TRY__mm,INR__cm,INR__mm,KRW__cm,KRW__mm,TWD__cm,TWD__mm,THB__cm,THB__mm,SGD__cm,SGD__mm,MYR__cm,MYR__mm,IDR__cm,IDR__mm,COP__cm,COP__mm,CLP__cm,CLP__mm,PEN__cm,PEN__mm,PLN__cm,PLN__mm,HUF__cm,HUF__mm,CZK__cm,CZK__mm,ILS__cm,ILS__mm,CNY__cm,CNY__mm,HKD__cm,HKD__mm,SAR__cm,SAR__mm,KWD__cm,KWD__mm,r_DTWEXBGS__cm,r_DTWEXAFEGS__cm,r_DTWEXEMEGS__cm,r_SP500__cm,r_DCOILBRENTEU__cm,r_DCOILWTICO__cm,r_DHHNGSP__cm,r_Gold__cm,r_EuroStoxx50_EUR__cm,d_DGS10__cm,d_DGS5__cm,d_DFII5__cm,d_T5YIE__cm,d_VIXCLS__cm,d_GPRD__cm,d_GPRD_ACT__cm,d_GPRD_THREAT__cm,d_VXY_Global__cm,r_Oil_EUR__cm,r_Gold_EUR__cm,USD_EW__cm,SAFE__cm,SAFE__mm,RISKY__cm,RISKY__mm,CARRY_HML__cm,CARRY_HML__mm,HAVEN_SAFE__cm,HAVEN_SAFE__mm,HAVEN_RISKY__cm,HAVEN_RISKY__mm,OIL_EXP__cm,OIL_EXP__mm,OIL_IMP__cm,OIL_IMP__mm
-20,-0.002691825533190318,-0.0024595278633221546,0.0012954246745940992,0.001496341824936986,0.004236619629439064,0.004472455162421307,0.003308368719314032,0.003566502079799755,-0.0029484748316743054,-0.002782092507874073,0.0014576726885290048,0.0016296837713876443,0.005183457744395121,0.005306641604476506,-0.007754255055904154,-0.007463274620783067,0.0003323459913752197,0.0005835102169196554,-0.0027761912586547663,-0.0025443498231239097,0.0043190704212363405,0.00451717414966189,0.002636236099177105,0.0028182717221953944,-0.006996357503013703,-0.006731601158455754,0.0005705107262449336,0.0005644030767607159,0.0008496354607189463,0.0008843022955710962,0.0006422457768526605,0.0008517059631237956,-0.0008211649103941903,-0.0007064149887848378,-0.0004703702598513067,-0.00025901416492374573,-0.001692188329232005,-0.0015215704079446285,-0.0034536891775306267,-0.003361320039904001,-0.0017913293286610924,-0.0017170815096268558,0.004551602587629559,0.004754137321268024,-0.002825742961627253,-0.0026032391156292347,0.0001800171367101223,0.0002494521836087978,-0.000742357714983097,-0.00044543082392247454,0.0015869976045220764,0.0019069243753221561,-0.003600335183823303,-0.003325816708215869,0.0032421073513438834,0.0033280535908548656,-0.0009932611992487458,-0.0009236297693240421,0.00011327212775989683,0.00012001953454340233,-8.321174295681616e-05,-8.128557163529492e-05,-0.0001507088931326608,-0.00012392979938327637,-0.0017550761533984597,-0.0008687305469700932,-0.0026145610136427805,0.005112138985125102,0.01224561066513792,0.017543655060397272,-0.09386998323254422,0.00472531564338053,0.00868224147836098,0.035500000000000004,0.05533333333333294,0.028999999999999998,0.02633333333333314,-2.786083333333335,-3.9143019358317344,6.757718912760417,-5.5297954559325895,-0.3384166666666675,0.014937436198328234,0.0074171411765708364,0.00016518372325109444,-0.0014266157930201816,-0.001244655254777894,-0.00031483290484791575,-0.00014590137066986355,0.0011117828881722662,0.0010987538841080303,-0.0013942092254452078,-0.0012039788666028631,0.0005482888337688193,0.0007008839336338635,0.0023983988868176683,0.0025392170919289574,-0.0003629363396839007,-0.00024118505435453237
-19,-0.005714476200082036,-0.0036038148064374913,0.0005069917647082982,0.002332529114224033,-0.0006460467956410729,0.0014967596948317137,-0.0014298278713307366,0.0009155771372436347,0.0002505798632395895,0.001762333070360954,0.0015551897625028096,0.0031180859898940283,0.0007513126819653415,0.0018705637615885214,-0.018091813955708108,-0.01544795975319059,-0.0023308827208140606,-4.879941527710153e-05,-0.005936390800244533,-0.003829874761147688,0.009753308479351682,0.011553283019613548,0.00289489243905971,0.004548871843979228,-0.005511217870861805,-0.0031056362931470623,0.0006095713904706561,0.0005540771619682028,0.0039058975579051927,0.004220881130507581,-0.0003462111385337791,0.0015569484106730046,-0.0020049811801565805,-0.0009623610384993112,0.003058923193518887,0.004979309007669549,-0.00349272308315341,-0.001942485150377211,-0.004641044142433553,-0.0038017762631500263,6.95698409795152e-05,0.0007441870478021629,-0.0013415843908435822,0.00049865035367796,-0.0007212360015909063,0.0013004385074645648,-0.0018229070117353554,-0.0011920187512628891,-0.0016008083092399939,0.0010970755139263562,-0.002352541545549147,0.0005543196567363768,-0.007316523160491906,-0.004822242659806724,-0.003925324869435233,-0.0031444155741861273,-0.0016882903141551915,-0.0010556177134797432,-0.00021101117563880633,-0.0001497040991914063,-8.643308471908051e-05,-6.893185257935445e-05,-0.00017156768556704982,7.17477095709712e-05,-0.0010011567922083194,0.0015905051542359134,-0.0035121799205853612,-0.008639098530338197,-0.008837352979851562,0.005897692140536846,-0.17044009700195015,0.022768342328113762,0.0022750938540025602,-0.01900000000000069,-0.01933333333333391,0.007999999999999997,-0.02733333333333332,-2.4521666666666686,32.16770350138346,-13.625202433268228,62.553720855712896,-0.41683333333333333,-0.0031228767797694297,0.028482818528195872,0.0015008626979444888,-0.003553129055160063,-0.0018998318720555418,0.0006962542204365684,0.0022311696053438587,0.004249383275596732,0.004131001477399498,-0.0013029021914465156,0.0004255347512725251,0.0010790899813592385,0.0024655721889822076,0.0013527208169189368,0.00263219791722476,0.0009122966144071987,0.0020185312904465297
-18,-0.002940524817365654,-0.005414157584674261,-0.0004372351998336026,-0.002576711014999962,0.00621077398622649,0.0036994681155664527,0.007908007939915796,0.005159262594362588,-0.004987131029252915,-0.0067588611042329345,-0.0016285011424676855,-0.003460169325540066,0.006350166970217762,0.005038437787252617,-0.012338141218487163,-0.015436660197905837,0.0012506885223115593,-0.001423845658918099,-0.003371420631974399,-0.005840195166279751,0.017999218881579723,0.01588970192328412,0.013932312931594014,0.011993897956656766,0.003034383600191993,0.00021511309428002157,0.0037182647211225785,0.0037833023166523603,0.004009264871331939,0.0036401134343940567,0.0028119528590633816,0.0005815061201834824,-0.0003371571112186708,-0.00155907709991284,0.0060034620256804805,0.0037528266134530587,-0.001771554579710615,-0.003588387615642747,-0.00605046444931008,-0.007034061597102969,0.0052902207676870225,0.004499589341342877,0.006591317609473578,0.004434616881779839,0.00508853197558054,0.0027191892067733752,0.0012240352024549667,0.00048465280871140787,0.0014120745613094093,-0.0017497655365248696,0.0012175831040407295,-0.0021891723052556386,-0.0037825618399691093,-0.006705784861876934,0.0009076016455215503,-7.6009667215075e-06,-0.0006709148454536371,-0.001412388433174313,-0.0003615338471256095,-0.00043338392863315135,-6.299167035062064e-05,-8.350259712431214e-05,6.720525111548933e-05,-0.00021795320017203677,-0.003787257196307079,0.0010258862664835203,-0.008450608165632742,0.012640989060959508,0.007282888802216355,0.015684232726744116,-0.17510812186504607,0.020770718279916594,0.01579817719074544,0.016499999999999314,0.04599999999999964,0.077,-0.030999999999999982,-5.438250000000004,0.5286548614501925,-16.37315979003906,45.35095176696778,-0.6102499999999995,0.010223413619582004,0.02371124309728221,-0.0017589667201218168,-0.0021886273782271448,-0.004126242809362045,0.005240144358180454,0.0034412688954532484,0.007428771736407698,0.007567511704815399,-0.0031853856630286235,-0.005211062671482291,0.008427619751941357,0.00680270358566588,0.006589702642277305,0.005090193298965512,0.001869776056120998,0.0005733017134227345
-17,0.0011551601099478279,-0.006478986592600981,0.004329323702197196,-0.0022735449432186314,0.016482592282024755,0.008732178524185428,0.021565300879684626,0.013082099374097753,-0.00862110582980662,-0.014089034411797234,0.003678449556116619,-0.001974460530120549,0.012533822794683583,0.008485552918445693,-0.007661171366929117,-0.017223847266978298,0.011790908263879678,0.003536737891329315,0.0008447608722063349,-0.006774392309900726,0.017366975436264163,0.010856566072361193,0.024218936316290317,0.01823658336371794,0.008310600713417991,-0.0003902561480952143,0.0009915067640894012,0.0011922263502855373,0.007193295189695486,0.006054016852876421,0.008659882085553343,0.0017762581936539555,-0.0007324327855006611,-0.004503532754643447,0.0062730104085397176,-0.0006729199405273267,0.00156706102564398,-0.004040064702009606,-0.005209038517341206,-0.008244624486971391,0.00288076718009103,0.0004407136781624625,0.012303044608992435,0.005647016290519861,0.015111195509660487,0.007798909496657305,0.0049679483970549885,0.002686060099924492,0.0036768343436647125,-0.006081263736161033,0.009304736778117304,-0.0012092210405153189,-0.001349143521685112,-0.010370819531335184,0.0013798992682565337,-0.0014446068980412431,0.0002503067054291172,-0.002038035452523318,4.767944028838731e-05,-0.0001740648986724298,-6.621301211288499e-05,-0.00012951401057352752,0.00046832901121572845,-0.00041172945153223066,-0.006711000212004039,-0.0038580301742854725,-0.009475931407442123,0.01927376070519661,0.007573124612350975,0.022445156232227988,-0.11507697011588999,0.025687528659777425,0.02282369426270612,0.011999999999999317,0.06133333333333338,0.0959999999999997,-0.034666666666666644,-6.794333333333335,-67.69494272867838,-92.52896931966146,-34.00811309814452,-0.6686666666666676,0.006417964502403039,0.024532368549829445,-0.005428538206550922,-0.0006468843770537265,-0.006626769770672766,0.007103530915048537,0.001551826004130547,0.007750415292102306,0.00817859577480337,-0.0012624987212473313,-0.007514160511506188,0.011011971836524076,0.005997141601158513,0.011230829059887475,0.006603030439181102,0.002294025972094968,-0.0017071642850254756
-16,0.0033187725397317096,-0.004883949210361942,0.005352409746140095,-0.0017422265453895056,0.013701741221319619,0.0053740930923639445,0.022341491977159282,0.013226479623902797,-0.008729025635949624,-0.014604193936354235,0.008952745509479023,0.002878818674902984,0.012365075808165904,0.008015299381551162,-0.003120907911073771,-0.013395791621160332,0.009446697780358497,0.0005777743129469679,0.0033001813390892685,-0.0048864302049748155,0.019468749494511304,0.012473458655592712,0.02700820921766972,0.020580303311117137,0.006195726834741088,-0.003153151383509217,0.00017640472689002377,0.00039207348196007563,0.009622255704351532,0.00839812633443568,0.005316611041812403,-0.0020796905512255786,-0.0011878948001266515,-0.0052398582930914045,0.006840222136355411,-0.0006230263665722884,0.001338611716263775,-0.004686120837850999,-0.004705013477062133,-0.00796668344851438,0.0020015215388633377,-0.000620261970350497,0.001008730001769995,-0.006143025182466353,0.019780638058060532,0.011923748498715143,0.009417130166980512,0.006965291671408082,0.006835493830662616,-0.0036493666884848393,0.012043336149624181,0.0007463210621788366,0.002028941599863985,-0.007664649695931737,-0.005493196521541483,-0.008528065913798396,0.0012135081259068716,-0.0012452649003470958,7.086338280148339e-05,-0.00016739600400683612,-9.609711000587356e-05,-0.00016411263251376546,0.0008370806354915676,-0.00010852271416983005,-0.006092220661269699,-0.0036689457547042655,-0.008440000109365305,0.008800254161177311,0.008002374810698695,0.017971558272222563,-0.11493729341088281,0.03566160595164616,0.0294433336482253,-0.012500000000000181,0.01666666666666672,0.075,-0.058333333333333307,-5.700416666666671,-23.038016637166344,41.30977376302084,-14.563650131225604,-0.6720833333333343,0.004683602270966874,0.032342833411914185,-0.0058328442133844275,8.295933098199178e-05,-0.006342295238062311,0.008049069754234722,0.0020838856416888337,0.007966110423252829,0.008426180879751258,0.001180830804420361,-0.005536441490604399,0.009309890302407496,0.003921566152057259,0.010005492261137243,0.0050330250188654006,0.0020064288622220674,-0.0022927615551413894
-15,-0.0003289303764381084,-0.005228124524055579,0.005836790081759394,0.0015994159932698642,0.013822571421023883,0.00884876318763703,0.022344114264727415,0.016900041365872195,-0.004541645195579829,-0.008050674397171522,0.008307549976488427,0.004679809367016713,0.011149361213531425,0.008551394360337597,-0.009405171380225424,-0.015541994214589083,0.00966658574959118,0.004369492995382649,-0.00031637773059419805,-0.0052059498247638515,0.011538695863123446,0.00736065728239007,0.03142106181936163,0.027581902091865243,0.007800407872136086,0.0022166552045392103,-0.03636395308900345,-0.036235141807229684,0.012287213652348777,0.011556084689581032,-0.0019970608546518373,-0.0064146089054816415,-0.0020365580745138417,-0.004456651847762448,0.006068336221412204,0.0016108031608349914,0.00152367009430787,-0.0020746885199828756,-0.0021741889590359597,-0.004122268501709226,-0.003424315928917755,-0.00499021403152178,-0.007510638360479846,-0.011782127533375854,0.019052170721013378,0.014359529848831869,0.010802715608313435,0.009338319621911173,0.0026691352069683188,-0.003593099312129712,0.006887009292880258,0.00013970371698082034,5.881050755728251e-05,-0.005730827028936728,-0.0034963290866261,-0.005308948704639925,0.0011117906737799258,-0.000356747061320695,-0.0001311800332319198,-0.000273483896392086,-0.00015264183141661125,-0.00019326508549858762,0.001011017580778921,0.00044624231011029174,-0.003935806906570559,-0.0008100625378057585,-0.0069651291970984856,0.01977805099004641,0.008570639397259515,0.017336092203495437,-0.11005870639039893,0.03925059823238799,0.03290928014861638,-0.057000000000000176,-0.02799999999999994,-0.006000000000000005,-0.021999999999999964,-7.596500000000005,50.42960891723633,20.82902832031251,92.97936935424805,-0.5155000000000008,0.008899569773697508,0.03957952860882582,-0.0034837505287621333,-0.0007761068450689899,-0.004613683022909578,0.00019917040993350753,-0.0033636220367701582,0.0009752772550026953,0.0012500609861396282,0.001145658134823553,-0.002866329851403402,0.0005768763627033158,-0.002641378132222149,0.008160491719212811,0.005190613774458723,-0.0044306112233313336,-0.006998364851204872
-14,-0.004728359599493326,-0.006057863673797584,0.003318012574822393,0.002168107928210706,0.005883543673008447,0.004533791425628803,0.013355618544370448,0.011878249638025458,-0.004953373997389434,-0.005905626241289083,0.003516733396415732,0.002532266201304232,0.011785015058603082,0.011079999618888711,-0.011797901286133878,-0.013463263122332519,0.0105873247992536,0.009149842187523946,-0.004791737268494765,-0.00611863018698919,0.008479619396827887,0.007345816745143483,0.026439078694649232,0.02539723827236397,0.006085562900341283,0.004570288816931568,-0.028665979940994426,-0.02863102416688659,0.012522050167814224,0.012323642244887906,-0.005144312526068777,-0.006343111339720452,-0.0018550348451156877,-0.002511780512828631,0.0029236454084520976,0.0017139957830610835,-0.0017791765471052347,-0.0027556702916599163,0.0005866639405058137,5.8009714726168365e-05,0.0002499733195563524,-0.00017496756758317647,-0.011665353789259886,-0.01282451631427913,0.008641960495189425,0.0073685091946636,0.009261602034881557,0.008864205979192803,-0.004367550296597478,-0.0060669453514838895,0.0015564978225716345,-0.0002745319311882985,-0.005274891484175521,-0.0068460369545498565,-0.008588183757349818,-0.009080077953558627,-0.0010821348411105198,-0.0014806548513932936,-0.000410383870423623,-0.00044900115321750507,-0.0002091837095961429,-0.0002202077229718426,0.0003732097753260602,0.0002199455851764644,-0.002802631896508819,-0.0005613963590740518,-0.004973364058498466,0.017827917926132912,0.018270104720285132,0.034953435061884114,-0.10998738588959825,0.03756881162299412,0.022009620869275662,-0.07149999999999987,-0.052666666666667,-0.037000000000000005,-0.015666666666666926,-7.7925833333333365,21.03750851949059,-8.03544514973957,29.30931510925288,-0.4789166666666666,0.022998464319778443,0.04229717122248705,-0.0009453923201025389,-0.0036403535258020714,-0.004681764217063044,-0.0005914038043545082,-0.001558245887168574,0.0030489497214477614,0.003123518329894672,-0.0020550000668223545,-0.003143741237927489,0.00015381676352003504,-0.0007195273690516787,0.0065413871751147795,0.00573544548169218,-0.004195500955550335,-0.004892317372129291
-13,-0.007992545065964944,-0.007698239671000917,-5.975215574040727e-05,0.00019479624898646438,0.001622805640139011,0.0019215932677561199,0.00986647834091888,0.010193515803904447,-0.00824862355472554,-0.008037828433324404,0.0024815552100654367,0.002699481587491577,0.010746737734412303,0.01090280333169109,-0.013702443566124132,-0.013333791087028155,0.01171719609093512,0.012035404132546734,-0.008107941121903432,-0.007814213744906236,0.004468511954622628,0.004719495944566292,0.018349357741647736,0.018579984531663863,0.002431903380440181,0.0027673317151220627,-0.0174475528781131,-0.01745529085583271,0.01676073519980767,0.016804655728709685,-0.002160411822406216,-0.0018950399704855698,-0.0008860302041599779,-0.0007406498349961442,0.002748716415299491,0.003016490254920927,-0.0019305582330324397,-0.001714396896842882,0.002221015765536887,0.00233804119909857,-0.0006223432991120399,-0.0005282763473492857,-0.007165331536854627,-0.006908733763785136,0.007730518093183172,0.008012415377450498,0.005698708471828679,0.005786677967663304,-0.007493652689302575,-0.007117466453777125,0.0018488874283706768,0.002254212951839427,-0.008267279336343823,-0.007919483043619831,-0.019335523921291134,-0.01922663586408717,-0.0009760421981102655,-0.0008878238982989481,-0.000496569768233031,-0.00048802126139897803,-0.0002657227448475594,-0.0002632824164022917,-0.00023165379609050055,-0.00019772650027576315,-0.0008912073639800785,0.002265226779147555,-0.003949434006204546,0.018889413048338313,0.01911243581951525,0.035214657277807586,-0.18821797792971096,0.029945832017341252,0.016425076404728543,-0.06600000000000017,-0.06733333333333336,-0.04800000000000001,-0.019333333333333588,-8.408666666666669,-66.84944966634114,-96.06082255045571,-61.97846069335937,-0.5273333333333332,0.027104980885480176,0.037938377083305885,0.00020927657578585562,-0.006419270669557253,-0.0061887390068606106,-7.644414755424026e-06,0.00020638038332527575,0.0064116262548021274,0.006395119390186185,-0.004586537803541662,-0.004345528838944562,2.424227105154238e-06,0.00019575187073087225,0.005374156491974948,0.005552563608572045,-0.0015388611407163356,-0.0013846105185014246
-12,-0.009090658714532062,-0.008433943301568885,0.0005032253930963919,0.0010712267399618051,0.004682177938188375,0.005348895040954503,0.009943338826503612,0.010673092837928534,-0.017254130854231144,-0.016783760933834376,0.0030889763087166414,0.0035752589708624347,0.013370511879934923,0.013718757902332207,-0.009183778466901785,-0.008361164375580071,0.01451041908885954,0.015220471058789336,-0.009264166614196599,-0.008608740995149142,0.015069753455860771,0.015629801139061227,0.012654866276911042,0.013169488741321947,0.0017873696615434789,0.0025358471312041577,-0.03204243749952858,-0.032059704084921106,0.022065813611318316,0.022163818230903944,-0.003922187426672955,-0.0033300345531445206,-0.0014616904191757682,-0.0011372875002831828,-0.002005386428940616,-0.001407873740839128,-0.003427432239685645,-0.0029450881046766747,-0.0002111555441976394,4.997594453381646e-05,-0.0033061494924936322,-0.003096247743731551,-0.006101557199358168,-0.005528982875576712,0.008914222366679419,0.009543250222160767,0.001927621247845201,0.00212391708466552,-0.004447810544988572,-0.003608385569295028,-0.003354769168506546,-0.0024503225525624867,-0.006344285664612626,-0.005568210234424826,-0.009001782931240751,-0.008758809249218373,-0.0013801382343953113,-0.0011832872143908032,-0.0006277720932598342,-0.0006086968867165434,-0.0002956018673511142,-0.0002901564989340804,-0.0007388102691551614,-0.0006631046298330472,-0.0017955269467192384,0.002310284229100762,-0.005772312037212027,0.03661873870283552,0.03755035824374857,0.04953898590614246,-0.16775905271538508,0.025419383959618683,0.014341113186676623,0.019499999999999643,0.017999999999999794,0.010999999999999989,0.006999999999999951,-10.304750000000002,-84.66775856018066,-40.009646606445294,-126.46680564880369,-0.5507499999999994,0.04664101695828071,0.03451004267415052,0.00046698142556145006,-0.006415493072329335,-0.005901082875780209,-0.0006040328538279398,-0.00012645620704881087,0.005811460218501693,0.0057746266687316965,-0.007751937753348769,-0.007214148421513525,-0.0019896924661774265,-0.0015582996154402534,0.006924225909385916,0.007322324976737207,-0.005770003169538537,-0.0054258070970198075
-11,-0.00977337061386338,-0.012199414697134767,0.002419022087161191,0.0003207063180286683,0.00829162974081114,0.0058286373236188455,0.011590674461492343,0.008894810519952327,-0.011704353366327549,-0.013441998227102875,0.004036295770347547,0.0022398659135042065,0.016873415432403446,0.015586921792262407,-0.002712460885815139,-0.005751369383579608,0.015120312884702359,0.012497232405000017,-0.010143812504043566,-0.01256509181883821,0.014293366133754612,0.012224432861657794,0.02465115456390095,0.02275003155040374,0.0015928920651247765,-0.001172140247028435,-0.03143729528730871,-0.03137350890967397,0.02194330667775966,0.02158125711597742,-0.00017031284421699464,-0.0023578494039784735,-0.0023390667024112584,-0.0035374789315748964,0.0013640242044163772,-0.000843312631348537,-0.0011104242119085502,-0.0028923043257909667,-0.00015808879791966607,-0.0011227631312572975,-0.005075439765926825,-0.005850860725448473,0.005306116269581992,0.003190906967313025,0.017363398531802167,0.015039638076542426,0.006436771872542024,0.0057116139973218145,-0.0026244645599164686,-0.0057254759804383215,-0.00452261874225717,-0.00786383370072037,-0.005914456458936929,-0.008781441409212455,-0.0052925767948098675,-0.006190172392576213,-0.0017011664363481569,-0.0024283752743637353,-0.0007139447944108095,-0.0007844125968379237,-0.00037879228777885465,-0.0003989086175749981,-0.00030566997210042224,-0.0005853424371016207,-0.003253754650491098,0.0005080541947451687,-0.006898950756534808,0.03842898833119772,0.03554289409170209,0.05052583473144633,-0.1950127302272301,0.027160689303899314,0.024628723690034503,-0.015000000000000555,-0.006666666666666366,-0.030000000000000013,0.02333333333333329,-10.730833333333337,-86.95818964640299,-151.73344167073566,-48.86364364624022,-0.6691666666666662,0.045316264705565545,0.036934059917762455,-0.0017251270521718555,-0.0037745011983519165,-0.005674840049973259,-0.0008328933541101556,-0.0025971613693821843,0.0029416078442420592,0.003077678680591378,-0.005813809403281077,-0.007800515670244427,0.001555132329854493,-3.852308379601521e-05,0.010794271860637585,0.009323610645994206,-0.0037239495530148378,-0.00499548183128364
