series,event,"(0,5)","(0,20)","(0,50)"
CARRY_HML,hormuz,-1.0**,-0.9,-1.56
CARRY_HML,hormuz_ceasefire,0.01,-1.07,0.11
CARRY_HML,hormuz_closure,-1.0**,-0.9,-1.56
CARRY_HML,iran_12day,-0.05,-0.06,1.56
CARRY_HML,liberation_day,-1.65**,-2.15*,-1.86
CARRY_HML,tariff_pause,-0.75,-0.62,-0.35
CARRY_HML,ukraine,-1.32,1.71,6.24***
OIL_EXP,hormuz,-0.53,-1.56,0.85
OIL_EXP,hormuz_ceasefire,1.61***,1.3,0.4
OIL_EXP,hormuz_closure,-0.53,-1.56,0.85
OIL_EXP,iran_12day,-0.33,0.19,0.26
OIL_EXP,liberation_day,-0.8,1.52,4.07
OIL_EXP,tariff_pause,2.6***,4.05**,7.62***
OIL_EXP,ukraine,0.46,2.47,0.14
OIL_IMP,hormuz,-0.94*,-2.33**,-0.03
OIL_IMP,hormuz_ceasefire,1.12**,0.8,0.68
OIL_IMP,hormuz_closure,-0.94*,-2.33**,-0.03
OIL_IMP,iran_12day,-0.92,-0.4,-0.76
OIL_IMP,liberation_day,0.73,2.67**,4.9**
OIL_IMP,tariff_pause,2.8***,4.25***,5.08**
OIL_IMP,ukraine,-0.63,-2.11,-2.08
RISKY,hormuz,-1.88***,-4.06***,-1.12
RISKY,hormuz_ceasefire,2.06***,0.53,0.5
RISKY,hormuz_closure,-1.88***,-4.06***,-1.12
RISKY,iran_12day,-0.86,0.59,1.31
RISKY,liberation_day,-0.62,2.0,4.7*
RISKY,tariff_pause,2.77***,4.18***,6.15**
RISKY,ukraine,-2.4**,-0.36,-0.13
SAFE,hormuz,-0.88,-3.17**,0.43
SAFE,hormuz_ceasefire,2.05***,1.61,0.39
SAFE,hormuz_closure,-0.88,-3.17**,0.43
SAFE,iran_12day,-0.8,0.65,-0.25
SAFE,liberation_day,1.03,4.15**,6.56**
SAFE,tariff_pause,3.53***,4.81***,6.5**
