series,pair,event_A,event_B,window,CAR_A_%,CAR_B_%,diff_%,t,sig
r_DTWEXBGS,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",-0.0,1.539,-1.54,-1.57,
r_DTWEXBGS,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",-2.814,2.119,-4.933,-3.72,***
r_DTWEXBGS,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",-3.624,3.292,-6.915,-3.78,***
r_DTWEXBGS,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",-0.0,1.06,-1.061,-1.07,
r_DTWEXBGS,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",-2.814,1.696,-4.51,-3.36,***
r_DTWEXBGS,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",-3.624,0.939,-4.563,-2.46,**
r_DTWEXBGS,hormuz-ukraine,hormuz,ukraine,"(0,5)",1.539,1.06,0.479,0.61,
r_DTWEXBGS,hormuz-ukraine,hormuz,ukraine,"(0,10)",2.119,1.696,0.423,0.4,
r_DTWEXBGS,hormuz-ukraine,hormuz,ukraine,"(0,20)",3.292,0.939,2.353,1.61,
r_DTWEXBGS,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",-0.0,0.937,-0.937,-0.75,
r_DTWEXBGS,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",-2.814,-0.03,-2.784,-1.66,*
r_DTWEXBGS,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",-3.624,0.551,-4.175,-1.8,*
USD_EW,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",0.264,1.39,-1.126,-1.15,
USD_EW,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",-1.805,2.186,-3.99,-3.01,***
USD_EW,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",-2.557,3.594,-6.151,-3.36,***
USD_EW,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",0.264,1.043,-0.779,-0.77,
USD_EW,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",-1.805,1.448,-3.252,-2.36,**
USD_EW,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",-2.557,0.551,-3.109,-1.63,
USD_EW,hormuz-ukraine,hormuz,ukraine,"(0,5)",1.39,1.043,0.347,0.39,
USD_EW,hormuz-ukraine,hormuz,ukraine,"(0,10)",2.186,1.448,0.738,0.61,
USD_EW,hormuz-ukraine,hormuz,ukraine,"(0,20)",3.594,0.551,3.043,1.82,*
USD_EW,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",0.264,0.894,-0.63,-0.53,
USD_EW,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",-1.805,-0.033,-1.771,-1.11,
USD_EW,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",-2.557,0.57,-3.127,-1.42,
SAFE,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",0.975,-1.029,2.004,1.72,*
SAFE,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",3.934,-2.305,6.239,3.95,***
SAFE,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",4.051,-3.608,7.66,3.51,***
SAFE,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",0.975,-1.041,2.016,1.86,*
SAFE,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",3.934,-1.692,5.626,3.83,***
SAFE,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",4.051,-1.937,5.988,2.95,***
SAFE,hormuz-ukraine,hormuz,ukraine,"(0,5)",-1.029,-1.041,0.012,0.01,
SAFE,hormuz-ukraine,hormuz,ukraine,"(0,10)",-2.305,-1.692,-0.613,-0.46,
SAFE,hormuz-ukraine,hormuz,ukraine,"(0,20)",-3.608,-1.937,-1.671,-0.92,
SAFE,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",0.975,-1.084,2.059,1.47,
SAFE,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",3.934,0.276,3.659,1.93,*
SAFE,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",4.051,-0.489,4.54,1.74,*
r_DCOILBRENTEU,liberation_day-hormuz,liberation_day,hormuz,"(0,5)",-14.243,27.829,-42.072,-6.81,***
r_DCOILBRENTEU,liberation_day-hormuz,liberation_day,hormuz,"(0,10)",-13.106,34.551,-47.657,-5.7,***
r_DCOILBRENTEU,liberation_day-hormuz,liberation_day,hormuz,"(0,20)",-19.688,53.045,-72.733,-6.29,***
r_DCOILBRENTEU,liberation_day-ukraine,liberation_day,ukraine,"(0,5)",-14.243,13.626,-27.87,-4.28,***
r_DCOILBRENTEU,liberation_day-ukraine,liberation_day,ukraine,"(0,10)",-13.106,11.767,-24.873,-2.82,***
r_DCOILBRENTEU,liberation_day-ukraine,liberation_day,ukraine,"(0,20)",-19.688,17.395,-37.083,-3.04,***
r_DCOILBRENTEU,hormuz-ukraine,hormuz,ukraine,"(0,5)",27.829,13.626,14.203,2.09,**
r_DCOILBRENTEU,hormuz-ukraine,hormuz,ukraine,"(0,10)",34.551,11.767,22.784,2.48,**
r_DCOILBRENTEU,hormuz-ukraine,hormuz,ukraine,"(0,20)",53.045,17.395,35.65,2.81,***
r_DCOILBRENTEU,liberation_day-iran_12day,liberation_day,iran_12day,"(0,5)",-14.243,11.207,-25.45,-4.26,***
r_DCOILBRENTEU,liberation_day-iran_12day,liberation_day,iran_12day,"(0,10)",-13.106,-0.911,-12.195,-1.51,
r_DCOILBRENTEU,liberation_day-iran_12day,liberation_day,iran_12day,"(0,20)",-19.688,3.971,-23.659,-2.12,**
