series,ceasefire,hormuz,hormuz_ceasefire,hormuz_closure,iran_12day,liberation_day,tariff_pause,ukraine,us_strikes
r_DTWEXBGS,-0.3,2.12***,-1.65**,2.12***,-0.03,-2.81**,-3.32***,1.7**,0.92
USD_EW,-0.79,2.19***,-1.83*,2.19***,-0.03,-1.8*,-3.13***,1.45,1.09
SAFE,0.88,-2.31**,1.9*,-2.31**,0.28,3.93***,2.84**,-1.69**,-1.11
RISKY,1.42*,-3.0***,2.04,-3.0***,0.28,0.59,3.23***,-2.74,-1.24
CARRY_HML,0.54,-0.69,0.13,-0.69,0.0,-3.34***,0.39,-1.05,-0.13
OIL_EXP,0.52,-1.18,1.97*,-1.18,-0.24,-0.15,3.09***,-0.29,-1.09
OIL_IMP,0.71,-1.93***,0.95,-1.93***,-0.46,2.85***,2.33***,-2.09,-0.29
r_DCOILBRENTEU,-0.36,34.55***,-22.42**,34.55***,-0.91,-13.11**,5.64,11.77*,-13.83
r_DCOILWTICO,-0.38,33.46***,-22.96**,33.46***,-1.86,-12.61**,4.85,11.49*,-10.23
r_SP500,3.58**,-3.16,6.83***,-3.16,2.31,-6.4**,7.55**,0.62,-1.95
r_Gold,6.15,-8.36,0.34,-8.36,-5.31,5.99**,8.48***,4.24*,-5.44
r_XAU,,,,,,,,,
d_VIXCLS,-6.04*,3.17,-5.57,3.17,-2.18,10.65*,-23.49***,-1.08,2.79
d_DGS10,-0.08,0.28**,-0.05,0.28**,-0.08,0.07,0.12,-0.06,-0.03
