date,EUR,GBP,AUD,NZD,JPY,CHF,CAD,SEK,NOK,DKK,MXN,ZAR,TRY,INR,KRW,TWD,THB,SGD,MYR,IDR,PLN,HUF,CZK,ILS,CNY,HKD,SAR,KWD
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-28,-0.008931,0.010782,-0.025253,-0.016686,-0.024916,-0.006765,-0.003989,-0.022801,-0.016736,-0.008615,-0.0049,-0.057485,-0.017157,0.004929,-0.012827,-0.005791,-0.012026,-0.005451,0.00779,-0.003169,-0.017497,-0.008533,-0.001854,0.000621,0.001009,-0.001677,2.7e-05,-0.000958
2019-03-31,-0.016159,-0.019098,-0.000303,-0.001226,0.002289,2.3e-05,-0.014186,-0.008903,-0.008555,-0.016886,-0.002732,-0.025216,-0.022364,0.027655,-0.011051,-0.003198,-0.004216,-0.00326,-0.003312,-0.009348,-0.014341,-0.032632,-0.021157,-0.004607,-0.002633,-0.001071,1.3e-05,-0.002182
2019-04-30,-0.002665,-0.001473,-0.007305,-0.019706,-0.007846,-0.026514,-0.003975,-0.023316,-0.001765,-0.003213,0.029941,0.017267,-0.035941,-0.001681,-0.024212,-0.00342,-0.005186,-0.003742,-0.011996,0.003118,0.00324,-0.010927,0.007105,0.00703,-0.003339,-0.000198,1.3e-05,-0.000591
2019-05-31,-0.006925,-0.03296,-0.016504,-0.021616,0.026058,0.014993,-0.010112,-0.002802,-0.01582,-0.007263,-0.02972,-0.016025,0.041231,0.004939,-0.021942,-0.022412,0.013389,-0.010574,-0.012849,0.001855,-0.004321,-0.009622,-0.012717,-0.009072,-0.024949,0.000293,6.7e-05,0.002755
2019-06-30,0.015198,0.00332,0.010738,0.02694,0.000992,0.022089,0.030932,0.020356,0.024598,0.015617,0.025718,0.039026,0.025685,0.012431,0.026514,0.016332,0.026289,0.015095,0.014415,0.014406,0.025928,0.02159,0.034629,0.013766,0.005587,0.002997,0.000107,0.004279
2019-07-31,-0.028821,-0.044696,-0.026478,-0.024953,-0.010336,-0.021006,-0.008264,-0.041482,-0.039186,-0.029466,0.009721,-0.014798,0.053164,0.004888,-0.028155,-0.00815,-0.001385,-0.016104,0.001888,0.01128,-0.037645,-0.037742,-0.036644,0.014255,-0.002574,-0.002046,-8e-05,-0.001907
2019-08-31,-0.010206,-0.001645,-0.016992,-0.039556,0.020484,0.001113,-0.00976,-0.019413,-0.029211,-0.008946,-0.042315,-0.05304,-0.029642,-0.033558,-0.019419,-0.007014,0.002911,-0.010124,-0.018406,-0.008353,-0.028738,-0.025536,-0.018042,-0.007108,-0.038638,-0.002406,-1.3e-05,0.002103
2019-09-30,-0.010691,0.009414,0.001012,-0.008031,-0.018801,-0.010746,0.004859,-0.004427,0.001856,-0.012138,0.022066,0.006928,0.043785,0.014586,0.008644,0.007235,0.001306,0.003485,0.004991,0.002603,-0.007577,-0.020696,-0.00264,0.013582,0.001628,0.000671,-0.000227,0.002726
2019-10-31,0.020371,0.050388,0.01997,0.02294,-0.00179,0.008736,0.005562,0.01744,-0.011197,0.019622,0.031035,0.006936,-0.000516,-0.001304,0.023478,0.016361,0.013532,0.015346,0.00245,0.014674,0.047926,0.039904,0.0337,-0.014926,0.015799,-0.000325,8e-05,0.008403
