date,DOL,CARRY,n,P1,P2,P3,P4,P5
2019-02-28,-0.010811,-0.001167,23.0,-0.014389,-0.002781,-0.01129,-0.007836,-0.015556
2019-03-31,-0.008517,0.004675,23.0,-0.011076,-0.008864,-0.008813,-0.007247,-0.006401
2019-04-30,-0.00539,0.016794,23.0,-0.014254,9.3e-05,-0.007199,-0.007446,0.002541
2019-05-31,-0.006675,-0.003885,23.0,0.00434,-0.020066,-0.014899,-0.005688,0.000456
2019-06-30,0.020304,0.007408,23.0,0.016045,0.014504,0.02408,0.02277,0.023453
2019-07-31,-0.014376,0.040728,23.0,-0.027877,-0.016267,-0.022927,-0.018953,0.012851
2019-08-31,-0.017547,-0.02667,23.0,-0.006712,-0.00819,-0.025337,-0.010915,-0.033382
2019-09-30,0.002728,0.031066,23.0,-0.013072,0.007811,-5e-05,0.001786,0.017994
2019-10-31,0.015696,-0.002059,23.0,0.012224,0.023834,0.017742,0.016257,0.010165
2019-11-30,-0.005733,0.008126,23.0,-0.005295,-0.013945,-0.008044,-0.005888,0.002831
2019-12-31,0.022348,-0.001748,23.0,0.019296,0.02092,0.0312,0.022528,0.017548
2020-01-31,-0.017642,0.001346,23.0,-0.008134,-0.024995,-0.031974,-0.017824,-0.006788
2020-02-29,-0.017406,-0.030784,23.0,-0.002957,-0.015338,-0.018593,-0.015635,-0.03374
2020-03-31,-0.050014,-0.0921,23.0,-0.010696,-0.041135,-0.047649,-0.045021,-0.102796
2020-04-30,0.008805,-0.001471,23.0,0.003507,0.011496,0.0182,0.009454,0.002036
2020-05-31,0.017069,0.040252,23.0,-0.000756,0.017799,0.011453,0.017607,0.039496
2020-06-30,0.012825,-0.006626,23.0,0.010672,0.013464,0.021875,0.014538,0.004046
2020-07-31,0.026622,-0.021366,23.0,0.029183,0.02724,0.027828,0.044802,0.007818
2020-08-31,0.009408,-0.003628,24.0,0.010371,0.02238,0.014538,-0.005965,0.006742
2020-09-30,-0.019664,0.009145,24.0,-0.019219,-0.043251,-0.008586,-0.014973,-0.010074
2020-10-31,-0.000887,0.000918,24.0,0.003067,-0.012363,-5.1e-05,0.001095,0.003986
2020-11-30,0.036626,0.02826,24.0,0.020033,0.029748,0.053258,0.035126,0.048293
2020-12-31,0.024238,0.007673,24.0,0.024522,0.023105,0.024073,0.017263,0.032195
2021-01-31,-0.006921,0.012094,24.0,-0.016428,-0.013204,0.000291,0.000512,-0.004334
2021-02-28,-0.006433,0.004364,24.0,-0.01022,0.002791,-0.005427,-0.013252,-0.005856
2021-03-31,-0.017447,0.021765,24.0,-0.030172,-0.016987,-0.013241,-0.017586,-0.008408
2021-04-30,0.019732,-0.008431,24.0,0.025227,0.020063,0.024488,0.013035,0.016796
2021-05-31,0.01688,0.012163,24.0,0.009573,0.016481,0.015222,0.021058,0.021736
2021-06-30,-0.020198,0.02014,24.0,-0.021783,-0.027523,-0.026351,-0.024922,-0.001643
2021-07-31,-0.004128,-0.008631,24.0,0.007797,-0.0101,-0.003094,-0.014202,-0.000834
2021-08-31,0.005803,0.020209,24.0,-0.00584,0.00478,0.000928,0.0138,0.014369
2021-09-30,-0.020946,-0.012761,24.0,-0.022144,-0.016842,-0.011949,-0.017092,-0.034905
2021-10-31,0.005179,-0.024401,24.0,0.005763,0.015488,0.016402,0.009127,-0.018638
2021-11-30,-0.033522,-0.065735,24.0,-0.01268,-0.023793,-0.035528,-0.017597,-0.078415
2021-12-31,0.010402,0.013491,24.0,0.006475,0.007309,0.008387,0.009468,0.019967
2022-01-31,-0.001479,0.03781,24.0,-0.012305,-0.012264,-0.009531,-0.000409,0.025505
2022-02-28,-0.001145,0.007701,24.0,-0.004129,0.003473,0.005158,-0.012535,0.003572
2022-03-31,0.005792,0.051155,24.0,-0.013463,-0.000191,0.006897,-0.001755,0.037692
2022-04-30,-0.041439,0.00911,24.0,-0.048851,-0.036252,-0.05847,-0.027289,-0.039742
2022-05-31,0.007534,-0.000802,24.0,0.00946,0.007752,0.010475,0.001914,0.008657
2022-06-30,-0.029825,0.004781,24.0,-0.035198,-0.03515,-0.02227,-0.024581,-0.030417
2022-07-31,-0.005358,-0.018044,24.0,-0.002372,-0.000235,0.003758,-0.0057,-0.020416
2022-08-31,-0.01418,0.02363,24.0,-0.016375,-0.031629,-0.018348,-0.012639,0.007256
2022-09-30,-0.042661,0.009948,24.0,-0.03864,-0.056689,-0.055841,-0.036077,-0.028692
2022-10-31,0.01056,0.049319,24.0,-0.007931,0.000485,0.024014,-0.002464,0.041388
2022-11-30,0.047744,-0.021406,24.0,0.059188,0.050395,0.045702,0.045245,0.037783
2022-12-31,0.010861,-0.003735,24.0,0.020437,-0.003366,0.007799,0.012123,0.016701
2023-01-31,0.019145,0.009512,24.0,0.016775,0.011429,0.018009,0.022997,0.026287
2023-02-28,-0.028253,0.033566,24.0,-0.037231,-0.046715,-0.037573,-0.017944,-0.003665
2023-03-31,0.016737,0.005718,24.0,0.020057,0.003228,0.015328,0.019017,0.025774
2023-04-30,0.003166,0.023775,24.0,-0.009853,-0.00348,0.000797,0.013973,0.013921
2023-05-31,-0.019511,0.011123,24.0,-0.021438,-0.028162,-0.014564,-0.022086,-0.010315
2023-06-30,0.007995,0.02607,24.0,-0.015534,0.012514,0.016755,0.017454,0.010536
2023-07-31,0.013551,-0.004453,24.0,0.015954,0.025806,0.007891,0.00547,0.011501
2023-08-31,-0.023653,0.009599,24.0,-0.023592,-0.030153,-0.031029,-0.020975,-0.013993
2023-09-30,-0.018583,0.014316,24.0,-0.028799,-0.012447,-0.014602,-0.021789,-0.014483
2023-10-31,-0.00936,0.011469,24.0,-0.007734,-0.018345,-0.02215,-0.004867,0.003736
2023-11-30,0.031736,-0.004124,24.0,0.025052,0.045675,0.03327,0.034064,0.020928
2023-12-31,0.020975,-0.00796,24.0,0.027018,0.019794,0.030505,0.010409,0.019058
2024-01-31,-0.021849,0.020049,24.0,-0.032396,-0.028175,-0.01589,-0.019246,-0.012347
2024-02-29,-0.006979,0.009114,24.0,-0.015809,-0.006004,-0.002232,-0.003208,-0.006695
2024-03-31,-0.005575,0.020119,24.0,-0.011487,-0.016392,-0.003562,-0.004665,0.008632
2024-04-30,-0.016064,0.023797,24.0,-0.027156,-0.019763,-0.016256,-0.013821,-0.00336
2024-05-31,0.016711,0.007547,24.0,0.005382,0.020099,0.024249,0.022407,0.012928
2024-06-30,-0.011626,-0.014353,24.0,-0.007211,-0.008769,-0.007282,-0.012433,-0.021564
2024-07-31,0.005185,-0.017643,24.0,0.021551,0.008187,-0.008936,-0.001609,0.003907
2024-08-31,0.024081,-0.026747,24.0,0.029181,0.031863,0.025637,0.031602,0.002434
2024-09-30,0.013283,0.003712,24.0,0.021901,0.003205,0.010334,0.004774,0.025613
2024-10-31,-0.032155,0.025768,24.0,-0.036326,-0.038666,-0.039709,-0.037027,-0.010558
2024-11-30,-0.012684,-0.002233,24.0,-0.014595,-0.008127,-0.009971,-0.013355,-0.016828
2024-12-31,-0.023613,0.006118,24.0,-0.023922,-0.027501,-0.032378,-0.01821,-0.017804
2025-01-31,0.006476,0.021574,24.0,-0.001411,0.004139,0.006893,0.002683,0.020162
2025-02-28,0.002946,-0.007148,24.0,0.008909,0.000132,-0.001919,0.004876,0.001761
2025-03-31,0.017701,0.003256,24.0,0.01285,0.003822,0.018533,0.037363,0.016106
2025-04-30,0.02909,-0.023897,24.0,0.040937,0.031796,0.034644,0.022145,0.01704
2025-05-31,0.012134,-0.007866,24.0,0.019511,0.006192,0.012504,0.010892,0.011644
2025-06-30,0.023093,0.004784,24.0,0.021472,0.010931,0.026223,0.031208,0.026255
2025-07-31,-0.024138,0.01737,24.0,-0.03241,-0.02268,-0.023247,-0.027135,-0.01504
2025-08-31,0.015112,0.019834,24.0,0.007635,0.012103,0.012984,0.014944,0.027469
2025-09-30,0.003106,0.024647,24.0,-0.002349,-0.005533,-0.001162,0.001419,0.022298
2025-10-31,-0.008853,0.016643,24.0,-0.018406,-0.008399,-0.014724,-0.002148,-0.001763
2025-11-30,0.00281,0.024443,24.0,-0.007417,-0.003085,0.008114,0.000473,0.017026
2025-12-31,0.010716,0.004796,24.0,0.006361,0.012921,0.017395,0.007083,0.011157
2026-01-31,0.016242,0.009381,24.0,0.011668,0.00913,0.02946,0.012547,0.021049
2026-02-28,0.004577,0.013497,24.0,0.003297,-0.003836,0.006372,0.000615,0.016794
2026-03-31,-0.028378,0.0054,24.0,-0.03026,-0.036914,-0.024206,-0.024817,-0.02486
2026-04-30,0.023939,0.010071,24.0,0.013948,0.029229,0.023579,0.028846,0.024019
2026-05-31,0.00031,0.014207,24.0,-0.005327,-0.007014,0.007884,-0.001356,0.00888
2026-06-30,-0.006668,0.017753,24.0,-0.008382,-0.019312,-0.009716,-0.00591,0.009371
