iso,flow,year,observed_usd,source,partner_reporter_codes,detail
BRA,M,2019,4813815110.0,reporter,,
BRA,M,2020,2761144320.0,reporter,,
BRA,M,2021,4093484412.0,reporter,,
BRA,M,2022,10145098434.0,reporter,,
BRA,M,2023,9382113744.0,reporter,,
BRA,M,2024,8943296861.0,reporter,,
BRA,X,2019,24199539301.0,reporter,,
BRA,X,2020,19613857928.0,reporter,,
BRA,X,2021,30608981810.0,reporter,,
BRA,X,2022,42688098560.0,reporter,,
BRA,X,2023,42611148597.0,reporter,,
BRA,X,2024,44842761197.0,reporter,,
CAN,M,2019,14297140175.652,reporter,,
CAN,M,2020,8460404183.547,reporter,,
CAN,M,2021,11824567143.042,reporter,,
CAN,M,2022,16604996383.484,reporter,,
CAN,M,2023,14558631028.071,reporter,,
CAN,M,2024,15154800354.105,reporter,,
CAN,X,2019,68104060281.267,reporter,,
CAN,X,2020,47574336106.392,reporter,,
CAN,X,2021,81939749590.761,reporter,,
CAN,X,2022,120391288495.247,reporter,,
CAN,X,2023,99464941105.395,reporter,,
CAN,X,2024,107516759357.17,reporter,,
COL,M,2019,148162456.8,reporter,,
COL,M,2020,25024697.59,reporter,,
COL,M,2021,149657908.13,reporter,,
COL,M,2022,327381753.6,reporter,,
COL,M,2023,768159692.96,reporter,,
COL,M,2024,460003577.08,reporter,,
COL,X,2019,12979915800.03,reporter,,
COL,X,2020,7130106325.35,reporter,,
COL,X,2021,11200541488.13,reporter,,
COL,X,2022,15836623713.1,reporter,,
COL,X,2023,12659153725.32,reporter,,
COL,X,2024,12069395851.83,reporter,,
JPN,M,2019,73086768742.827,reporter,,
JPN,M,2020,43495449526.743,reporter,,
JPN,M,2021,63103354048.043,reporter,,
JPN,M,2022,100922291093.4,reporter,,
JPN,M,2023,80884609985.472,reporter,,
JPN,M,2024,71811869887.915,reporter,,
JPN,X,2019,90996.656,mirror_observed,"76,360,410,418,608,616,702,724,764,776,784",partner coverage not established
JPN,X,2020,74067.09999999999,mirror_observed,"76,360,404,418,608,702,784,834",partner coverage not established
JPN,X,2021,110164.124,reporter,,
JPN,X,2022,4915255.64,reporter,,
JPN,X,2023,69269.672,mirror_observed,"56,76,188,203,512,702,784",partner coverage not established
JPN,X,2024,63338939.120000005,mirror_observed,"56,76,124,188,360,410,470,604,608,702,716",partner coverage not established
KOR,M,2019,70251768064.0,reporter,,
KOR,M,2020,44455595815.0,reporter,,
KOR,M,2021,67012528175.0,reporter,,
