iso,role,observed_exports_usd,observed_imports_usd,observed_net_exports_usd,observed_cells,unresolved_cells,mirror_cells,sign_matches
BRA,exporter,204564387393.0,40138952881.0,164425434512.0,12,0,0,True
CAN,exporter,524991134936.232,80900539267.901,444090595668.331,12,0,0,True
COL,exporter,71875736903.76,1878390086.1599998,69997346817.59999,12,0,0,True
JPN,importer,68598692.312,433304343284.3999,-433235744592.0879,12,0,4,True
KOR,importer,25477.0,459176245769.0,-459176220292.0,12,0,0,True
KWT,exporter,270333461949.13498,97792.694,270333364156.44098,10,2,4,True
MEX,exporter,142557534814.0,20804196.477999996,142536730617.522,12,0,5,True
S19,importer,17968.692000000003,133895171519.857,-133895153551.165,12,0,6,True
NOR,exporter,250039883951.71402,6500822621.634,243539061330.08002,12,0,0,True
SAU,exporter,1042331367100.068,901507844.3229998,1041429859255.745,12,0,6,True
IND,importer,253897237.41099998,728369656170.18,-728115758932.769,12,0,6,True
THA,importer,2964392047.988,160343130927.737,-157378738879.749,12,0,0,True
TUR,importer,9560085184.354,28583584200.556,-19023499016.202,12,0,12,True
