spec,term,coef,se,t,p,coef_shipped,se_shipped,t_shipped,p_shipped,dev_coef,dev_se,dev_t,dev_p
A: VIX,Intercept,0.002009166205170529,0.007042386847523666,0.28529619980717447,0.7754172240482979,0.00201,0.00704,0.2853,0.77542,0.0,0.0,0.0,0.0
A: VIX,vix,0.06944227616650309,0.00990858156951213,7.008296362031385,2.4123740569070862e-12,0.06944,0.00991,7.0083,0.0,0.0,0.0,0.0,0.0
A: VIX,vix_tariff,-0.07100636803978726,0.027502974834641546,-2.581770461802944,0.009829493754698595,-0.07101,0.0275,-2.58177,0.00983,0.0,0.0,0.0,0.0
A: VIX,vix_hormuz,0.0571734270037899,0.043585372028341444,1.3117572328306113,0.18960205910486316,0.05717,0.04359,1.31176,0.1896,0.0,0.0,0.0,0.0
A: VIX,vix_ukraine,0.16481595607254249,0.034082732327040746,4.835761243877149,1.3263704858406504e-06,0.16482,0.03408,4.83576,0.0,0.0,0.0,0.0,0.0
A: VIX,D_tariff,-0.1488377577035275,0.08692490123625869,-1.7122568514514838,0.08684934459676984,-0.14884,0.08692,-1.71226,0.08685,0.0,0.0,0.0,0.0
A: VIX,D_hormuz,0.10443978743271189,0.04929659278959503,2.1186005263786885,0.034124241215621784,0.10444,0.0493,2.1186,0.03412,0.0,0.0,0.0,0.0
A: VIX,D_ukraine,0.10205830018163342,0.049560776783531796,2.059255459764014,0.039469772837894296,0.10206,0.04956,2.05926,0.03947,0.0,0.0,0.0,0.0
A: VIX,_stats,0.05714252122392982,,,1954.0,0.05714,,,1954.0,,,,
B: VIX + GPR,Intercept,0.0020166954947760537,0.00704334369791968,0.2863264354644094,0.774628112728531,0.00202,0.00704,0.28633,0.77463,0.0,0.0,0.0,0.0
B: VIX + GPR,vix,0.06981986429357662,0.009889785314664152,7.0597957460260234,1.6674752384500692e-12,0.06982,0.00989,7.0598,0.0,0.0,0.0,0.0,0.0
B: VIX + GPR,vix_tariff,-0.06738755276329018,0.024916419928615895,-2.704543949586322,0.006839822103824638,-0.06739,0.02492,-2.70454,0.00684,0.0,0.0,0.0,0.0
B: VIX + GPR,vix_hormuz,0.06203444411794597,0.04755924112165366,1.304361521649717,0.19211034814308015,0.06203,0.04756,1.30436,0.19211,0.0,0.0,0.0,0.0
B: VIX + GPR,vix_ukraine,0.1682322609340849,0.04237452113425102,3.970127718991589,7.183411506830824e-05,0.16823,0.04237,3.97013,7e-05,0.0,0.0,0.0,0.0
B: VIX + GPR,gpr,0.013287143352198987,0.006514905253388752,2.0394990925290326,0.04140024170105983,0.01329,0.00651,2.0395,0.0414,0.0,0.0,0.0,0.0
B: VIX + GPR,gpr_tariff,0.15425420584774138,0.08457113255953189,1.823958142444855,0.0681584005358273,0.15425,0.08457,1.82396,0.06816,0.0,0.0,0.0,0.0
B: VIX + GPR,gpr_hormuz,0.0015889127371284003,0.0374574086173491,0.042419184769564265,0.9661645348787026,0.00159,0.03746,0.04242,0.96616,0.0,0.0,0.0,0.0
B: VIX + GPR,gpr_ukraine,-6.27624099515364e-05,0.05795967072515244,-0.0010828634663774882,0.9991360001275733,-6e-05,0.05796,-0.00108,0.99914,0.0,0.0,0.0,0.0
B: VIX + GPR,D_tariff,-0.15703512010677398,0.08615594093319275,-1.822684755175996,0.0683511505375417,-0.15704,0.08616,-1.82268,0.06835,0.0,0.0,0.0,0.0
B: VIX + GPR,D_hormuz,0.10213957111906219,0.04606133490532222,2.2174687583199053,0.02659107565635654,0.10214,0.04606,2.21747,0.02659,0.0,0.0,0.0,0.0
B: VIX + GPR,D_ukraine,0.10431671235225315,0.04253466793931694,2.4525103264254695,0.014186330751927637,0.10432,0.04253,2.45251,0.01419,0.0,0.0,0.0,0.0
B: VIX + GPR,_stats,0.06087313457307297,,,1954.0,0.06087,,,1954.0,,,,
C: VXY,Intercept,0.0034212910621428676,0.006661469205643518,0.5135940670932457,0.6075358284355314,0.00342,0.00666,0.51359,0.60754,0.0,0.0,0.0,0.0
C: VXY,vxy,0.10709714969452185,0.015460362221667724,6.927208312391608,4.2922632518419955e-12,0.1071,0.01546,6.92721,0.0,0.0,0.0,0.0,0.0
C: VXY,vxy_tariff,-0.12650411952671542,0.03956642957620546,-3.1972589106901053,0.0013874033463373067,-0.1265,0.03957,-3.19726,0.00139,0.0,0.0,0.0,0.0
