spec,term,estimator,coef,se,t,p
A: VIX,vix,classical,0.06944227616650309,0.007307754761261215,9.502546053491036,5.787573224271969e-21
A: VIX,vix,HC0,0.06944227616650309,0.011731363993277759,5.919369325365278,3.2317849799308415e-09
A: VIX,vix,HC1,0.06944227616650309,0.011755453061751395,5.907239457443521,3.478879054752431e-09
A: VIX,vix,HC2,0.06944227616650309,0.01195033184833124,5.810907767904378,6.2134990796636325e-09
A: VIX,vix,HC3,0.06944227616650309,0.01217968343943299,5.701484485358339,1.1876854690534823e-08
A: VIX,vix,HAC(0),0.06944227616650309,0.011731363993277767,5.919369325365274,3.2317849799309127e-09
A: VIX,vix,HAC(1),0.06944227616650309,0.011762229620650341,5.903836126833204,3.551449450680158e-09
A: VIX,vix,HAC(2),0.06944227616650309,0.010962919778084574,6.33428662912609,2.384418881090714e-10
A: VIX,vix,HAC(3),0.06944227616650309,0.010175585309588302,6.824401157648265,8.829283980917535e-12
A: VIX,vix,HAC(4),0.06944227616650309,0.010019059200554799,6.9310176511041846,4.178239082336755e-12
A: VIX,vix,HAC(5),0.06944227616650309,0.00990858156951213,7.008296362031385,2.4123740569070862e-12
A: VIX,vix,HAC(6),0.06944227616650309,0.009825447070270485,7.0675945501369855,1.576423353987144e-12
A: VIX,vix,HAC(7),0.06944227616650309,0.009658049866497438,7.190092940748796,6.474723267330163e-13
A: VIX,vix,HAC(8),0.06944227616650309,0.009625433296536349,7.214457160228979,5.41495507444785e-13
A: VIX,vix,HAC(10),0.06944227616650309,0.009754097649477133,7.119292697487555,1.0848231545830501e-12
A: VIX,vix,HAC(12),0.06944227616650309,0.00984738041366157,7.051852700862831,1.7655104772589247e-12
A: VIX,vix,HAC(15),0.06944227616650309,0.010105710278214379,6.871587870098047,6.349116286716463e-12
A: VIX,vix,HAC(21),0.06944227616650309,0.010477569025034453,6.627708774867722,3.4093724992110216e-11
A: VIX,vix,HAC(7) auto,0.06944227616650309,0.009658049866497438,7.190092940748796,6.474723267330163e-13
A: VIX,vix_tariff,classical,-0.07100636803978726,0.022514317666434473,-3.153831667998861,0.0016360146455976
A: VIX,vix_tariff,HC0,-0.07100636803978726,0.05026930185102725,-1.4125194785918087,0.15779705944537725
A: VIX,vix_tariff,HC1,-0.07100636803978726,0.050372524345453744,-1.4096249684218134,0.15865045039058623
A: VIX,vix_tariff,HC2,-0.07100636803978726,0.05764804938521981,-1.2317219541168438,0.21805296595663637
A: VIX,vix_tariff,HC3,-0.07100636803978726,0.06670283026511337,-1.0645180685372613,0.2870940735928156
A: VIX,vix_tariff,HAC(0),-0.07100636803978726,0.05026930185102732,-1.4125194785918067,0.15779705944537803
A: VIX,vix_tariff,HAC(1),-0.07100636803978726,0.04087639004791353,-1.7370997770731875,0.0823695607114652
A: VIX,vix_tariff,HAC(2),-0.07100636803978726,0.03650784692879917,-1.9449618099437676,0.051779574870860066
A: VIX,vix_tariff,HAC(3),-0.07100636803978726,0.034044379636885246,-2.085700159531052,0.03700579198934027
A: VIX,vix_tariff,HAC(4),-0.07100636803978726,0.02807219106404642,-2.529420232207274,0.011425114108294285
A: VIX,vix_tariff,HAC(5),-0.07100636803978726,0.027502974834641546,-2.581770461802944,0.009829493754698595
A: VIX,vix_tariff,HAC(6),-0.07100636803978726,0.026705021098314748,-2.658914508188432,0.007839285240941804
A: VIX,vix_tariff,HAC(7),-0.07100636803978726,0.025899874373024243,-2.7415719094662188,0.006114597499169113
A: VIX,vix_tariff,HAC(8),-0.07100636803978726,0.02511324583418739,-2.827446858467185,0.004692080237995179
A: VIX,vix_tariff,HAC(10),-0.07100636803978726,0.024467757729109915,-2.9020382180468123,0.0037074330719252878
A: VIX,vix_tariff,HAC(12),-0.07100636803978726,0.02296628063523713,-3.091766105602763,0.0019896955620908397
A: VIX,vix_tariff,HAC(15),-0.07100636803978726,0.02097415618102548,-3.385421917665704,0.000710689254311294
A: VIX,vix_tariff,HAC(21),-0.07100636803978726,0.018638656490275164,-3.809629094073131,0.00013917542315303305
A: VIX,vix_tariff,HAC(7) auto,-0.07100636803978726,0.025899874373024243,-2.7415719094662188,0.006114597499169113
A: VIX,vix_hormuz,classical,0.0571734270037899,0.055907428114845635,1.022644556039023,0.3066030436914449
