date,usd,shock,dfbetas,cooks,leverage,day,spec,term
2025-04-04,0.86316539660904,7.427679591948865,2.9098301062321856,1.361299557142794,0.5520546446188721,2,B: VIX + GPR,vix_tariff
2025-04-03,-1.3137716453083899,4.134045345159242,-1.1273571091316428,0.20941545840557457,0.13774414068045143,1,B: VIX + GPR,vix_tariff
2025-04-09,-0.18840628733913,-9.089070318205575,0.9235349151179075,0.11221085953573368,0.5407216886579513,5,B: VIX + GPR,vix_tariff
2025-04-10,-1.22281703415936,3.449086010649898,-0.8087059881399229,0.1413569339597288,0.11967413598323018,6,B: VIX + GPR,vix_tariff
2025-04-11,-0.8612475371617001,-1.5350861681202344,0.2753380485913131,0.04103394652111047,0.10132424670660575,7,B: VIX + GPR,vix_tariff
2025-04-14,-0.28787617876817,-3.240197702962651,0.18636840581315015,0.00854260383531828,0.1258291386652959,8,B: VIX + GPR,vix_tariff
2025-04-22,0.08417371335295999,-1.578806976705939,-0.14892906007769058,0.01060430686298159,0.08900626431742345,14,B: VIX + GPR,vix_tariff
2025-04-23,0.49518787219095994,-1.029867935574336,-0.14551628349901588,0.021624671301847014,0.0568152108176249,15,B: VIX + GPR,vix_tariff
2025-04-21,-0.54789966700976,2.0257307978042363,-0.12659178710039687,0.009455510725676413,0.09441633830300203,13,B: VIX + GPR,vix_tariff
2025-04-08,0.03043024127231,2.598959177039008,0.10499299102109232,0.002539466838326634,0.07991467741113464,4,B: VIX + GPR,vix_tariff
2025-04-07,0.8037532023529901,0.8112638926458183,0.0997945837471968,0.2210898190307969,0.13951087827231876,3,B: VIX + GPR,vix_tariff
2025-04-16,-0.40769395595843,1.2241826403996818,-0.09081309650550184,0.00588763663094753,0.06046775975058987,10,B: VIX + GPR,vix_tariff
2025-04-17,-0.11574573272498999,-1.4525024185694648,-0.07020374095941848,0.0029864096386233835,0.1054679616351353,11,B: VIX + GPR,vix_tariff
2025-04-15,0.09392335995217001,-0.37405580678879147,-0.05423491464048756,0.009529624991931555,0.07655751782710737,9,B: VIX + GPR,vix_tariff
2025-04-28,-0.13696880930469,0.15059389623964278,-0.04153563414479026,0.03004209328239048,0.2456443429236714,18,B: VIX + GPR,vix_tariff
2025-04-18,-0.11644902527248001,0.0,-0.01995438595381332,0.007751310344658249,0.17429953992806707,12,B: VIX + GPR,vix_tariff
2025-04-25,-0.031975799555529996,-0.7918324221632859,-0.01652423714467206,0.0004239551596882258,0.05312906605393998,17,B: VIX + GPR,vix_tariff
2025-04-30,-0.001876122869770569,0.25746698389358275,0.006910041651498336,0.0006423801479331698,0.05114629702359618,20,B: VIX + GPR,vix_tariff
2025-04-24,-0.08139856347150999,-0.9618577888854646,0.0064736496021937226,9.547581333095872e-05,0.07953789117301269,16,B: VIX + GPR,vix_tariff
2025-04-29,-0.10044352527226999,-0.47607102682209695,-0.0008824957736443947,3.681297146178624e-06,0.053042140837310806,19,B: VIX + GPR,vix_tariff
2025-04-02,-0.04169058134095,-0.12630455813647415,-0.0001743997858769791,5.958592290140143e-05,0.06369611841366184,0,B: VIX + GPR,vix_tariff
