spec,term,dropped,day,beta,pct_change,within_slope,t_HAC5,p_HAC5,t_HC3,p_HC3
A: VIX,vix_tariff,2025-04-02 00:00:00,0.0,-0.07089954125942934,-0.1504467603498081,-0.001457265092926291,-2.56339844500561,0.01036530193931797,-1.0604387511293603,0.2889450406265488
A: VIX,vix_tariff,2025-04-03 00:00:00,1.0,-0.043911604888180425,-38.15821580456661,0.02553067127832262,-1.2117814037641141,0.2255960686234485,-0.7318772732867398,0.46424347883816064
A: VIX,vix_tariff,2025-04-04 00:00:00,2.0,-0.12607990115316425,77.56139996136325,-0.056637624986661125,-4.2434552175613645,2.201043124347302e-05,-1.4619134720413003,0.1437649227315267
A: VIX,vix_tariff,2025-04-07 00:00:00,3.0,-0.07472826937070888,5.241644423829869,-0.005285993204205863,-2.6654091285542565,0.007689471012574242,-1.0658848880395793,0.28647568110346944
A: VIX,vix_tariff,2025-04-08 00:00:00,4.0,-0.07349684820641547,3.507403963025844,-0.004054572039912399,-2.607973312373001,0.009108005510727544,-1.00411493858593,0.31532321573180366
A: VIX,vix_tariff,2025-04-09 00:00:00,5.0,-0.07578797294376802,6.734050812599605,-0.006345696777264806,-1.7252548676795965,0.0844815515939994,-0.5541493700159338,0.5794766248686869
A: VIX,vix_tariff,2025-04-10 00:00:00,6.0,-0.05081228326468579,-28.439822135088,0.018629992901817286,-1.8916884674104018,0.05853250080808217,-0.8020331608721765,0.4225337764064062
A: VIX,vix_tariff,2025-04-11 00:00:00,7.0,-0.07711383325064068,8.601292221327538,-0.007671557084137567,-2.681602535033161,0.00732704565978858,-1.1308981789135766,0.25809794988687074
A: VIX,vix_tariff,2025-04-14 00:00:00,8.0,-0.0736953440488582,3.786950499375245,-0.004253067882355049,-2.505492227810309,0.012228108575555481,-1.0514797885813705,0.29303828735195747
A: VIX,vix_tariff,2025-04-15 00:00:00,9.0,-0.07044933525107751,-0.7844828627167989,-0.0010070590845744631,-2.567082820347553,0.010255811380086258,-1.0555197291419887,0.2911876912022766
A: VIX,vix_tariff,2025-04-16 00:00:00,10.0,-0.06942495316599225,-2.2271451384598233,1.7323000510827136e-05,-2.6318516201724047,0.008492094193862558,-1.026627179187484,0.3045960508777632
A: VIX,vix_tariff,2025-04-17 00:00:00,11.0,-0.07077385816816241,-0.32744932326994164,-0.0013315820016593094,-2.5865089742479173,0.00969536456290092,-1.0615516225433885,0.2884392857722464
A: VIX,vix_tariff,2025-04-18 00:00:00,12.0,-0.07099556989670401,-0.015207288277574543,-0.0015532937302008554,-2.586231401124913,0.009703176380754738,-1.0613455216904488,0.2885329051826713
A: VIX,vix_tariff,2025-04-21 00:00:00,13.0,-0.06683708279458807,-5.871706102279444,0.002605193371915032,-2.6312674426763794,0.008506706452601846,-0.9785891388486683,0.32778302794597947
A: VIX,vix_tariff,2025-04-22 00:00:00,14.0,-0.06900459345679354,-2.81914796975964,0.00043768270970952206,-2.5680325434271056,0.010227755364187623,-1.0394061897851319,0.29861586651867555
A: VIX,vix_tariff,2025-04-23 00:00:00,15.0,-0.06729671379254644,-5.224396557168188,0.0021455623739566054,-2.5347683912578263,0.011252169393996016,-1.016927251828249,0.309188038105653
A: VIX,vix_tariff,2025-04-24 00:00:00,16.0,-0.07065927735066836,-0.48881628324435433,-0.0012170011841652895,-2.577809481697314,0.009942880099773073,-1.0623686785691835,0.2880683471397898
A: VIX,vix_tariff,2025-04-25 00:00:00,17.0,-0.07049222466272621,-0.7240806581924482,-0.0010499484962230993,-2.5736805395773046,0.010062313390354872,-1.0599018055701066,0.2891892741544757
A: VIX,vix_tariff,2025-04-28 00:00:00,18.0,-0.07101075242165043,0.006174631915716936,-0.0015684762551473608,-2.5784386470523586,0.009924792239635882,-1.0599093851716603,0.2891858255510512
A: VIX,vix_tariff,2025-04-29 00:00:00,19.0,-0.0708760015185907,-0.1835983515217991,-0.0014337253520876059,-2.5798527359136894,0.009884245573634005,-1.0639664239277,0.2873439101381531
A: VIX,vix_tariff,2025-04-30 00:00:00,20.0,-0.07115098383094663,0.2036659459590184,-0.0017087076644435317,-2.555325992435479,0.010608838934344297,-1.0572397017156463,0.2904022047312209
A: VIX,vix_tariff,_huber_within_slope,,-0.06247985035102793,,0.005070921475526177,,,,
B: VIX + GPR,vix_tariff,2025-04-02 00:00:00,0.0,-0.067383613066191,-0.0058463276044720585,0.0024362512273859716,-2.7002083855644807,0.006929605682931903,-0.8545780191210594,0.3927848006120712
B: VIX + GPR,vix_tariff,2025-04-03 00:00:00,1.0,-0.042023804335843726,-37.6386252169459,0.027796059957733335,-1.4279721488679344,0.15329987508723958,-0.6647227005880786,0.5062278716287165
