start,start_date,end_date,beta,se_cl,t_cl,se_hac5,t_hac5,se_hc3,t_hc3,quiet,covid,shock_sd,usd_sd
0,2019-01-03,2019-01-31,0.04588370826190028,0.09471214074169627,0.48445434664006426,0.03780723877980364,1.2136223046897314,0.06956419861682153,0.6595879658535303,True,False,0.7157410330120507,0.245587993804021
1,2019-01-04,2019-02-01,0.08525100092692159,0.10301864094301447,0.8275298542724789,0.03280064296497605,2.5990649335121607,0.053080672905382646,1.6060648115535987,True,False,0.6572182035952596,0.24908170150025682
2,2019-01-07,2019-02-04,0.04566609811280399,0.13042092092754656,0.3501439630086121,0.06332252755230164,0.7211666981404965,0.0720291018589285,0.6339951066201358,True,False,0.5188714415476146,0.23873763186783412
3,2019-01-08,2019-02-05,0.05674580015371362,0.13063761638520313,0.4343756547608061,0.06009210237902564,0.944313776805386,0.07208525642277773,0.7872039716540828,True,False,0.518038467611723,0.23047709230115543
4,2019-01-09,2019-02-06,0.07085804954227333,0.13192242714952052,0.5371190560492266,0.061153740458429987,1.1586870894747634,0.0773880255031635,0.9156203312019735,True,False,0.5129570187155555,0.23123690196794283
5,2019-01-10,2019-02-07,0.0697104522824373,0.12810179102530594,0.5441801533334246,0.06603058503922334,1.055729738590504,0.08472205250434872,0.8228135440753057,True,False,0.5282908569421213,0.2053466166301145
6,2019-01-11,2019-02-08,0.0645851676917837,0.12774623743233932,0.5055739330560807,0.06643243344335804,0.9721933149844741,0.08472768780881747,0.7622675581271136,True,False,0.5297659996237827,0.2044599308028054
7,2019-01-14,2019-02-11,0.08185229360590289,0.1311046436623737,0.6243279514697619,0.07521248433785195,1.0882806800826461,0.10724494356202688,0.7632275321079568,True,False,0.5161391679204852,0.22601243198270377
8,2019-01-15,2019-02-12,0.10186483624922688,0.13373410700733773,0.7616967617964335,0.07392874633014214,1.3778785831742784,0.11915539979637117,0.8548906421639914,True,False,0.505991474218581,0.2354514249055653
9,2019-01-16,2019-02-13,0.11387537214401484,0.13360020353453625,0.8523592714031872,0.0722300161421829,1.5765657856126483,0.12222831761340244,0.9316611270408938,True,False,0.5065045749257849,0.23214282845286385
10,2019-01-17,2019-02-14,0.13114784344391575,0.13307308486624175,0.9855324506510001,0.06926475141577552,1.8934283421689424,0.13859980187535462,0.9462339892942954,True,False,0.5084462758934362,0.22857379388883942
11,2019-01-18,2019-02-15,0.15548238158231634,0.13109915588187024,1.1859907147107578,0.059305655386471375,2.621712559604973,0.13952215854505465,1.1143920306544555,True,False,0.5160692739554333,0.22556039133871933
12,2019-01-21,2019-02-18,0.15666100109994036,0.13107570471077595,1.1951948032293203,0.05728710425091671,2.7346643393558066,0.13576173342131934,1.1539407839892761,True,False,0.516151360290585,0.22433971107393708
13,2019-01-22,2019-02-19,0.1528675959024939,0.1311062623895743,1.1659824108802457,0.053228527688111295,2.871911032336091,0.12360581716126598,1.2367346409194535,True,False,0.5160667697903913,0.2396604538756939
14,2019-01-23,2019-02-20,0.24361619474633567,0.17581447886739085,1.385643527858048,0.07249847563693698,3.3602940283370115,0.14714466369710735,1.65562371495722,True,False,0.38447235012838327,0.23646013548056793
15,2019-01-24,2019-02-21,0.23008830765671623,0.17930992608712737,1.2831877893079686,0.07471163979583782,3.0796848829107675,0.1514809047188004,1.518926151674613,True,False,0.3771123077453765,0.23430839505842965
16,2019-01-25,2019-02-22,0.24588851730904535,0.17674970550389038,1.391167903833555,0.07303324790624979,3.3668024407826387,0.14606085360746637,1.6834662487312477,True,False,0.3824949238861903,0.2382911825247796
17,2019-01-28,2019-02-25,0.09514735290416867,0.17201965618061202,0.5531190738125225,0.08336017099583772,1.1414006445466567,0.1179059214554744,0.8069768823281688,True,False,0.3931209817776013,0.20959094213709234
18,2019-01-29,2019-02-26,0.11630375788785857,0.18976158919566205,0.6128940971712588,0.1124622644634308,1.034158065754375,0.14667859084262647,0.7929157024193293,True,False,0.35631879886632367,0.2101046807634135
19,2019-01-30,2019-02-27,0.12254018530660359,0.19091146040303902,0.6418691944836903,0.12041446580638872,1.0176533565629295,0.15213097105685436,0.805491376642879,True,False,0.35417121623741443,0.21013862080287635
20,2019-01-31,2019-02-28,0.16961981783132962,0.20725893453458516,0.8183956856297805,0.14137797200974303,1.1997612882694364,0.1808821533891196,0.9377366127792494,True,False,0.3261621045581553,0.21227748895496204
21,2019-02-01,2019-03-01,-0.0005675393870781342,0.20454426863208508,-0.0027746530903731675,0.14246019578519478,-0.003983845339745882,0.15470362718293756,-0.00366855902096605,True,False,0.33051762803448265,0.19268361458896832
22,2019-02-04,2019-03-04,0.030622265371093704,0.19199744945019767,0.1594930841986879,0.11563986928256749,0.26480716003118104,0.13815845519458778,0.2216459740228284,True,False,0.35226949911893046,0.19133064919670612
23,2019-02-05,2019-03-05,0.03649883272869059,0.1928400263058526,0.189270004925232,0.11589019255037807,0.31494324002287216,0.14021769060769557,0.2603011971635441,True,False,0.35069007541687613,0.19116787799254112
24,2019-02-06,2019-03-06,0.051493589856429114,0.18407243858039307,0.2797463338539922,0.1039476851679423,0.49537986125649536,0.1290707973682758,0.39895616131899464,True,False,0.36744436403952835,0.19115674862880275
25,2019-02-07,2019-03-07,0.10657243382522384,0.17926851171204836,0.594484958944752,0.11028232128607984,0.9663600891095473,0.1395866793124732,0.76348570186024,True,False,0.3772374426860649,0.20997116600004503
26,2019-02-08,2019-03-08,0.10739994523151454,0.18408269794680418,0.5834331332027236,0.12183163488871358,0.8815439875662705,0.14874729765549707,0.7220295556579175,True,False,0.3673544389367284,0.21091312694916958
27,2019-02-11,2019-03-11,0.10210477300183833,0.1670859303137016,0.6110913875880392,0.10076512852753114,1.0132947230245548,0.12094658766045709,0.8442137556496023,True,False,0.40477575604526017,0.2118227852629627
28,2019-02-12,2019-03-12,0.10291451527226039,0.16644201212865042,0.6183205427287986,0.09831428269858743,1.0467910912575784,0.12358369791400227,0.8327515441711021,True,False,0.4064140335053422,0.20033317838637202
29,2019-02-13,2019-03-13,0.0947291099160617,0.16720509260666952,0.5665444062693765,0.09794946100647291,0.9671223194357508,0.12255795659543202,0.7729331701308118,True,False,0.40458331662143776,0.19558410381037775
30,2019-02-14,2019-03-14,0.0885760463475007,0.16761497649270746,0.5284494751061487,0.09748335871828766,0.9086273545772283,0.12298596406390881,0.7202126439523844,True,False,0.4036180727037031,0.19138977688202138
31,2019-02-15,2019-03-15,0.08716634247421934,0.1691539278284574,0.5153078240229608,0.10170885953835601,0.8570181876962993,0.1278827578146323,0.6816113756364879,True,False,0.39992350491480994,0.1920141548403452
32,2019-02-18,2019-03-18,0.07854320976169085,0.17779272783675418,0.4417684048011665,0.10767897360430076,0.7294201191991468,0.14179611331006764,0.5539165208988435,True,False,0.38037902617762975,0.19273295052979086
33,2019-02-19,2019-03-19,0.06076429954127764,0.17578479542858425,0.3456743764051211,0.10441854365142808,0.5819301573877735,0.13932248956719837,0.43614135614458466,True,False,0.3847099046722494,0.19561492472390993
34,2019-02-20,2019-03-20,0.05835486545486231,0.17466512204524326,0.33409569564636227,0.10433113131149097,0.559323614354742,0.13423157784841788,0.43473276847538833,True,False,0.3872103746122477,0.180218194515874
35,2019-02-21,2019-03-21,0.06382524110277996,0.17909691304218436,0.3563726477393086,0.10722366634430051,0.5952532988177623,0.14260675210620216,0.44756114391587853,True,False,0.3775887903537008,0.18032342939665516
36,2019-02-22,2019-03-22,0.14674645325127555,0.1398498130430029,1.049314618719955,0.0781570351402723,1.877584698394744,0.1212912098258802,1.2098688228267958,True,False,0.48365549749289405,0.20694715446414283
37,2019-02-25,2019-03-25,0.1414301535060728,0.14375592390248676,0.9838213943935167,0.0917447389549359,1.5415614575517171,0.13324487280893296,1.0614303614434542,True,False,0.47049287160458075,0.2084147231405473
38,2019-02-26,2019-03-26,0.11655385224968363,0.13903641250424692,0.8382973219056803,0.06353585869368969,1.8344578108497278,0.13342380486513017,0.8735611487582795,True,False,0.48657217638547207,0.21056668019502528
39,2019-02-27,2019-03-27,0.13760369154604835,0.13860111794836041,0.9928036193569255,0.05705902342632851,2.411602640268015,0.11412789035184641,1.2056973201014063,True,False,0.4880232882430315,0.22665349321595107
40,2019-02-28,2019-03-28,0.12583388014280963,0.13760097660861761,0.9144839175140633,0.059248933165573496,2.1238168085012075,0.11168127946447778,1.1267231244680835,True,False,0.491565180606871,0.2265439874884755
41,2019-03-01,2019-03-29,0.13078866806935127,0.13608675170013906,0.9610683364501059,0.05487048897476293,2.3835885284256544,0.1111748548039563,1.1764231066456674,True,False,0.49706670200732656,0.22796307621728862
42,2019-03-04,2019-04-01,0.18199897365286413,0.14053990572734773,1.2949985465761478,0.05276102798867194,3.4494963534815932,0.10733637027351221,1.6955946357147935,True,False,0.48120757445429174,0.22457201096423324
43,2019-03-05,2019-04-02,0.17939989703824985,0.14502387687286242,1.2370369687160119,0.05343748368696916,3.3571920805469526,0.11314633974558813,1.5855563462471185,True,False,0.46629576926534694,0.2251986727544658
44,2019-03-06,2019-04-03,0.15860733074002012,0.14440950735904795,1.0983164034046031,0.055257439870250606,2.870334404062951,0.13454163347971862,1.1788717487507632,True,False,0.46833448010506484,0.23769406034730484
45,2019-03-07,2019-04-04,0.15147910878418377,0.14908921949721946,1.0160299268788437,0.055780023410364775,2.7156515813874087,0.1488382633428999,1.0177430546552386,True,False,0.4536300164516939,0.24040009504694687
46,2019-03-08,2019-04-05,0.10227965699094774,0.1517333525100251,0.6740749828498653,0.057450729948270364,1.7803021316359622,0.22161636919200003,0.4615167072895076,True,False,0.4457645509514057,0.21704228616053248
47,2019-03-11,2019-04-08,0.08295725245082786,0.15118808075729495,0.5487023317929453,0.0732863615155921,1.1319603093295636,0.23982674289506437,0.3459049289058043,True,False,0.447383849695565,0.22174541603590195
48,2019-03-12,2019-04-09,0.07159081913203463,0.1576170456333212,0.4542073406107537,0.10031211279628129,0.7136807025231813,0.27631506448417553,0.2590912633217456,True,False,0.42912573744588484,0.22297246506525076
49,2019-03-13,2019-04-10,0.05062786047880721,0.15455873523082517,0.3275638895672718,0.09879555222261548,0.5124508071449182,0.2685839155396781,0.18849922705564223,True,False,0.43778768993733874,0.21422130544668994
50,2019-03-14,2019-04-11,0.03769103600706246,0.1547913970329228,0.2434956769531959,0.10136250786861363,0.37184395689891264,0.26861920715041315,0.14031400214042544,True,False,0.4371413814749987,0.21535528523200834
51,2019-03-15,2019-04-12,0.05803604489670423,0.15060576616617227,0.38535074966963495,0.09104096127468857,0.6374717938401157,0.24374103903385372,0.23810534790016824,True,False,0.4493012973284128,0.22108250973440569
52,2019-03-18,2019-04-15,0.05409555501462485,0.15147521293308047,0.35712479928002133,0.0879806498140345,0.6148574161360154,0.23372521030314128,0.23144937999825946,True,False,0.44670023285520705,0.21983287963499393
53,2019-03-19,2019-04-16,0.05688770698945488,0.15171166526709418,0.37497253022239196,0.08603809900342696,0.6611920492012382,0.2258899823883318,0.2518381133504988,True,False,0.44598419879050755,0.2206549180473196
54,2019-03-20,2019-04-17,0.06157448343128983,0.15186947845963153,0.40544343771916597,0.08783828223846431,0.7009982647899098,0.22038053385552134,0.27940073632663615,True,False,0.44547088804132645,0.21916008038712934
55,2019-03-21,2019-04-18,0.056918475061868805,0.15176793943000455,0.375036224881472,0.09262111856224807,0.6145302059121159,0.22281233084332372,0.2554547804712501,True,False,0.4457853484137158,0.22085913836408952
56,2019-03-22,2019-04-19,0.05648917078116056,0.15192216387288024,0.3718296879211611,0.09227715472135271,0.6121685367493142,0.2224381089992768,0.2539545540793292,True,False,0.44534044922168103,0.22096164331859916
57,2019-03-25,2019-04-22,-0.1372221003763787,0.21839325111994667,-0.6283257365907022,0.0938316403184154,-1.4624288769834868,0.1578685022122995,-0.869217725216929,True,False,0.3095850595846088,0.19824521742437431
58,2019-03-26,2019-04-23,-0.1305681952834002,0.21837164749760274,-0.597917343114946,0.10088903214921334,-1.2941763093761454,0.16117995576120833,-0.8100771256994255,True,False,0.30960338992730835,0.203180897999514
59,2019-03-27,2019-04-24,-0.008207820903697592,0.2385214768228717,-0.03441124469388053,0.14070147434188754,-0.0583350028284251,0.18919099348638854,-0.043383782454147896,True,False,0.283444538275674,0.20452274313333932
60,2019-03-28,2019-04-25,-0.057859851845129595,0.24335866793320654,-0.2377554592015194,0.13499108204603438,-0.4286198093100576,0.18442641389517153,-0.31372866078726275,True,False,0.27781514297296944,0.19487728039994948
61,2019-03-29,2019-04-26,0.002257729492794302,0.2474360441307617,0.009124497203815493,0.164052003909945,0.013762279271112492,0.18577868621463278,0.012152790714570533,True,False,0.2732389888113592,0.2029805402847638
62,2019-04-01,2019-04-29,-0.014844029496636327,0.25252174382377,-0.05878317356700849,0.16170005099596008,-0.09179978240703951,0.1912638791067116,-0.07761020829424053,True,False,0.2677089955604742,0.20136557791100237
63,2019-04-02,2019-04-30,-0.03474676095772689,0.25425216100739356,-0.13666259834352584,0.1633303659840467,-0.2127391360962283,0.19347309271143415,-0.17959479776111203,True,False,0.26588265273548245,0.20108361078589682
64,2019-04-03,2019-05-01,-0.15513417534167662,0.2107990648046941,-0.735933887967714,0.11502909289273901,-1.348651644904601,0.18119416912318026,-0.8561764216386708,True,False,0.32071230601643996,0.20844975300831295
65,2019-04-04,2019-05-02,-0.17028244445074814,0.20984504064338752,-0.8114675663940403,0.14346963446437505,-1.186888396882554,0.20314531457210516,-0.8382297411555975,True,False,0.3221206002940296,0.2191811448108775
66,2019-04-05,2019-05-03,-0.07034360623345845,0.18633775258807742,-0.377505928114104,0.09157451646905561,-0.7681570042166546,0.18955457875647744,-0.3710994832988421,True,False,0.3630211249556755,0.22388306871287028
67,2019-04-08,2019-05-06,-0.047430883315083466,0.1516384943503158,-0.3127891998552061,0.05769743530836374,-0.8220622469887834,0.12000022516629186,-0.3952566193051347,True,False,0.4464631926443342,0.22470049912507062
68,2019-04-09,2019-05-07,-0.0073686559711679395,0.11316878829840823,-0.0651120868391553,0.03644608197944969,-0.20217964650693573,0.07401482722845765,-0.09955648411396678,True,False,0.5984212783530202,0.21956898028749836
69,2019-04-10,2019-05-08,0.00654826565428346,0.1143948837835064,0.05724264440598695,0.038995952343442226,0.16792167547575362,0.06962643420039369,0.09404855683743221,True,False,0.5919117361710359,0.2176825123125543
70,2019-04-11,2019-05-09,-0.009221244916200399,0.11678397989143799,-0.07895984470449147,0.03642066635553463,-0.25318715550626114,0.07855957537803475,-0.11737900659247527,True,False,0.579583462662121,0.2214919543959143
71,2019-04-12,2019-05-10,0.0326773336390828,0.0999598003905037,0.32690475082408416,0.04116039353752616,0.7939023617276811,0.06224685380431436,0.5249636189133453,True,False,0.6776829385691929,0.23059251731909014
72,2019-04-15,2019-05-13,0.035063963395865365,0.08400553975979876,0.41740060829470904,0.035068889786698136,0.9998595224752556,0.04943569453377396,0.7092843283896826,True,False,0.8070719997416439,0.22970212463859882
73,2019-04-16,2019-05-14,0.02902023767205869,0.07854128883006088,0.36949021469267623,0.030260350550706847,0.9590185554337807,0.04365336998454526,0.6647880262699721,True,False,0.8636290404778304,0.22944756528805146
74,2019-04-17,2019-05-15,0.03183939356571316,0.07657899461805763,0.4157718931217896,0.02866465255431573,1.1107545610532592,0.04026954798014881,0.7906568402855834,True,False,0.8859492610020615,0.2300832165051424
75,2019-04-18,2019-05-16,0.026693211740246848,0.0756404239963248,0.3528961146693706,0.029554803885354804,0.9031767506829591,0.04125281095748215,0.6470640695917333,True,False,0.896972888260481,0.2268952721708299
76,2019-04-19,2019-05-17,0.03372048940564969,0.07573358647178802,0.44525145284399165,0.028186614705234987,1.1963298806290106,0.040835077442209725,0.8257726326923541,True,False,0.8957894344000484,0.23478993209090734
77,2019-04-22,2019-05-20,0.03244926540812869,0.07574351419056047,0.42840982168441133,0.027840061427093724,1.1655601225272199,0.04071339750553182,0.7970168886966442,True,False,0.8957082026918912,0.23781766424031184
78,2019-04-23,2019-05-21,0.033662597302656534,0.074513144786697,0.45176723380847555,0.02760614821236965,1.219387690151324,0.03905032120646047,0.8620312525646372,True,False,0.9106273065634721,0.23863259416274907
79,2019-04-24,2019-05-22,0.03641581744263969,0.07450181368223568,0.4887910192087408,0.02637022080766269,1.3809447295965736,0.037851531951336226,0.9620698440807532,True,False,0.9108519986396258,0.23089937653256787
80,2019-04-25,2019-05-23,0.02491741940683459,0.07269897455622369,0.34274787999332834,0.027334776155392666,0.9115647871116306,0.03887155012470086,0.6410194429318851,True,False,0.9337486277423696,0.22727630894351056
81,2019-04-26,2019-05-24,0.0291845806146167,0.07198412127483791,0.4054308102642379,0.02519352156501847,1.1584160848374554,0.03798963310260796,0.7682248611296327,True,False,0.9431240357816884,0.2212122429424878
82,2019-04-29,2019-05-27,0.024552018746146768,0.07217964270866373,0.3401515694008802,0.027710675195878994,0.8860130102422777,0.03844895023206337,0.6385614847209101,True,False,0.9405429966438893,0.21264964526959018
83,2019-04-30,2019-05-28,0.02866018201350572,0.07118750895347271,0.40260127703355464,0.025884331801005914,1.1072405590316197,0.03656493154960191,0.7838160991666824,True,False,0.9537726342139482,0.2162077495547338
84,2019-05-01,2019-05-29,0.028339723172963096,0.07118722519555139,0.3981012477324948,0.02710646891389399,1.045496676936662,0.03673037040390487,0.7715610504692936,True,False,0.9537083011124271,0.21410214163481042
85,2019-05-02,2019-05-30,0.048705871295409806,0.07195342675273231,0.6769082932323343,0.016744645091198235,2.90874312534769,0.030638245911118335,1.5897082175234745,True,False,0.9433084658549213,0.2047110001692535
86,2019-05-03,2019-05-31,0.06063214644227269,0.07136378291559237,0.8496206894467346,0.018001223795667588,3.3682235791582804,0.029044300545116614,2.087574680894394,True,False,0.9511868193710435,0.18753569298374856
87,2019-05-06,2019-06-03,0.05276386328624333,0.07289554621058549,0.7238283548053208,0.019935072011789068,2.6467856878089124,0.02887953791234739,1.8270328094025439,True,False,0.9310501168330036,0.18429652851451842
