start,start_date,end_date,beta,se_cl,t_cl,se_hac5,t_hac5,se_hc3,t_hc3,quiet,covid,shock_sd,usd_sd
0,2019-01-03,2019-01-31,-0.09738027220163989,0.09940861512921159,-0.9795959039874436,0.047906410935905926,-2.032719009819482,0.10629982834424143,-0.9160905875245966,True,False,0.6545943823525467,0.245587993804021
1,2019-01-04,2019-02-01,-0.055021183373928514,0.11971267460559894,-0.45961034247375493,0.0817939238214723,-0.672680570918943,0.12756624362202257,-0.43131460025550095,True,False,0.5433977781764059,0.24908170150025682
2,2019-01-07,2019-02-04,-0.14155284090965373,0.14352780258919448,-0.986239866813864,0.07036805998700675,-2.0116064154076585,0.12008596812575112,-1.178762540860919,True,False,0.4529533075296379,0.23873763186783412
3,2019-01-08,2019-02-05,-0.2116374662353609,0.15502656973106624,-1.365168993950527,0.08552202493358169,-2.4746545278800784,0.09733851366836038,-2.174241810969352,True,False,0.4192068535080845,0.23047709230115543
4,2019-01-09,2019-02-06,-0.17649170869785039,0.16930362034495483,-1.042456790576893,0.09411417956483237,-1.875293494709484,0.10858424696386049,-1.6253896272503614,True,False,0.38387317933840204,0.23123690196794283
5,2019-01-10,2019-02-07,-0.09184371071967873,0.1568619494270991,-0.5855066257630738,0.08036656011242706,-1.1428100268469368,0.09356925651373628,-0.9815586245060712,True,False,0.4144390980741678,0.2053466166301145
6,2019-01-11,2019-02-08,-0.07131139211361129,0.16611005892084693,-0.42930206982583674,0.08168152310278598,-0.8730418998660789,0.09797344532711103,-0.7278644930319516,True,False,0.3913287213109913,0.2044599308028054
7,2019-01-14,2019-02-11,-0.03457673020922077,0.1749621333827581,-0.1976240775115525,0.10373599232765497,-0.33331469081636156,0.11811300697363653,-0.2927427816391,True,False,0.3714759248550682,0.22601243198270377
8,2019-01-15,2019-02-12,-0.025410099699243856,0.1787480058319651,-0.14215598983034822,0.11102510282107945,-0.22886805824618828,0.12254815849894536,-0.2073478705064551,True,False,0.3636221959604867,0.2354514249055653
9,2019-01-16,2019-02-13,-0.03068780875034914,0.1750216618742566,-0.17533720353082144,0.09433682352236276,-0.3253004246329592,0.1188569305440292,-0.2581911598245522,True,False,0.37137997780632237,0.23214282845286385
10,2019-01-17,2019-02-14,-0.03305114383453655,0.16250513672733352,-0.20338522523132843,0.08420683436737883,-0.39249954095579137,0.10347980518139,-0.31939704347723813,True,False,0.4000071346490417,0.22857379388883942
11,2019-01-18,2019-02-15,-0.009406894544489479,0.1648934225594963,-0.057048330967205886,0.07863446951124044,-0.11962813004219232,0.10739809840193427,-0.08758902331105015,True,False,0.3942427526351107,0.22556039133871933
12,2019-01-21,2019-02-18,0.023109017717189734,0.17442516110960138,0.13248672135477638,0.0799265064530153,0.28912833480060013,0.11971075077531988,0.19304045432445818,True,False,0.3726759912568804,0.22433971107393708
13,2019-01-22,2019-02-19,0.03947125308519156,0.17552350203285116,0.2248773106054144,0.08228331608748672,0.4796993480819883,0.12230266734910691,0.3227341965692606,True,False,0.3703483922417462,0.2396604538756939
14,2019-01-23,2019-02-20,0.06990577916424105,0.17858883642868767,0.3914342047474795,0.09282761932369554,0.7530709036119451,0.12468453254986205,0.5606611961775237,True,False,0.36397369721054074,0.23646013548056793
15,2019-01-24,2019-02-21,0.05676313685702127,0.19204634933112422,0.2955699863846456,0.10090424219712536,0.5625446028932011,0.15004912029415288,0.3782970319702249,True,False,0.3384417924305888,0.23430839505842965
16,2019-01-25,2019-02-22,0.072042580719816,0.16283947681475885,0.4424147149635552,0.0762926602293221,0.944292419523305,0.10187618000970065,0.70715824555805,True,False,0.39922813171639837,0.2382911825247796
17,2019-01-28,2019-02-25,0.020671924325375315,0.16596151563640824,0.12455854145525987,0.08403145029026926,0.24600223194968585,0.09416259286505997,0.21953435750223327,True,False,0.39172225741361766,0.20959094213709234
18,2019-01-29,2019-02-26,0.031150346542936736,0.16572294919095187,0.18796640232997663,0.07991744891225169,0.38978154291610845,0.09031842816433959,0.34489469287770247,True,False,0.39228376700251577,0.2101046807634135
19,2019-01-30,2019-02-27,0.03277077420770401,0.16585804223511527,0.19758326919866306,0.0799951989498563,0.4096592625295656,0.09055590827953239,0.3618844405662145,True,False,0.39196300287762814,0.21013862080287635
20,2019-01-31,2019-02-28,0.03151868368649428,0.16801770668375327,0.18759144085819154,0.07519178462519673,0.4191772258578949,0.09263337781569096,0.3402519095137152,True,False,0.38691381725224167,0.21227748895496204
21,2019-02-01,2019-03-01,0.063134811825404,0.16926661170418594,0.37299034457982644,0.05069891197144515,1.2452892847279058,0.07681810944691334,0.8218740643315955,True,False,0.383976923683144,0.19268361458896832
22,2019-02-04,2019-03-04,0.09527300824917806,0.1709554758778238,0.5572972012740118,0.045096916731091036,2.112627983355994,0.06916962571225943,1.377382156808348,True,False,0.3801746708791992,0.19133064919670612
23,2019-02-05,2019-03-05,0.09284273800033391,0.1731702113519211,0.53613573186474,0.04582051577618992,2.0262263841337753,0.07079964511816257,1.311344680405983,True,False,0.3753048644520495,0.19116787799254112
24,2019-02-06,2019-03-06,0.0929180951223282,0.16971323288546966,0.5475005899217866,0.04207096624824866,2.208603780907842,0.06805776251282442,1.3652828375722643,True,False,0.3829628490210912,0.19115674862880275
25,2019-02-07,2019-03-07,0.14079614011064018,0.1618752935014703,0.8697815278979638,0.060256789600173076,2.3366020832652485,0.08207441492400507,1.7154693120993572,True,False,0.4014561847324465,0.20997116600004503
26,2019-02-08,2019-03-08,0.13481373338227653,0.17469857743969536,0.7716933667007863,0.06559748016841858,2.0551663423068742,0.10065856498721445,1.339317060593904,True,False,0.37198910296852805,0.21091312694916958
27,2019-02-11,2019-03-11,0.13674208445603392,0.1718949811428733,0.7954978298195834,0.06670613607691799,2.0499176312409757,0.09893364003887549,1.3821596415769377,True,False,0.3780707366929745,0.2118227852629627
28,2019-02-12,2019-03-12,0.1129782429130202,0.17374224373769453,0.6502635195824216,0.0914871742318418,1.2349079951547843,0.10543533968347114,1.0715405598558672,True,False,0.3741132309461951,0.20033317838637202
29,2019-02-13,2019-03-13,0.11737491082296325,0.17369266942242537,0.6757620296427377,0.0902446748020245,1.300629772121802,0.10386426959469547,1.1300797789363917,True,False,0.37421407915476956,0.19558410381037775
30,2019-02-14,2019-03-14,0.16094457557564368,0.17902858766245047,0.898988131879232,0.08835193387649178,1.821630478407298,0.10059503859345689,1.5999255810824071,True,False,0.36301635568478463,0.19138977688202138
31,2019-02-15,2019-03-15,0.16780385563287453,0.18047731700008113,0.9297780930154181,0.090120800653326,1.8619880695287803,0.10910861654735048,1.5379523720755066,True,False,0.3600941340433559,0.1920141548403452
