offset,n,rej5_hac5,rej5_hc3,rej5_cl,p_two_sided_t_hac5,p_two_sided_t_cl,sd_beta
0,87,0.5172413793103449,0.28735632183908044,0.2413793103448276,0.2413793103448276,0.0,0.17114109771820255
1,88,0.48863636363636365,0.22727272727272727,0.22727272727272727,0.23863636363636365,0.0,0.16876774057152336
2,86,0.5232558139534884,0.27906976744186046,0.2558139534883721,0.22093023255813954,0.0,0.1709145321379861
3,86,0.4883720930232558,0.2558139534883721,0.2558139534883721,0.18604651162790697,0.0,0.17284191461567477
4,86,0.46511627906976744,0.2441860465116279,0.2558139534883721,0.19767441860465115,0.011627906976744186,0.16623032746515118
5,86,0.4069767441860465,0.22093023255813954,0.20930232558139536,0.18604651162790697,0.0,0.15523845154968763
6,86,0.38372093023255816,0.2558139534883721,0.22093023255813954,0.2441860465116279,0.011627906976744186,0.15769645396783388
7,86,0.38372093023255816,0.22093023255813954,0.22093023255813954,0.20930232558139536,0.011627906976744186,0.16030312670655777
8,86,0.36046511627906974,0.23255813953488372,0.20930232558139536,0.18604651162790697,0.011627906976744186,0.1612004867566639
9,86,0.4186046511627907,0.23255813953488372,0.23255813953488372,0.18604651162790697,0.011627906976744186,0.16107830351341554
10,86,0.4186046511627907,0.20930232558139536,0.23255813953488372,0.23255813953488372,0.011627906976744186,0.1649132480509675
11,86,0.4186046511627907,0.23255813953488372,0.22093023255813954,0.2441860465116279,0.011627906976744186,0.16010522345230555
12,87,0.41379310344827586,0.22988505747126436,0.2413793103448276,0.2413793103448276,0.011494252873563218,0.16271408658127479
13,86,0.4418604651162791,0.23255813953488372,0.19767441860465115,0.22093023255813954,0.011627906976744186,0.16007920256519614
14,86,0.43023255813953487,0.27906976744186046,0.2441860465116279,0.23255813953488372,0.011627906976744186,0.16402350280673592
15,86,0.4069767441860465,0.2441860465116279,0.22093023255813954,0.19767441860465115,0.023255813953488372,0.16554857997871897
16,86,0.4418604651162791,0.26744186046511625,0.20930232558139536,0.20930232558139536,0.023255813953488372,0.16549775139846418
17,86,0.43023255813953487,0.2441860465116279,0.23255813953488372,0.23255813953488372,0.011627906976744186,0.16993943857582075
18,86,0.45348837209302323,0.2441860465116279,0.22093023255813954,0.22093023255813954,0.011627906976744186,0.17124445125673138
19,87,0.45977011494252873,0.20689655172413793,0.2413793103448276,0.25287356321839083,0.011494252873563218,0.17052675370997694
20,86,0.4418604651162791,0.23255813953488372,0.26744186046511625,0.23255813953488372,0.0,0.17188160193821378
