spec,term,coef,se,t,p
A: VIX,Intercept,0.00201,0.00704,0.2853,0.77542
A: VIX,vix,0.06944,0.00991,7.0083,0.0
A: VIX,vix_tariff,-0.07101,0.0275,-2.58177,0.00983
A: VIX,vix_hormuz,0.05717,0.04359,1.31176,0.1896
A: VIX,vix_ukraine,0.16482,0.03408,4.83576,0.0
A: VIX,D_tariff,-0.14884,0.08692,-1.71226,0.08685
A: VIX,D_hormuz,0.10444,0.0493,2.1186,0.03412
A: VIX,D_ukraine,0.10206,0.04956,2.05926,0.03947
A: VIX,_stats,0.05714,,,1954.0
B: VIX + GPR,Intercept,0.00202,0.00704,0.28633,0.77463
B: VIX + GPR,vix,0.06982,0.00989,7.0598,0.0
B: VIX + GPR,vix_tariff,-0.06739,0.02492,-2.70454,0.00684
B: VIX + GPR,vix_hormuz,0.06203,0.04756,1.30436,0.19211
B: VIX + GPR,vix_ukraine,0.16823,0.04237,3.97013,7e-05
B: VIX + GPR,gpr,0.01329,0.00651,2.0395,0.0414
B: VIX + GPR,gpr_tariff,0.15425,0.08457,1.82396,0.06816
B: VIX + GPR,gpr_hormuz,0.00159,0.03746,0.04242,0.96616
B: VIX + GPR,gpr_ukraine,-6e-05,0.05796,-0.00108,0.99914
B: VIX + GPR,D_tariff,-0.15704,0.08616,-1.82268,0.06835
B: VIX + GPR,D_hormuz,0.10214,0.04606,2.21747,0.02659
B: VIX + GPR,D_ukraine,0.10432,0.04253,2.45251,0.01419
B: VIX + GPR,_stats,0.06087,,,1954.0
C: VXY,Intercept,0.00342,0.00666,0.51359,0.60754
C: VXY,vxy,0.1071,0.01546,6.92721,0.0
C: VXY,vxy_tariff,-0.1265,0.03957,-3.19726,0.00139
C: VXY,vxy_hormuz,0.16128,0.04148,3.888,0.0001
C: VXY,vxy_ukraine,0.11699,0.02724,4.29498,2e-05
C: VXY,D_tariff,-0.14582,0.09171,-1.58994,0.11185
C: VXY,D_hormuz,0.06319,0.04277,1.47752,0.13954
C: VXY,D_ukraine,-0.03107,0.03408,-0.91178,0.36189
C: VXY,_stats,0.13656,,,1954.0
D: GPR + TPU,Intercept,0.00181,0.00743,0.24408,0.80717
D: GPR + TPU,gpr,0.01133,0.00655,1.73064,0.08352
D: GPR + TPU,gpr_tariff,0.18029,0.09975,1.80748,0.07069
D: GPR + TPU,gpr_hormuz,-0.01085,0.04262,-0.25457,0.79906
D: GPR + TPU,gpr_ukraine,-0.02541,0.05501,-0.46186,0.64418
D: GPR + TPU,tpu,-0.00308,0.00648,-0.47482,0.63492
D: GPR + TPU,tpu_tariff,-0.0216,0.01966,-1.09889,0.27181
D: GPR + TPU,tpu_hormuz,0.05075,0.09445,0.53725,0.59109
D: GPR + TPU,tpu_ukraine,0.032,0.28666,0.11162,0.91113
D: GPR + TPU,D_tariff,-0.15669,0.09215,-1.70043,0.08905
D: GPR + TPU,D_hormuz,0.13463,0.05716,2.3553,0.01851
D: GPR + TPU,D_ukraine,0.05111,0.07944,0.64335,0.51999
D: GPR + TPU,_stats,0.00894,,,1954.0
