currency,model,omega,alpha,beta,persistence,log_likelihood,aic,safe_risky,oil_class,unc_vol_ann,mean_cond_vol_ann
JPY,"GARCH(1,1)",0.003507748279055549,0.05659114448675269,0.9371816919062674,0.9937728363930202,-6053.144155360636,12114.288310721273,safe,importer,11.20786797302817,10.019093097998482
CHF,"GARCH(1,1)",0.002701763889054778,0.04644695662827318,0.9535530433717269,1.0,-5378.901835072038,10765.803670144076,safe,other,10.506216095034432,10.214166846961813
EUR,"GARCH(1,1)",0.0012701793605617482,0.04690889179322461,0.9521367631866556,0.9990456549798803,-4731.364892911673,9470.729785823347,safe,importer,10.992128814409487,9.567822239841247
GBP,"GARCH(1,1)",0.004000734081784318,0.054838026766911574,0.9341154308903594,0.9889534576572709,-4637.027443998969,9282.054887997938,risky,other,9.294661540900872,8.895382310855968
AUD,"GARCH(1,1)",0.005399204821996682,0.06197523329765115,0.9285605196505277,0.9905357529481789,-5201.07290276978,10410.14580553956,risky,other,12.390105090578428,11.219419233376415
NZD,"GARCH(1,1)",0.005321531821009004,0.04711846334253798,0.9437688208378424,0.9908872841803804,-6198.1185661195395,12404.237132239079,risky,other,12.299802513440879,11.702188550348255
CAD,"GARCH(1,1)",0.002030386936321251,0.04794653219865516,0.9448626980038033,0.9928092302024585,-4037.3984978921308,8082.7969957842615,risky,exporter,8.530474672619842,8.046000607885889
NOK,"GARCH(1,1)",0.05455994459477125,0.20999392869323572,0.7395005008261053,0.949494429519341,-7212.994081793194,14433.988163586388,risky,exporter,16.84224245310957,13.12145319860844
SEK,"GARCH(1,1)",0.004966510219707297,0.03964873182261643,0.9505744608473813,0.9902231926699977,-6448.784596515245,12905.56919303049,safe,other,11.722285841494658,11.178858096762792
BRL,"GARCH(1,1)",0.02234626055425292,0.09990189578780091,0.8866559054079897,0.9865578011957906,-7515.361158338097,15038.722316676194,risky,exporter,17.80280176941481,16.731451966061723
MXN,"GARCH(1,1)",0.013886655343840303,0.12637192166030153,0.8524714704705805,0.978843392130882,-5762.470877976495,11532.94175595299,risky,exporter,12.237720681584678,11.14386148885951
TRY,"GARCH(1,1)",0.0037277293186144126,0.10232742459301562,0.8976725754069844,1.0,-5869.630757512386,11747.261515024771,risky,importer,16.010120007263424,12.864905709128585
ZAR,"GARCH(1,1)",0.01710277737703391,0.08684363273864745,0.9067704940793299,0.9936141268179773,-8306.977023519858,16621.954047039715,risky,importer,18.95481840916807,17.242752574200914
INR,"GARCH(1,1)",0.0020774944516223056,0.08903270027905073,0.9052892785759188,0.9943219788549695,-2634.5714650788077,5277.142930157615,risky,importer,7.431365172331221,6.691117377518234
KRW,"GARCH(1,1)",0.01453329759476857,0.10250528532707366,0.8789325790850463,0.98143786441212,-6199.13899964795,12406.2779992959,safe,importer,13.57444991481724,12.203674689378474
PLN,"GARCH(1,1)",0.0047275926628910616,0.06370103039911669,0.9304449492700083,0.994145979669125,-6398.038452439212,12804.076904878424,risky,importer,13.419413464813825,12.439063214650387
HUF,"GARCH(1,1)",0.0045599259338018035,0.04812134361011437,0.9458458404731902,0.9939671840833045,-6724.990786891507,13457.981573783014,risky,importer,13.94621981522054,13.027008782058132
CZK,"GARCH(1,1)",0.0025315759272724124,0.04814563212203523,0.9478083186272225,0.9959539507492577,-5656.35197148603,11320.70394297206,risky,importer,11.434372275954116,10.81892760732561
THB,"GARCH(1,1)",0.005471368909192291,0.10887475076143856,0.8826433493867338,0.9915181001481724,-4411.418525451037,8830.837050902073,risky,importer,10.163834917311949,9.181021418948145
PHP,"GARCH(1,1)",0.06258662147596318,0.20252423215635892,0.5555578163099961,0.7580820484663551,-3727.731656806469,7463.463313612938,risky,importer,8.183667521511957,7.5655873652432
SGD,"GARCH(1,1)",0.0008823070485907587,0.045871008395373766,0.9460859624952541,0.9919569708906278,-1210.7496019303244,2429.499203860649,safe,other,5.145068915768294,4.930751105968188
MYR,"GARCH(1,1)",0.004537930889916678,0.1511633396545325,0.8488367158521526,1.000000055506685,-3425.768395293855,6859.53679058771,risky,exporter,8.923642907229718,7.854580155543259
IDR,"GARCH(1,1)",16.30402247586737,0.13818321112131557,0.10465962215829218,0.24284283327960776,-17852.45065017284,35712.90130034568,risky,importer,94.58800633821672,69.06011665582032
COP,"GARCH(1,1)",5.523600584447201,0.04597488419421044,0.9540251204187726,1.000000004612983,-22941.42628497858,45890.85256995716,risky,exporter,393.13122398532096,261.0763987190057
CLP,"GARCH(1,1)",79.63973841955274,0.15538447454122023,2.155337740174999e-10,0.15538447475675402,-20796.105732086085,41600.21146417217,risky,other,199.4495453903609,143.8041654110563
