horizon_days,d_GPRD,r_DCOILBRENTEU,d_VIXCLS,SAFE,RISKY,r_DTWEXBGS
0,1.0,0.0,0.0,0.0,0.0,0.0
1,-0.5781899611443524,3.105422004605297e-06,0.00019757603493545522,-1.81287269994092e-06,1.5713888366776751e-06,-6.767158171431815e-07
2,-0.023892261554802008,-7.558597447623613e-07,0.00015928085810515397,3.798482563559837e-07,1.2052894737128417e-06,7.175837750282184e-07
3,0.009160105430252752,3.620876920602237e-05,-8.734570479784353e-05,-1.8995627806546826e-06,-1.3969358335165817e-06,8.342474677998192e-07
4,0.0017320367441743673,-3.3133278399962774e-05,0.0014154949022593332,-1.3917400741789125e-07,-3.260611606783851e-06,7.527135973295541e-08
5,0.07794823524363302,2.265278734369448e-06,-0.0009739390632442077,5.744919946991389e-07,1.8744615371655519e-06,7.6607353876218e-07
6,-0.04709370365647466,7.663814415171326e-07,-5.805281208733294e-05,4.7907078458856354e-08,4.4191210638906953e-07,-6.87487119699655e-07
7,-0.001109352443473103,1.7650615735985674e-06,0.0002451511611625335,-1.0685083687250913e-07,-9.833392573907434e-08,4.842261887482934e-08
8,0.0009336284798436839,3.270531104506333e-06,-0.00022328348736691571,-1.306081736124237e-07,-2.4848519162443216e-07,1.1470577829269394e-07
9,-0.0009868851297768905,-4.217285660413542e-06,0.00023879436774439667,4.717764855265502e-08,-2.277986282467938e-07,-2.4742219697504525e-08
10,0.00694698299687695,7.682951034899047e-07,-0.00012385734300309568,1.551181465311237e-08,1.6507902587558648e-07,9.5956420888337e-08
11,-0.0037602313540938373,2.1166120135980739e-07,4.462813678754934e-07,7.884651497605928e-09,6.11685699561434e-08,-8.265494642932477e-08
12,-0.0002887459859098275,2.0023562340284903e-07,3.6389221419564765e-05,-5.234693699058675e-09,-3.4221395212093744e-08,3.5963132013437716e-09
13,0.00024158529710196494,1.6242205458576424e-07,-3.611677547588522e-05,-1.152150307170339e-08,-1.2666480065092202e-08,1.8863897571905475e-08
14,-0.00021120956986841826,-3.7080400502141287e-07,2.7459155471576317e-05,6.472673922521938e-09,-1.7886889429512508e-08,-8.33193162265271e-09
15,0.00062885218399527,9.81296754765532e-08,-1.0874572185828193e-05,-1.3024076831848963e-09,1.4486232760011197e-08,9.877662208953246e-09
