,aic,bic,hqic,fpe
0,-33.04707080374293,-33.02977678007925,-33.04070951609553,4.4446698499182035e-15
1,-33.48667814761582,-33.36561998197004,-33.44214913408401,2.8636540174718148e-15
2,-33.60221909385902,-33.377396786231145,-33.51952235444281,2.551186440118333e-15
3,-33.628903167018535,-33.30031671740857,-33.50803870171793,2.484017076247501e-15
4,-33.64067408559449,-33.20832349400242,-33.48164189440948,2.454961283020826e-15
5,-33.6330852320279,-33.09697049845374,-33.43588531495848,2.4736819666694514e-15
6,-33.640072417275434,-33.00019354171918,-33.404704774321615,2.456486614166323e-15
7,-33.63249199900531,-32.88884898146696,-33.358956630167086,2.4752182603935544e-15
8,-33.63072139631614,-32.7833142367957,-33.319018301593516,2.479657342433022e-15
9,-33.624875699589445,-32.673704398086905,-33.27500487898242,2.4942626833743477e-15
10,-33.6113813350151,-32.556445891530466,-33.223342788523674,2.528234496934696e-15
